ablation_mode,complex_id,ligand_id,denticity,n_donors,all_correct_top1
full_context,tmqm_196,L3,dent=2,2,0
full_context,tmqm_197,L1,dent=2,2,1
full_context,tmqm_198,L5,dent=1,1,1
full_context,tmqm_198,L2,dent=1,1,1
full_context,tmqm_199,L2,dent=1,1,1
full_context,tmqm_199,L1,dent=1,1,1
full_context,tmqm_200,L2,dent=1,1,1
full_context,tmqm_200,L1,dent=1,1,0
full_context,tmqm_201,L1,dent=2,2,1
full_context,tmqm_202,L3,dent=2,2,1
full_context,tmqm_203,L1,dent=2,2,1
full_context,tmqm_204,L2,dent=1,1,0
full_context,tmqm_204,L1,dent=1,1,1
full_context,tmqm_205,L1,dent=1,1,1
full_context,tmqm_205,L2,dent=1,1,0
full_context,tmqm_206,L1,dent=2,2,1
full_context,tmqm_207,L2,dent=1,1,1
full_context,tmqm_207,L1,dent=1,1,1
full_context,tmqm_208,L1,dent=2,2,0
full_context,tmqm_209,L1,dent=2,2,0
full_context,tmqm_210,L5,dent=1,1,1
full_context,tmqm_210,L4,dent=1,1,1
full_context,tmqm_211,L3,dent=2,2,1
full_context,tmqm_212,L1,dent=1,1,1
full_context,tmqm_212,L2,dent=1,1,1
full_context,tmqm_213,L1,dent=1,1,1
full_context,tmqm_213,L2,dent=1,1,1
full_context,tmqm_214,L2,dent=2,2,0
full_context,tmqm_215,L3,dent=1,1,0
full_context,tmqm_215,L1,dent=1,1,0
full_context,tmqm_216,L4,dent=1,1,1
full_context,tmqm_216,L2,dent=1,1,1
full_context,tmqm_217,L2,dent=1,1,1
full_context,tmqm_217,L1,dent=1,1,0
full_context,tmqm_218,L1,dent=2,2,1
full_context,tmqm_219,L4,dent=2,2,1
full_context,tmqm_220,L2,dent=2,2,0
full_context,tmqm_221,L2,dent=1,1,1
full_context,tmqm_221,L1,dent=1,1,1
full_context,tmqm_222,L4,dent=1,1,1
full_context,tmqm_222,L3,dent=1,1,1
full_context,tmqm_223,L1,dent=2,2,1
full_context,tmqm_224,L1,dent=1,1,1
full_context,tmqm_224,L2,dent=1,1,1
full_context,tmqm_225,L2,dent=1,1,1
full_context,tmqm_225,L1,dent=1,1,1
full_context,tmqm_226,L1,dent=2,2,1
full_context,tmqm_227,L1,dent=2,2,1
full_context,tmqm_228,L2,dent=1,1,1
full_context,tmqm_228,L3,dent=1,1,1
full_context,tmqm_229,L2,dent=1,1,1
full_context,tmqm_229,L1,dent=1,1,1
full_context,tmqm_230,L2,dent=1,1,0
full_context,tmqm_230,L1,dent=1,1,1
full_context,tmqm_231,L1,dent=1,1,1
full_context,tmqm_231,L3,dent=1,1,1
full_context,tmqm_232,L2,dent=1,1,1
full_context,tmqm_232,L3,dent=1,1,1
full_context,tmqm_233,L4,dent=1,1,1
full_context,tmqm_233,L3,dent=1,1,1
full_context,tmqm_234,L3,dent=1,1,1
full_context,tmqm_234,L2,dent=1,1,1
full_context,tmqm_235,L2,dent=1,1,1
full_context,tmqm_235,L3,dent=1,1,1
full_context,tmqm_236,L2,dent=1,1,1
full_context,tmqm_236,L3,dent=1,1,0
full_context,tmqm_237,L2,dent=2,2,1
full_context,tmqm_238,L2,dent=1,1,0
full_context,tmqm_238,L1,dent=1,1,1
full_context,tmqm_239,L3,dent=2,2,0
full_context,tmqm_240,L1,dent=2,2,0
full_context,tmqm_241,L2,dent=2,2,1
full_context,tmqm_242,L3,dent=1,1,0
full_context,tmqm_242,L1,dent=1,1,0
full_context,tmqm_243,L3,dent=1,1,1
full_context,tmqm_243,L1,dent=1,1,1
full_context,tmqm_244,L1,dent=1,1,1
full_context,tmqm_244,L2,dent=1,1,1
full_context,tmqm_245,L3,dent=1,1,1
full_context,tmqm_245,L1,dent=1,1,1
full_context,tmqm_246,L1,dent=1,1,1
full_context,tmqm_246,L2,dent=1,1,1
full_context,tmqm_247,L2,dent=1,1,1
full_context,tmqm_247,L3,dent=1,1,1
full_context,tmqm_248,L1,dent=2,2,1
full_context,tmqm_249,L3,dent=1,1,1
full_context,tmqm_249,L1,dent=1,1,1
full_context,tmqm_250,L1,dent=2,2,0
full_context,tmqm_251,L1,dent=2,2,1
full_context,tmqm_252,L2,dent=1,1,1
full_context,tmqm_252,L1,dent=1,1,1
full_context,tmqm_253,L1,dent=2,2,0
full_context,tmqm_254,L3,dent=1,1,1
full_context,tmqm_254,L1,dent=1,1,1
full_context,tmqm_255,L3,dent=1,1,1
full_context,tmqm_255,L1,dent=1,1,1
full_context,tmqm_256,L2,dent=2,2,1
full_context,tmqm_257,L1,dent=2,2,0
full_context,tmqm_258,L1,dent=2,2,1
full_context,tmqm_259,L2,dent=2,2,1
full_context,tmqm_260,L2,dent=1,1,0
full_context,tmqm_260,L1,dent=1,1,1
full_context,tmqm_261,L1,dent=1,1,1
full_context,tmqm_261,L3,dent=1,1,1
full_context,tmqm_262,L5,dent=1,1,1
full_context,tmqm_262,L2,dent=1,1,0
full_context,tmqm_263,L4,dent=1,1,1
full_context,tmqm_263,L6,dent=1,1,1
full_context,tmqm_264,L2,dent=1,1,0
full_context,tmqm_264,L1,dent=1,1,1
full_context,tmqm_265,L5,dent=1,1,1
full_context,tmqm_265,L4,dent=1,1,0
full_context,tmqm_266,L1,dent=2,2,1
full_context,tmqm_267,L1,dent=2,2,1
full_context,tmqm_268,L2,dent=1,1,1
full_context,tmqm_268,L3,dent=1,1,1
full_context,tmqm_269,L1,dent=2,2,1
full_context,tmqm_270,L2,dent=1,1,1
full_context,tmqm_270,L1,dent=1,1,1
full_context,tmqm_271,L5,dent=1,1,1
full_context,tmqm_271,L3,dent=1,1,1
full_context,tmqm_272,L3,dent=1,1,0
full_context,tmqm_272,L1,dent=1,1,1
full_context,tmqm_273,L2,dent=1,1,1
full_context,tmqm_273,L1,dent=1,1,1
full_context,tmqm_274,L3,dent=1,1,0
full_context,tmqm_274,L4,dent=1,1,0
full_context,tmqm_275,L1,dent=2,2,1
full_context,tmqm_276,L1,dent=1,1,1
full_context,tmqm_276,L3,dent=1,1,1
full_context,tmqm_277,L1,dent=2,2,1
full_context,tmqm_278,L1,dent=1,1,0
full_context,tmqm_278,L2,dent=1,1,1
full_context,tmqm_279,L2,dent=1,1,1
full_context,tmqm_279,L1,dent=1,1,0
full_context,tmqm_280,L1,dent=1,1,1
full_context,tmqm_280,L2,dent=1,1,1
full_context,tmqm_281,L1,dent=2,2,1
full_context,tmqm_282,L2,dent=1,1,1
full_context,tmqm_282,L3,dent=1,1,1
full_context,tmqm_283,L1,dent=2,2,1
full_context,tmqm_284,L2,dent=2,2,1
full_context,tmqm_285,L1,dent=1,1,0
full_context,tmqm_285,L4,dent=1,1,1
full_context,tmqm_286,L3,dent=2,2,1
full_context,tmqm_287,L5,dent=1,1,1
full_context,tmqm_287,L1,dent=1,1,1
full_context,tmqm_288,L1,dent=1,1,1
full_context,tmqm_288,L3,dent=1,1,1
full_context,tmqm_289,L3,dent=1,1,0
full_context,tmqm_289,L1,dent=1,1,1
full_context,tmqm_290,L1,dent=2,2,1
full_context,tmqm_291,L2,dent=1,1,1
full_context,tmqm_291,L1,dent=1,1,1
full_context,tmqm_292,L1,dent=2,2,1
full_context,tmqm_293,L1,dent=1,1,1
full_context,tmqm_293,L3,dent=1,1,1
full_context,tmqm_294,L1,dent=2,2,1
full_context,tmqm_295,L1,dent=1,1,1
full_context,tmqm_295,L2,dent=1,1,1
full_context,tmqm_296,L1,dent=2,2,0
full_context,tmqm_297,L4,dent=1,1,1
full_context,tmqm_297,L3,dent=1,1,1
full_context,tmqm_298,L3,dent=1,1,1
full_context,tmqm_298,L1,dent=1,1,1
full_context,tmqm_299,L1,dent=2,2,1
full_context,tmqm_300,L1,dent=2,2,1
full_context,tmqm_301,L1,dent=1,1,1
full_context,tmqm_301,L3,dent=1,1,0
full_context,tmqm_302,L1,dent=2,2,1
full_context,tmqm_303,L1,dent=2,2,1
full_context,tmqm_304,L5,dent=1,1,1
full_context,tmqm_304,L4,dent=1,1,1
full_context,tmqm_305,L3,dent=1,1,1
full_context,tmqm_305,L2,dent=1,1,1
full_context,tmqm_306,L4,dent=1,1,1
full_context,tmqm_306,L3,dent=1,1,1
full_context,tmqm_307,L1,dent=2,2,1
full_context,tmqm_308,L1,dent=1,1,1
full_context,tmqm_308,L2,dent=1,1,1
full_context,tmqm_309,L1,dent=2,2,1
full_context,tmqm_310,L2,dent=2,2,1
full_context,tmqm_311,L1,dent=2,2,0
full_context,tmqm_312,L1,dent=2,2,1
full_context,tmqm_313,L1,dent=1,1,1
full_context,tmqm_313,L3,dent=1,1,1
full_context,tmqm_314,L2,dent=2,2,1
full_context,tmqm_315,L1,dent=2,2,1
full_context,tmqm_316,L1,dent=2,2,0
full_context,tmqm_317,L2,dent=1,1,0
full_context,tmqm_317,L1,dent=1,1,0
full_context,tmqm_318,L1,dent=2,2,0
full_context,tmqm_319,L1,dent=2,2,1
full_context,tmqm_320,L3,dent=1,1,1
full_context,tmqm_320,L1,dent=1,1,1
full_context,tmqm_321,L1,dent=1,1,1
full_context,tmqm_321,L4,dent=1,1,1
full_context,tmqm_322,L1,dent=1,1,1
full_context,tmqm_322,L2,dent=1,1,0
full_context,tmqm_323,L2,dent=2,2,1
full_context,tmqm_324,L2,dent=1,1,0
full_context,tmqm_324,L1,dent=1,1,1
full_context,tmqm_325,L1,dent=2,2,0
full_context,tmqm_326,L1,dent=2,2,1
full_context,tmqm_327,L1,dent=2,2,1
full_context,tmqm_328,L1,dent=1,1,1
full_context,tmqm_328,L2,dent=1,1,1
full_context,tmqm_329,L2,dent=1,1,1
full_context,tmqm_329,L1,dent=1,1,1
full_context,tmqm_330,L1,dent=2,2,1
full_context,tmqm_331,L1,dent=1,1,1
full_context,tmqm_331,L3,dent=1,1,1
full_context,tmqm_332,L1,dent=1,1,1
full_context,tmqm_332,L3,dent=1,1,1
full_context,tmqm_333,L1,dent=2,2,1
full_context,tmqm_334,L1,dent=2,2,1
full_context,tmqm_335,L1,dent=2,2,0
full_context,tmqm_336,L1,dent=1,1,0
full_context,tmqm_336,L2,dent=1,1,0
full_context,tmqm_337,L3,dent=1,1,1
full_context,tmqm_337,L1,dent=1,1,1
full_context,tmqm_338,L7,dent=1,1,1
full_context,tmqm_338,L1,dent=1,1,0
full_context,tmqm_339,L3,dent=2,2,1
full_context,tmqm_340,L2,dent=1,1,0
full_context,tmqm_340,L1,dent=1,1,0
full_context,tmqm_341,L3,dent=1,1,1
full_context,tmqm_341,L1,dent=1,1,1
full_context,tmqm_342,L3,dent=2,2,0
full_context,tmqm_343,L1,dent=2,2,0
full_context,tmqm_344,L5,dent=1,1,1
full_context,tmqm_344,L1,dent=1,1,1
full_context,tmqm_345,L2,dent=1,1,1
