refcode,n_metals,is_polymeric,has_disorder,old_record_generated,scope_class
FEPQIE,24,False,True,False,polymeric_or_extended_future_scope
GIDHOS,3,False,True,True,molecular_multinuclear_supported
MIFQOJ,8,True,True,True,molecular_multinuclear_supported
CECCIZ,12,False,True,False,molecular_multinuclear_supported
VUKWAZ,4,False,False,True,molecular_multinuclear_supported
VUWTEP,4,True,True,True,molecular_multinuclear_supported
LAVTEH,2,False,False,True,molecular_multinuclear_supported
MOMDAU,10,False,True,True,molecular_multinuclear_supported
SUCPAL,2,False,True,True,molecular_multinuclear_supported
ZUHKAQ,2,False,False,True,molecular_multinuclear_supported
OXOCIQ,22,False,False,False,polymeric_or_extended_future_scope
BOZTAP,2,False,True,True,molecular_multinuclear_supported
CEJZUP,8,True,False,True,molecular_multinuclear_supported
REDQUQ,6,True,True,True,molecular_multinuclear_supported
ESADEH,2,False,False,True,molecular_multinuclear_supported
INUBEZ,4,False,True,True,molecular_multinuclear_supported
NAYSEN,6,False,True,True,molecular_multinuclear_supported
WIZHIA,2,False,False,True,molecular_multinuclear_supported
EDAZEQ,4,True,False,True,molecular_multinuclear_supported
HOBWIF,2,False,False,True,molecular_multinuclear_supported
GESXUX,3,False,False,True,molecular_multinuclear_supported
AVATUN,2,False,True,True,molecular_multinuclear_supported
YECJIB,8,True,False,True,molecular_multinuclear_supported
SEHBAK,4,False,False,True,molecular_multinuclear_supported
DAVNOG,4,False,True,False,molecular_multinuclear_supported
BONSOQ,4,False,True,True,molecular_multinuclear_supported
JIZTUH08,2,True,False,True,molecular_multinuclear_supported
DEDFAT,4,False,False,True,molecular_multinuclear_supported
CURZAQ,4,False,False,True,molecular_multinuclear_supported
CEJHUW,2,False,True,True,molecular_multinuclear_supported
MOHMOP,6,True,False,True,molecular_multinuclear_supported
BIWXEL,2,False,False,True,molecular_multinuclear_supported
QUPBAF,2,True,False,True,molecular_multinuclear_supported
RARBEV,2,False,False,True,molecular_multinuclear_supported
POJKOQ,2,False,False,True,molecular_multinuclear_supported
RATBAR,4,True,True,True,molecular_multinuclear_supported
ESEDIP,2,False,False,True,molecular_multinuclear_supported
ACUSAV,7,True,True,True,molecular_multinuclear_supported
MEKHUG,2,False,False,True,molecular_multinuclear_supported
FELFOV,3,False,False,True,molecular_multinuclear_supported
ZURMAD,2,False,True,True,molecular_multinuclear_supported
ZALGUS,24,True,True,False,polymeric_or_extended_future_scope
YILQUH,4,False,True,False,molecular_multinuclear_supported
ZOPVAD,2,False,False,True,molecular_multinuclear_supported
FORVOZ,2,False,False,True,molecular_multinuclear_supported
VAPNUW,3,True,False,True,molecular_multinuclear_supported
UZIGOB,10,True,True,True,molecular_multinuclear_supported
JETGEU,2,False,False,True,molecular_multinuclear_supported
NIWQIV,13,False,False,False,polymeric_or_extended_future_scope
JUZWEG,2,False,False,True,molecular_multinuclear_supported
JOVYAY,4,False,True,False,molecular_multinuclear_supported
GAXVUW,3,True,True,True,molecular_multinuclear_supported
ZIDYUG,5,True,False,True,molecular_multinuclear_supported
BEMCIG,8,False,False,False,molecular_multinuclear_supported
VIDRUV,2,False,False,True,molecular_multinuclear_supported
IMEXAZ,4,False,False,True,molecular_multinuclear_supported
KEVZAP,2,False,True,True,molecular_multinuclear_supported
GOGKAR,10,False,True,True,molecular_multinuclear_supported
NUVTEG,31,True,True,False,polymeric_or_extended_future_scope
ECAHIB15,3,True,True,True,molecular_multinuclear_supported
WIJFAY,6,False,True,False,molecular_multinuclear_supported
HGBDOX,3,True,False,True,molecular_multinuclear_supported
KEGZOL01,5,True,False,True,molecular_multinuclear_supported
JOWGOU,12,False,True,False,molecular_multinuclear_supported
EHEPOX,24,False,False,False,polymeric_or_extended_future_scope
MEYTOC,9,True,True,True,molecular_multinuclear_supported
COQJOI,2,False,False,True,molecular_multinuclear_supported
XOLXEB,4,False,False,True,molecular_multinuclear_supported
CATYEE,3,False,False,True,molecular_multinuclear_supported
KEDPOY,2,False,False,True,molecular_multinuclear_supported
WOMPAQ,6,False,False,True,molecular_multinuclear_supported
INAJIS,3,False,True,True,molecular_multinuclear_supported
HOSNEJ,2,False,True,True,molecular_multinuclear_supported
JIGMUH,3,False,False,False,molecular_multinuclear_supported
KICCOS,13,True,True,False,polymeric_or_extended_future_scope
DIQRAZ,2,False,False,True,molecular_multinuclear_supported
KAWMEB,5,False,True,True,molecular_multinuclear_supported
PEKHEU,4,True,False,True,molecular_multinuclear_supported
KETDOE,3,True,False,True,molecular_multinuclear_supported
RONDEH,9,True,False,True,molecular_multinuclear_supported
FORQEK,3,True,True,True,molecular_multinuclear_supported
ACGXRH,2,False,False,True,molecular_multinuclear_supported
CIWZAL,13,False,False,False,polymeric_or_extended_future_scope
LEMFOY10,4,False,False,True,molecular_multinuclear_supported
ZADZIN,4,False,False,True,molecular_multinuclear_supported
KIBFEH,12,False,True,False,molecular_multinuclear_supported
ENEZIH,13,True,True,False,polymeric_or_extended_future_scope
WAQBOJ,16,True,True,False,polymeric_or_extended_future_scope
KEYBOI,9,True,False,True,molecular_multinuclear_supported
UTECON,2,True,True,True,molecular_multinuclear_supported
EGUTUX,7,False,False,True,molecular_multinuclear_supported
REKQEF,6,False,True,True,molecular_multinuclear_supported
CPDCOP02,5,False,True,False,disorder_or_partial_occupancy
DULDOG,4,False,False,True,molecular_multinuclear_supported
TEBZAB03,2,True,False,True,molecular_multinuclear_supported
MAZWER,4,False,True,True,molecular_multinuclear_supported
WOGYEZ01,13,True,False,False,polymeric_or_extended_future_scope
