refcode,metal_count,metals,n_sites,bridge_count,parse_valid,roundtrip_valid,metal_order_invariant,atom_order_invariant,ligand_order_invariant,bridge_consistency_valid,local_sphere_consistency_valid,identity_keys_present,record_generated,failure_stage,failure_reason
FAQLIT01,2,Ru+Ru,9,0,True,True,True,True,True,True,True,True,True,,
HUXTUT,2,Cu+Cu,10,0,True,True,True,True,True,True,True,True,True,,
GALTOD,5,Fe+Fe+Fe+Fe+Fe,24,2,True,True,True,True,True,True,True,True,True,,
MAMQIA,3,Ti+Ti+Ti,6,0,True,True,True,True,True,True,True,True,True,,
PIBKOE,2,Ag+Ag,3,1,True,True,True,True,True,True,True,True,True,,
HIMTEE,2,Pd+Pd,10,2,True,True,True,True,True,True,True,True,True,,
NOJYAM,2,Cu+Cu,9,0,True,True,True,True,True,True,True,True,True,,
RIXCIL,2,Cd+Cd,6,2,True,True,True,True,True,True,True,True,True,,
AQIPUM,2,Zn+Zn,7,0,True,True,True,True,True,True,True,True,True,,
EMOSUV01,2,Co+Co,6,1,True,True,True,True,True,True,True,True,True,,
MURFIQ,3,Mn+Mn+Mn,6,1,True,True,True,True,True,True,True,True,True,,
ADAMOJ06,2,Fe+Fe,10,0,True,True,True,True,True,True,True,True,True,,
INEWOO,10,Cu+Cu+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo,34,12,True,True,True,True,True,True,True,True,True,,
ZUMVIM,6,Fe+Fe+Fe+Fe+Fe+Fe,28,0,True,True,True,True,True,True,True,True,True,,
BIRMUK,2,Ir+Ir,8,0,True,True,True,True,True,True,True,True,True,,
IFAPAH,2,Mn+Mn,6,1,True,True,True,True,True,True,True,True,True,,
XOVLEA,2,Au+Au,4,0,True,True,True,True,True,True,True,True,True,,
RUYHUS,6,Zn+Zn+Zn+Zn+Zn+Zn,10,3,True,True,True,True,True,True,True,True,True,,
VOJGUW,2,Ir+Ru,7,0,True,True,True,True,True,True,True,True,True,,
TAXXUP,6,Zn+Zn+Zn+Zn+Zn+Zn,20,1,True,True,True,True,True,True,True,True,True,,
VEYQEX,2,Cu+Cu,6,1,True,True,True,True,True,True,True,True,True,,
CABKAS,2,Ag+Ag,6,0,True,True,True,True,True,True,True,True,True,,
QONKIQ19,8,Zn+Zn+Zn+Zn+Zn+Zn+Zn+Zn,8,5,True,True,True,True,True,True,True,True,True,,
MTCAZN02,2,Zn+Zn,8,0,True,True,True,True,True,True,True,True,True,,
ALAXOC,2,Ir+Ir,3,1,True,True,True,True,True,True,True,True,True,,
TONJOY,2,Cu+Cu,3,1,True,True,True,True,True,True,True,True,True,,
NALYII,2,Zn+Zn,8,2,True,True,True,True,True,True,True,True,True,,
VIZQEA,4,Au+Au+Nb+Nb,12,4,True,True,True,True,True,True,True,True,True,,
FUYYUV,2,Co+Co,6,0,True,True,True,True,True,True,True,True,True,,
IQEGOA,4,V+V+V+V,21,3,True,True,True,True,True,True,True,True,True,,
XOBBUO,6,Cd+Cd+Cd+Cd+Cd+Cd,11,6,True,True,True,True,True,True,True,True,True,,
EBAXEL,2,Ti+Ti,6,0,True,True,True,True,True,True,True,True,True,,
QOLHOP,2,Cr+Cr,7,1,True,True,True,True,True,True,True,True,True,,
COBGEF,4,Fe+Fe+Ni+Ni,7,2,True,True,True,True,True,True,True,True,True,,
FANKUC,2,Cu+Cu,5,2,True,True,True,True,True,True,True,True,True,,
GOCXAY,4,Cd+Cd+Cd+Cd,14,0,True,True,True,True,True,True,True,True,True,,
BAJJOM,2,Zn+Zn,9,3,True,True,True,True,True,True,True,True,True,,
NADJUZ,4,Fe+Fe+Fe+Fe,12,0,True,True,True,True,True,True,True,True,True,,
LUSCEK,4,Cd+Cd+Cd+Cd,6,4,True,True,True,True,True,True,True,True,True,,
JUGXAN,3,Ni+Zn+Zn,4,1,True,True,True,True,True,True,True,True,True,,
TASBEU,2,Fe+Fe,8,2,True,True,True,True,True,True,True,True,True,,
GAQJUE,2,Cu+Cu,7,0,True,True,True,True,True,True,True,True,True,,
NURXOO,5,Fe+Fe+Fe+Ru+Ru,24,1,True,True,True,True,True,True,True,True,True,,
SAGRIF,2,Ni+Ni,4,0,True,True,True,True,True,True,True,True,True,,
TACWON,2,Cd+Cd,5,1,True,True,True,True,True,True,True,True,True,,
XURKOL,2,Nb+Nb,12,0,True,True,True,True,True,True,True,True,True,,
MOHMEE17,8,Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu,6,6,True,True,True,True,True,True,True,True,True,,
GAKMEL,2,Fe+Fe,11,1,True,True,True,True,True,True,True,True,True,,
BIQBUB,2,Zn+Zn,10,0,True,True,True,True,True,True,True,True,True,,
EQEVON,3,Ni+Ni+Ni,12,1,True,True,True,True,True,True,True,True,True,,
EMOSOP,5,Cd+Cd+Cd+Cd+Cd,15,1,True,True,True,True,True,True,True,True,True,,
NUVFIT,2,Ti+Ti,4,0,True,True,True,True,True,True,True,True,True,,
QINMUY,2,Co+Co,6,2,True,True,True,True,True,True,True,True,True,,
YUDTIA,2,Re+Re,8,0,True,True,True,True,True,True,True,True,True,,
GUJGUN,2,Re+Re,9,1,True,True,True,True,True,True,True,True,True,,
TISHUY,2,Zn+Zn,8,2,True,True,True,True,True,True,True,True,True,,
DIWGUL,4,Fe+Fe+Fe+Fe,16,2,True,True,True,True,True,True,True,True,True,,
CAVLIV,6,Ni+Ni+Ni+Ni+Ni+Ni,22,0,True,True,True,True,True,True,True,True,True,,
QUFZOI,9,Co+Co+Co+Cu+Cu+Cu+Cu+Cu+Cu,32,0,True,True,True,True,True,True,True,True,True,,
BAMREO,3,Mn+Mn+Mn,16,1,True,True,True,True,True,True,True,True,True,,
IXEJIH,2,Rh+Rh,12,6,True,True,True,True,True,True,True,True,True,,
ELEQER,2,Pd+Pd,8,0,True,True,True,True,True,True,True,True,True,,
MENDER,2,Pt+Pt,8,0,True,True,True,True,True,True,True,True,True,,
VEGBES,2,Fe+Fe,6,1,True,True,True,True,True,True,True,True,True,,
WAWCEC,4,Cu+Cu+Cu+Cu,16,2,True,True,True,True,True,True,True,True,True,,
FEGNOX,3,Cd+Cd+Cd,9,2,True,True,True,True,True,True,True,True,True,,
ICIZID,5,Cd+Cd+Cd+Cd+Cd,10,0,True,True,True,True,True,True,True,True,True,,
WEJFAU,2,Fe+Ir,4,0,True,True,True,True,True,True,True,True,True,,
WUDCEH,8,Cu+Cu+Cu+Cu+Cu+Cu+Mo+Mo,11,6,True,True,True,True,True,True,True,True,True,,
EBIYIZ,3,Cd+Cd+Cd,8,0,True,True,True,True,True,True,True,True,True,,
QOMSES,7,Cu+Cu+Cu+Cu+Cu+Cu+Cu,16,4,True,True,True,True,True,True,True,True,True,,
DUDPAU,2,Pd+Pd,8,0,True,True,True,True,True,True,True,True,True,,
XEVZAZ,2,Fe+Fe,12,0,True,True,True,True,True,True,True,True,True,,
KEVCEW,4,Cu+Cu+Cu+Cu,14,1,True,True,True,True,True,True,True,True,True,,
VUFJEO,2,Cd+Cd,12,2,True,True,True,True,True,True,True,True,True,,
GAHDAU,3,Os+Os+Os,13,1,True,True,True,True,True,True,True,True,True,,
IXELON,3,Co+Co+Co,6,2,True,True,True,True,True,True,True,True,True,,
ABAJOG,2,W+W,10,2,True,True,True,True,True,True,True,True,True,,
TUMGUE,2,Pt+Pt,8,0,True,True,True,True,True,True,True,True,True,,
ESULOW,3,Cr+Ni+Ni,14,0,True,True,True,True,True,True,True,True,True,,
HIWMOT,4,Cu+Cu+Cu+Cu,8,4,True,True,True,True,True,True,True,True,True,,
ONIBET,3,Sc+Sc+Sc,11,5,True,True,True,True,True,True,True,True,True,,
UXUBEX,4,Cu+Cu+Cu+Cu,12,6,True,True,True,True,True,True,True,True,True,,
WEYWIH,3,Os+Os+Os,11,1,True,True,True,True,True,True,True,True,True,,
POSPUI,4,Nb+Nb+Nb+Nb,24,0,True,True,True,True,True,True,True,True,True,,
REBXIG,2,Au+Au,4,0,True,True,True,True,True,True,True,True,True,,
WEXZIJ03,3,Ag+Ag+Ag,6,1,True,True,True,True,True,True,True,True,True,,
GITLUQ,2,Cu+Cu,10,0,True,True,True,True,True,True,True,True,True,,
ZAZFIS,6,Fe+Fe+Fe+Fe+Fe+Fe,20,10,True,True,True,True,True,True,True,True,True,,
JODYIO,2,Cu+Cu,4,0,True,True,True,True,True,True,True,True,True,,
VIWKOD,8,Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu,24,4,True,True,True,True,True,True,True,True,True,,
LEPWEL,6,Co+Co+Co+Co+Co+Co,13,4,True,True,True,True,True,True,True,True,True,,
KORFEG,6,Zn+Zn+Zn+Zn+Zn+Zn,12,4,True,True,True,True,True,True,True,True,True,,
XANPOS01,2,Cu+Cu,10,0,True,True,True,True,True,True,True,True,True,,
NOKRUE,3,Cd+Cd+Cd,8,4,True,True,True,True,True,True,True,True,True,,
REWVIC,2,V+V,10,2,True,True,True,True,True,True,True,True,True,,
YUJPOI,2,W+W,12,0,True,True,True,True,True,True,True,True,True,,
EFAVUD,4,Ti+Ti+Ti+Ti,9,3,True,True,True,True,True,True,True,True,True,,
POHCAT,4,Pd+Pd+Pd+Pd,8,0,True,True,True,True,True,True,True,True,True,,
PICFOX,2,Ti+Ti,10,2,True,True,True,True,True,True,True,True,True,,
KUVRUO,2,Fe+Ru,5,0,True,True,True,True,True,True,True,True,True,,
MERWOW,8,Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu,20,12,True,True,True,True,True,True,True,True,True,,
TEXSEV,6,Mo+Mo+Mo+Mo+Mo+Mo,27,9,True,True,True,True,True,True,True,True,True,,
UGEJOJ,2,Zr+Zr,2,2,True,True,True,True,True,True,True,True,True,,
ITERUV,6,Mo+Mo+Mo+Mo+Mo+Mo,14,8,True,True,True,True,True,True,True,True,True,,
JAYSEK,2,Ni+Ni,5,0,True,True,True,True,True,True,True,True,True,,
NOPXUO,6,Ta+Ta+Ta+Ta+Ta+Ta,18,12,True,True,True,True,True,True,True,True,True,,
QEMXUF09,3,Cu+Cu+Cu,10,2,True,True,True,True,True,True,True,True,True,,
SALRII,7,Zn+Zn+Zn+Zn+Zn+Zn+Zn,16,0,True,True,True,True,True,True,True,True,True,,
WEYNUM,2,Pt+Pt,8,0,True,True,True,True,True,True,True,True,True,,
LUXDOX,6,Ti+Ti+Ti+Ti+Ti+Ti,24,6,True,True,True,True,True,True,True,True,True,,
LAQJUI,5,Ag+Ag+Ag+Ag+Ag,10,0,True,True,True,True,True,True,True,True,True,,
SAQTUA,2,Au+Au,8,0,True,True,True,True,True,True,True,True,True,,
ZECBER,2,Fe+Fe,8,2,True,True,True,True,True,True,True,True,True,,
VASVUK,2,Co+Co,6,1,True,True,True,True,True,True,True,True,True,,
CASMAK,2,Re+Re,12,0,True,True,True,True,True,True,True,True,True,,
JUFZER,11,Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd,24,9,True,True,True,True,True,True,True,True,True,,
ORUMIY,2,Zn+Zn,8,2,True,True,True,True,True,True,True,True,True,,
ZIQSUN,8,Co+Co+Co+Co+Co+Co+Co+Co,24,0,True,True,True,True,True,True,True,True,True,,
HUXWAY,11,Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu,24,2,True,True,True,True,True,True,True,True,True,,
