refcode,n_metals,is_polymeric,has_disorder,old_failure_stage,old_failure_reason,diagnosis_category,fix_applied,fix_result
TULBUB,19,True,True,metal_count,too_many_metals_19,polymeric_or_extended_future_scope,,out_of_scope
TAWJIK,12,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
SIGPUT,3,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
TOCKUV,8,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
JEPBIS,15,False,True,metal_count,too_many_metals_15,polymeric_or_extended_future_scope,,out_of_scope
MAFZEC,2,False,True,site_detection,no_sites_found,disorder_or_partial_occupancy,,out_of_scope
WORLAS,18,True,True,metal_count,too_many_metals_18,polymeric_or_extended_future_scope,,out_of_scope
UXANEN,4,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
TIMDAX,13,False,True,metal_count,too_many_metals_13,polymeric_or_extended_future_scope,,out_of_scope
YUXFIJ,12,True,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
PEFKIX,2,False,True,site_detection,no_sites_found,disorder_or_partial_occupancy,,out_of_scope
WEJTAI,2,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
UDIFAR,6,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
HAHZEW,2,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
YEGMUV,8,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
SOPROF,9,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
VUJCAH,8,True,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
VOZCUI,4,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
TOWXIM,18,False,False,metal_count,too_many_metals_18,polymeric_or_extended_future_scope,,out_of_scope
VOZROV,3,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
YIWVEG,4,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
XUZTOC07,4,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
OPIQIQ,14,True,True,metal_count,too_many_metals_14,polymeric_or_extended_future_scope,,out_of_scope
YOZLIM,16,True,False,metal_count,too_many_metals_16,polymeric_or_extended_future_scope,,out_of_scope
LURRUO,50,False,True,metal_count,too_many_metals_50,polymeric_or_extended_future_scope,,out_of_scope
MEFZUU,18,False,True,metal_count,too_many_metals_18,polymeric_or_extended_future_scope,,out_of_scope
MUYLOI,15,True,True,metal_count,too_many_metals_15,polymeric_or_extended_future_scope,,out_of_scope
SEGZUA,13,True,False,metal_count,too_many_metals_13,polymeric_or_extended_future_scope,,out_of_scope
HUJCEW,8,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
ZOZCUQ,4,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
ZOTCAQ,7,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
CUFWOR,20,False,True,metal_count,too_many_metals_20,polymeric_or_extended_future_scope,,out_of_scope
DIHTEW,6,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
YOJHUA,2,False,False,site_detection,no_sites_found,ambiguous_bonding_uncertain,,out_of_scope
ZOHLIU,132,False,False,metal_count,too_many_metals_132,polymeric_or_extended_future_scope,,out_of_scope
WOMCOS,16,False,True,metal_count,too_many_metals_16,polymeric_or_extended_future_scope,,out_of_scope
HEYHOJ,2,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
DULNEG,2,False,True,site_detection,no_sites_found,disorder_or_partial_occupancy,,out_of_scope
MOJDIA,18,True,True,metal_count,too_many_metals_18,polymeric_or_extended_future_scope,,out_of_scope
FIQYOV,7,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
OSACIV,18,False,False,metal_count,too_many_metals_18,polymeric_or_extended_future_scope,,out_of_scope
NADVOF,2,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
JUGHIG,43,False,True,metal_count,too_many_metals_43,polymeric_or_extended_future_scope,,out_of_scope
JUTSAS,2,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
BEPDAB,4,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
PUQXUU,8,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
VORGIW,2,False,False,site_detection,no_sites_found,ambiguous_bonding_uncertain,,out_of_scope
KICCUY,13,True,True,metal_count,too_many_metals_13,polymeric_or_extended_future_scope,,out_of_scope
NUZWEM,4,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
ZULLUP,36,False,True,metal_count,too_many_metals_36,polymeric_or_extended_future_scope,,out_of_scope
XOCWUK,51,True,True,metal_count,too_many_metals_51,polymeric_or_extended_future_scope,,out_of_scope
UTEWOG,17,True,True,metal_count,too_many_metals_17,polymeric_or_extended_future_scope,,out_of_scope
DOSQIN,2,False,False,site_detection,no_sites_found,ambiguous_bonding_uncertain,,out_of_scope
USUQEF,4,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
ASPTCO,15,False,False,metal_count,too_many_metals_15,polymeric_or_extended_future_scope,,out_of_scope
TAMYEL,8,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
FIJYEG,2,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
GENDEL,32,False,True,metal_count,too_many_metals_32,polymeric_or_extended_future_scope,,out_of_scope
ZANWIX,2,False,False,site_detection,no_sites_found,ambiguous_bonding_uncertain,,out_of_scope
ADOWEY,30,True,False,metal_count,too_many_metals_30,polymeric_or_extended_future_scope,,out_of_scope
WADJET,3,True,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
VAXJUC,21,True,True,metal_count,too_many_metals_21,polymeric_or_extended_future_scope,,out_of_scope
BEKCUR,2,False,False,site_detection,no_sites_found,ambiguous_bonding_uncertain,,out_of_scope
YUBCUV,3,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
DUYBOR,5,True,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
DIXRUZ,28,False,True,metal_count,too_many_metals_28,polymeric_or_extended_future_scope,,out_of_scope
QOJNAI,30,True,True,metal_count,too_many_metals_30,polymeric_or_extended_future_scope,,out_of_scope
QABVIA,2,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
YUJSED,30,False,True,metal_count,too_many_metals_30,polymeric_or_extended_future_scope,,out_of_scope
QAWXAP,18,False,True,metal_count,too_many_metals_18,polymeric_or_extended_future_scope,,out_of_scope
CPOSMN,2,False,False,site_detection,no_sites_found,ambiguous_bonding_uncertain,,out_of_scope
ZISGOX,2,False,False,site_detection,no_sites_found,ambiguous_bonding_uncertain,,out_of_scope
EHIKUF,2,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
SAGNUN,30,False,True,metal_count,too_many_metals_30,polymeric_or_extended_future_scope,,out_of_scope
YIMVIA,4,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
QUBSOY,21,True,True,metal_count,too_many_metals_21,polymeric_or_extended_future_scope,,out_of_scope
GOVSAL,2,False,False,site_detection,no_sites_found,ambiguous_bonding_uncertain,,out_of_scope
MODWUZ,6,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
DOLDUH,18,True,True,metal_count,too_many_metals_18,polymeric_or_extended_future_scope,,out_of_scope
QODHUO01,13,False,False,metal_count,too_many_metals_13,polymeric_or_extended_future_scope,,out_of_scope
CAKCAU,27,False,True,metal_count,too_many_metals_27,polymeric_or_extended_future_scope,,out_of_scope
MURKUG,8,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
REYDUY,13,False,True,metal_count,too_many_metals_13,polymeric_or_extended_future_scope,,out_of_scope
XUHROI,4,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
COYJEI,3,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
GALCEE,16,False,True,metal_count,too_many_metals_16,polymeric_or_extended_future_scope,,out_of_scope
QUVMIE,2,False,False,site_detection,no_sites_found,ambiguous_bonding_uncertain,,out_of_scope
XIQCUZ,12,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
DOMBAL,36,True,False,metal_count,too_many_metals_36,polymeric_or_extended_future_scope,,out_of_scope
FOGNEU,7,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
KALDAG,28,False,True,metal_count,too_many_metals_28,polymeric_or_extended_future_scope,,out_of_scope
ZUJTEG,28,False,True,metal_count,too_many_metals_28,polymeric_or_extended_future_scope,,out_of_scope
GIHYEC,12,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
SOQJER,4,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
UHAJOF,15,True,True,metal_count,too_many_metals_15,polymeric_or_extended_future_scope,,out_of_scope
ZIVBIR,4,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
AFALID02,2,False,True,site_detection,no_sites_found,disorder_or_partial_occupancy,,out_of_scope
YIPFIO,9,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
NEZYUM,6,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
ZABKEX,12,True,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
ZOGMIV05,12,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
UTOJOF,116,False,True,metal_count,too_many_metals_116,polymeric_or_extended_future_scope,,out_of_scope
SOKMAI,21,False,True,metal_count,too_many_metals_21,polymeric_or_extended_future_scope,,out_of_scope
ARETIC,4,False,False,site_detection,no_sites_found,ambiguous_bonding_uncertain,,out_of_scope
FOGQAV,2,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
DONDAM,3,False,True,site_detection,no_sites_found,disorder_or_partial_occupancy,,out_of_scope
SUMZUW,5,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
RIPVIZ,10,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
VELXEP,8,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
LAHSIZ,42,False,True,metal_count,too_many_metals_42,polymeric_or_extended_future_scope,,out_of_scope
WIFFEW,2,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
YUZQOC,16,False,True,metal_count,too_many_metals_16,polymeric_or_extended_future_scope,,out_of_scope
CESGIR,18,False,True,metal_count,too_many_metals_18,polymeric_or_extended_future_scope,,out_of_scope
YAJRUY,4,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
YEMZAS,2,False,False,site_detection,no_sites_found,ambiguous_bonding_uncertain,,out_of_scope
CIGZUP,12,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
JUGBOG,4,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
JIWRAJ,13,False,True,metal_count,too_many_metals_13,polymeric_or_extended_future_scope,,out_of_scope
ZAFGUL,4,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
VACFAJ03,12,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
QOSYOM,8,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
ROCMII,2,False,False,site_detection,no_sites_found,ambiguous_bonding_uncertain,,out_of_scope
HAPMIX,16,True,True,metal_count,too_many_metals_16,polymeric_or_extended_future_scope,,out_of_scope
XEHVUC,15,False,False,metal_count,too_many_metals_15,polymeric_or_extended_future_scope,,out_of_scope
GAYNOL,32,False,True,metal_count,too_many_metals_32,polymeric_or_extended_future_scope,,out_of_scope
DOMXUZ,26,False,True,metal_count,too_many_metals_26,polymeric_or_extended_future_scope,,out_of_scope
ZELBAX,8,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
KEFQUH,10,False,False,site_detection,no_sites_found,ambiguous_bonding_uncertain,,out_of_scope
BAQWOF,2,False,True,site_detection,no_sites_found,disorder_or_partial_occupancy,,out_of_scope
OQUFAJ03,10,True,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
RANRON,3,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
VUWHOL,2,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
WUDSUN,5,True,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
IQOTAJ,3,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
MIZXIG,14,False,True,metal_count,too_many_metals_14,polymeric_or_extended_future_scope,,out_of_scope
LACCAX02,15,False,True,metal_count,too_many_metals_15,polymeric_or_extended_future_scope,,out_of_scope
PAYBEZ,20,False,True,metal_count,too_many_metals_20,polymeric_or_extended_future_scope,,out_of_scope
JEBDIH,6,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
COPPEC,2,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
NIWYOJ,19,True,True,metal_count,too_many_metals_19,polymeric_or_extended_future_scope,,out_of_scope
POCLEZ,6,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
AVICUE,2,False,False,site_detection,no_sites_found,ambiguous_bonding_uncertain,,out_of_scope
TEXDUY,24,False,False,metal_count,too_many_metals_24,polymeric_or_extended_future_scope,,out_of_scope
RAPWIO,4,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
FIWYAN,4,False,False,site_detection,no_sites_found,ambiguous_bonding_uncertain,,out_of_scope
XOGPIT,8,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
SALMAT,4,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
GAHLEH,3,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
CIRBUC,8,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
IYASEI,6,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
ZIRREZ,12,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
HIJTAX,13,False,False,metal_count,too_many_metals_13,polymeric_or_extended_future_scope,,out_of_scope
JUYXEI,2,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
KOSMOU,10,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
ZULYEM,6,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
QAWRUD,8,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
DOTYAM,3,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
NOVGEK,4,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
JOCHIV,23,True,True,metal_count,too_many_metals_23,polymeric_or_extended_future_scope,,out_of_scope
YEFVUE04,7,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
VEBXOT,22,True,True,metal_count,too_many_metals_22,polymeric_or_extended_future_scope,,out_of_scope
TASWEQ,45,False,True,metal_count,too_many_metals_45,polymeric_or_extended_future_scope,,out_of_scope
ILAZEB,4,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
KOGYEK,10,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
HOJJUN,8,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
XUDDUY,2,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
GUWFUA,19,True,True,metal_count,too_many_metals_19,polymeric_or_extended_future_scope,,out_of_scope
XIMJUB,9,True,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
SENNEE,6,True,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
FOPTOU,15,False,True,metal_count,too_many_metals_15,polymeric_or_extended_future_scope,,out_of_scope
YAWHEK,32,False,True,metal_count,too_many_metals_32,polymeric_or_extended_future_scope,,out_of_scope
NACXEY,18,True,True,metal_count,too_many_metals_18,polymeric_or_extended_future_scope,,out_of_scope
QEFLIA,26,True,True,metal_count,too_many_metals_26,polymeric_or_extended_future_scope,,out_of_scope
BUFYEI,7,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
IVOJEL,6,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
NETLIH,16,False,False,metal_count,too_many_metals_16,polymeric_or_extended_future_scope,,out_of_scope
JIHHUG,4,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
HUJCUM,4,False,True,site_detection,no_sites_found,disorder_or_partial_occupancy,,out_of_scope
WOYPUX,72,False,True,metal_count,too_many_metals_72,polymeric_or_extended_future_scope,,out_of_scope
TUZFOK,2,False,False,site_detection,no_sites_found,ambiguous_bonding_uncertain,,out_of_scope
BUZQOD,8,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
PEKWAD,4,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
HAFGIE,15,False,True,metal_count,too_many_metals_15,polymeric_or_extended_future_scope,,out_of_scope
PEHNIA,6,False,False,site_detection,no_sites_found,ambiguous_bonding_uncertain,,out_of_scope
SOYBEP,29,False,True,metal_count,too_many_metals_29,polymeric_or_extended_future_scope,,out_of_scope
JEFVAU,3,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
HOXRUH,8,True,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
AQINAR,2,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
ISUCOP,16,False,True,metal_count,too_many_metals_16,polymeric_or_extended_future_scope,,out_of_scope
OJUPEQ,20,True,True,metal_count,too_many_metals_20,polymeric_or_extended_future_scope,,out_of_scope
OQUGUE,16,True,True,metal_count,too_many_metals_16,polymeric_or_extended_future_scope,,out_of_scope
ZIMGOV,140,False,True,metal_count,too_many_metals_140,polymeric_or_extended_future_scope,,out_of_scope
SIYXIK,2,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
ETOJAA,17,True,True,metal_count,too_many_metals_17,polymeric_or_extended_future_scope,,out_of_scope
HEHCEG,25,True,True,metal_count,too_many_metals_25,polymeric_or_extended_future_scope,,out_of_scope
NIMQEH,9,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
XUKQAZ,48,False,True,metal_count,too_many_metals_48,polymeric_or_extended_future_scope,,out_of_scope
RURZOU,2,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
NUTQAX,21,True,True,metal_count,too_many_metals_21,polymeric_or_extended_future_scope,,out_of_scope
HAYFOC05,2,False,True,site_detection,no_sites_found,disorder_or_partial_occupancy,,out_of_scope
VIBJOI,2,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
TISRUL,23,True,False,metal_count,too_many_metals_23,polymeric_or_extended_future_scope,,out_of_scope
NOWJEO,3,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
FIZPUB,14,False,True,metal_count,too_many_metals_14,polymeric_or_extended_future_scope,,out_of_scope
JELWAC,4,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
DIQKUL03,9,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
VEDTAB,4,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
FIBCUP,2,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
NISFII,24,True,True,metal_count,too_many_metals_24,polymeric_or_extended_future_scope,,out_of_scope
UZEJUG,11,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
YECJUN,2,False,False,site_detection,no_sites_found,ambiguous_bonding_uncertain,,out_of_scope
VIQZON,38,True,False,metal_count,too_many_metals_38,polymeric_or_extended_future_scope,,out_of_scope
AHOZUS,10,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
DOHXOP,19,False,True,metal_count,too_many_metals_19,polymeric_or_extended_future_scope,,out_of_scope
MOTVEY,20,True,False,metal_count,too_many_metals_20,polymeric_or_extended_future_scope,,out_of_scope
DOBROD,18,False,True,metal_count,too_many_metals_18,polymeric_or_extended_future_scope,,out_of_scope
BIPNAS,9,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
