refcode,metal,oxidation_state,d_count,donor_set,denticity_pattern,S_TBPY,S_SPY,log_S_TBPY,log_S_SPY,boundary_delta,path_coordinate,boundary_coordinate,L0_hash,L1_hash,L3_hash
WUBNEM,W,,,,,5.3900,5.9800,0.7316,0.7767,0.5900,0.4741,0.0519,573721424171,141820511835,277403949903
WUBNEM01,W,,,,,5.4100,5.9700,0.7332,0.7760,0.5600,0.4754,0.0492,977312934368,141820511835,277403949903
WUBROA,Zn,+2,d10,N,1-1,0.4700,5.5100,-0.3279,0.7412,5.0400,0.0786,0.8428,363508670445,375195295798,62588175800
WUBSEV,Fe,+2,d6,N,2,0.4300,4.3100,-0.3665,0.6345,3.8800,0.0907,0.8186,187946522083,959533362188,346489451898
WUBTAO,Zr,,,"Cl,N",1-1,7.1200,10.2700,0.8525,1.0116,3.1500,0.4094,0.1811,337568743520,159870410487,241892086329
WUBTIW,Zr,,,,,7.4600,4.5700,0.8727,0.6599,2.8900,0.6201,0.2402,556980183886,294602307455,23083517356
WUBTOC,Zr,,,"N,O",1-1,6.0800,11.1700,0.7839,1.0481,5.0900,0.3525,0.2951,240032967331,777127703813,716386936482
WUBVOE,Zr,,,"Cl,N",1-1,7.8500,5.0400,0.8949,0.7024,2.8100,0.6090,0.2180,561007792513,422364870532,320252874254
WUCFEF,Ni,+2,d8,,,13.4000,17.0600,1.1271,1.2320,3.6600,0.4399,0.1202,757093154650,677434887581,934089768821
WUCGOQ,Zn,+2,d10,"N,O",1-1,0.2900,0.9700,-0.5376,-0.0132,0.6800,0.2302,0.5397,947734959026,913958295141,811224422271
WUDKUD,Co,+2,d7,N,2,0.2400,5.8700,-0.6198,0.7686,5.6300,0.0393,0.9214,156818574277,623443322111,385604670852
WUDMAJ,Zn,+2,d10,O,2,7.1800,10.6100,0.8561,1.0257,3.4300,0.4036,0.1928,870983634482,155200669890,568697498538
WUDMIU,Ti,,,,,0.7300,1.8500,-0.1367,0.2672,1.1200,0.2829,0.4341,280253198533,151203457883,176981574343
WUDTIC,Zn,+2,d10,,,1.2800,3.3900,0.1072,0.5302,2.1100,0.2741,0.4518,700428977493,910975647957,224819332007
WUFFAF,Mn,,,,,0.3800,5.0400,-0.4202,0.7024,4.6600,0.0701,0.8598,191687853684,224316014284,313548315825
WUFLIU,Cu,+2,d9,N,1-1,4.9100,5.8600,0.6911,0.7679,0.9500,0.4559,0.0882,810285134416,567965071826,887549818092
WUFSIA,Pt,+2,d8,"As,S",1-1,3.1800,4.3900,0.5024,0.6425,1.2100,0.4201,0.1598,827874320804,575926906306,92599112984
WUFTAT,Pt,+2,d8,"As,S",1-1,4.7000,5.8000,0.6721,0.7634,1.1000,0.4476,0.1048,140772793201,618462182421,420892499756
WUFTEX,Pd,+2,d8,"As,S",2-2,0.4900,4.6800,-0.3098,0.6702,4.1900,0.0948,0.8104,410968416535,120762507927,577949213918
WUGBEJ,Cu,+2,d9,,,4.9800,6.4700,0.6972,0.8109,1.4900,0.4349,0.1301,947807007572,796882712499,18702141964
WUGKIW,Cu,+2,d9,N,1-1,5.3300,6.5800,0.7267,0.8182,1.2500,0.4475,0.1050,878514742311,243670346560,537150925708
WUGLAM,Zn,+2,d10,,,0.8100,0.9800,-0.0915,-0.0088,0.1700,0.4525,0.0950,273277808912,458425423607,493798072745
WUGLEQ,Zn,+2,d10,,,0.7900,1.0600,-0.1024,0.0253,0.2700,0.4270,0.1459,444034855952,948044798825,548836519041
WUGPAR,Mo,,,,,0.2500,1.5900,-0.6021,0.2014,1.3400,0.1359,0.7283,698043924724,50885880785,45152168430
WUGSUN,Ti,,,"N,O",1-1,0.2400,0.9600,-0.6198,-0.0177,0.7200,0.2000,0.6000,812909084151,21774449536,783511644527
WUGTAU,Ti,,,"N,O",1-1,0.2300,1.1200,-0.6383,0.0492,0.8900,0.1704,0.6593,204790043480,842731310123,991993899545
WUGTIB,Co,+2,d7,,,0.7200,1.7500,-0.1427,0.2430,1.0300,0.2915,0.4170,396970171279,396856188506,994075762155
WUGVEZ,Ta,,,N,1-1,0.4000,1.7300,-0.3979,0.2380,1.3300,0.1878,0.6244,63442917283,135204739926,798288951959
WUHGOV,Ni,+2,d8,,,9.6300,8.0600,0.9836,0.9063,1.5700,0.5444,0.0888,1310099765,248977193634,450576773616
WUHGUB,Ni,+2,d8,,,12.6600,9.3600,1.1024,0.9713,3.3000,0.5749,0.1499,997492884370,906010053362,388290316023
WUHRUM,Cu,+2,d9,N,1-1,5.1600,7.5300,0.7126,0.8768,2.3700,0.4066,0.1868,760608754988,328437773116,415000847655
WUHVAA,Cu,+2,d9,"N,O",1-1,9.7300,7.2200,0.9881,0.8585,2.5100,0.5740,0.1481,839416480705,341555075489,661054256169
WUHVIF,Cu,+2,d9,"O,S",1-1,4.9900,6.2700,0.6981,0.7973,1.2800,0.4432,0.1137,510866061867,595831294597,135425253085
WUHXAY01,Cu,+2,d9,N,1-1,3.9700,4.5400,0.5988,0.6571,0.5700,0.4665,0.0670,174670241636,568463159253,193820075627
WUHXAY02,Cu,+2,d9,N,1-1,4.8200,5.7800,0.6830,0.7619,0.9600,0.4547,0.0906,555007560012,748828181539,193820075627
WUHYEH,Cu,+2,d9,,,9.3800,10.9800,0.9722,1.0406,1.6000,0.4607,0.0786,327455332719,561239559384,951793717437
WUJKAP,Zn,+2,d10,N,1-1,0.4500,0.9100,-0.3468,-0.0410,0.4600,0.3309,0.3382,356354230475,128707640645,538668910549
WUJTAY,Ru,+2,d6,"C,O",1-1,6.5100,6.7700,0.8136,0.8306,0.2600,0.4902,0.0196,645683682930,716584001002,557024585145
WUJVUU,Cu,+2,d9,"N,O",1-1,11.8500,11.0600,1.0737,1.0438,0.7900,0.5172,0.0345,287230082073,19640047600,196141768083
WUKDOV,Cr,,,N,1-1,0.3000,0.5700,-0.5229,-0.2441,0.2700,0.3448,0.3103,193647738923,435878361931,650711873653
WUKKAO,Cu,+2,d9,"Cl,N",1-1,5.1900,6.2800,0.7152,0.7980,1.0900,0.4525,0.0950,857623470454,130910851699,996820917145
WUKKES,Cu,+2,d9,"Cl,N",1-1,9.7500,13.4100,0.9890,1.1274,3.6600,0.4210,0.1580,985264747229,832242320950,46804161769
WUKLEU,Cu,+2,d9,N,1-1,0.6000,1.0200,-0.2218,0.0086,0.4200,0.3704,0.2593,515881342765,996425381680,623506324587
WULTII,Ni,+2,d8,N,2-2,4.9500,5.5400,0.6946,0.7435,0.5900,0.4719,0.0562,778570726790,627846330339,663671083743
WUMFAL,Cu,+2,d9,N,1-1,0.1300,5.7200,-0.8861,0.7574,5.5900,0.0222,0.9556,425720175982,928504487374,417278282044
WUMLAR,Ir,,,"C,Cl,P",3-1,1.0000,2.2500,0.0000,0.3522,1.2500,0.3077,0.3846,645718088590,679430166723,646435335277
WUMPOL,Fe,+2,d6,,,4.8800,5.4200,0.6884,0.7340,0.5400,0.4738,0.0524,515764083220,715982940986,731884740657
WUMQOM,Fe,+2,d6,"C,N",1-1,5.1700,5.8300,0.7135,0.7657,0.6600,0.4700,0.0600,800249300063,23565335105,393760004715
WUMQUS,Fe,+2,d6,"C,N",1-1,8.2300,11.6600,0.9154,1.0667,3.4300,0.4138,0.1724,423741532789,185078939097,144702967036
WUMRII,Ru,+2,d6,"C,P",1-1,5.3300,8.0900,0.7267,0.9079,2.7600,0.3972,0.2057,973014176976,811626740902,993310334494
WUNCAK,Cr,,,"N,O",1-1,1.7500,4.6700,0.2430,0.6693,2.9200,0.2726,0.4548,537709626467,222035918256,846971289348
WUNCEO,Cr,,,N,1-1,4.2800,4.5300,0.6314,0.6561,0.2500,0.4858,0.0284,87791186775,697116157502,129973221996
WUNJAS,Cu,+2,d9,,,0.9700,4.4200,-0.0132,0.6454,3.4500,0.1800,0.6401,80655779526,591159316984,207395797685
WUNKAV,Fe,+2,d6,"Br,N",1-1,1.1700,7.0000,0.0682,0.8451,5.8300,0.1432,0.7136,220504095445,98699686813,260223249794
WUNWUB,Zn,+2,d10,S,1-1,0.8800,1.0400,-0.0555,0.0170,0.1600,0.4583,0.0833,1282249133,908211243098,715754165813
WUNWUZ,Cu,+2,d9,N,1-1,3.7800,5.3200,0.5775,0.7259,1.5400,0.4154,0.1692,335320526405,656942575576,740386319536
WUPHIA,Rh,+3,d6,P,2,8.0100,8.9500,0.9036,0.9518,0.9400,0.4723,0.0554,978391846182,89635679270,42067291706
WUPHOG,Rh,+3,d6,P,2,6.1500,6.8600,0.7889,0.8363,0.7100,0.4727,0.0546,526728179860,819500983247,765037233012
WUPWEN,Cu,+2,d9,,,1.3700,5.1800,0.1367,0.7143,3.8100,0.2092,0.5817,870435214374,170970139608,358819894242
WUPWOU,Ni,+2,d8,N,1-1,0.3500,1.3100,-0.4559,0.1173,0.9600,0.2108,0.5783,109393303282,221008260335,449017852893
WUPXEK,Zn,+2,d10,,,0.7200,1.7400,-0.1427,0.2405,1.0200,0.2927,0.4146,292018736185,240634050951,622492985001
WUQBAN,Fe,+2,d6,,,4.7400,6.6500,0.6758,0.8228,1.9100,0.4162,0.1677,395446551873,658999742435,831420139100
WUQBER,Fe,+2,d6,,,3.7500,6.6400,0.5740,0.8222,2.8900,0.3609,0.2782,191807036750,983176573765,447178050200
WUQJIC,Zn,+2,d10,,,4.3900,5.8700,0.6425,0.7686,1.4800,0.4279,0.1442,361450661148,918880443869,544253286857
WUQMAW,Cu,+2,d9,"N,O",2,4.8000,6.0700,0.6812,0.7832,1.2700,0.4416,0.1168,621873973008,783416796329,898921908688
WUQQIK,Ru,+2,d6,"C,O",1-1,5.5200,5.8100,0.7419,0.7642,0.2900,0.4872,0.0256,64922710471,269666399306,396843039371
WUQQOQ,Ru,+2,d6,"C,O",1-1,5.6400,5.9000,0.7513,0.7709,0.2600,0.4887,0.0225,174862517402,841339788677,622124182780
WURDET,Cu,+2,d9,"N,O",2-1-1,4.7700,6.1400,0.6785,0.7882,1.3700,0.4372,0.1256,991398918134,370552921155,327597400686
WURNEF,Ti,,,,,1.7000,5.7200,0.2304,0.7574,4.0200,0.2291,0.5418,953089619579,687590178304,478525659856
WURREI,Cu,+2,d9,"N,O",2-1-1,0.4400,0.7200,-0.3565,-0.1427,0.2800,0.3793,0.2414,448752411659,988496685363,866802755180
WURYEP,Cu,+2,d9,"N,O",1-1,5.1400,6.1600,0.7110,0.7896,1.0200,0.4549,0.0903,247461615120,959637268617,83104577592
WURZUF,Ru,+2,d6,"C,N",1-1,2.9900,9.6700,0.4757,0.9854,6.6800,0.2362,0.5276,376170963799,118436666945,529507851500
WUSFUL,Mo,,,,,5.3100,5.6400,0.7251,0.7513,0.3300,0.4849,0.0301,815162353497,128382734967,263027254756
WUSGOG,Ni,+2,d8,"C,N",1-1,0.2200,5.9600,-0.6576,0.7752,5.7400,0.0356,0.9288,607597063325,960988071285,782804899592
WUSNAB,Ir,,,"Br,P",1-1,6.4400,8.6400,0.8089,0.9365,2.2000,0.4271,0.1459,103280865799,952834707092,490005050119
WUSNEF,Ir,,,"I,P",1-1,8.7700,14.3200,0.9430,1.1559,5.5500,0.3798,0.2404,109591847346,34989543754,746035910466
WUSQAE,Ru,+2,d6,P,1-1,5.4300,6.1700,0.7348,0.7903,0.7400,0.4681,0.0638,732267897632,657249997272,252190343691
WUSXUH,W,,,,,0.7000,4.4600,-0.1549,0.6493,3.7600,0.1357,0.7287,391359622023,656370701482,302510111714
WUSYAL,Fe,+2,d6,"N,O",1-1,0.4400,6.0000,-0.3565,0.7782,5.5600,0.0683,0.8634,71148752276,997483949298,434923327492
WUSYIT,Zn,+2,d10,"N,O",1-1,0.4000,6.3300,-0.3979,0.8014,5.9300,0.0594,0.8811,137605492034,420768597165,383016112193
WUSYUE,Ru,+2,d6,"Cl,P",1-1,4.9700,6.0700,0.6964,0.7832,1.1000,0.4502,0.0996,622736621737,726049613126,856257281776
WUVMAE,Fe,+2,d6,,,0.3800,4.8600,-0.4202,0.6866,4.4800,0.0725,0.8550,256192568421,955838748844,809728572468
WUVPAE,Zn,+2,d10,"N,O",1-1,8.5400,19.3500,0.9315,1.2867,10.8100,0.3062,0.3876,626085509693,57785119273,532100873971
WUVZAQ,Co,+2,d7,,,0.4800,5.2300,-0.3188,0.7185,4.7500,0.0841,0.8319,984615824461,870751369622,570224906357
WUWKEG,Zr,,,,,8.3800,10.6800,0.9232,1.0286,2.3000,0.4397,0.1207,341303701163,547652611702,92117910303
WUWQOU,Co,+2,d7,P,1-1,0.7600,5.8600,-0.1192,0.7679,5.1000,0.1148,0.7704,482845024248,29254486789,709915148966
WUWQOW,Nb,,,O,1-1,4.8600,5.1400,0.6866,0.7110,0.2800,0.4860,0.0280,943048564267,225821811429,684650910562
WUWQUA,Co,+2,d7,P,1-1,0.6100,1.1000,-0.2147,0.0414,0.4900,0.3567,0.2865,980882349631,610764151236,774342072903
WUWZIY,Cu,+2,d9,"N,S",4,4.8500,6.2800,0.6857,0.7980,1.4300,0.4358,0.1285,252430984507,983083030008,529529816209
WUWZOE,Cu,+2,d9,"F,N,S",4-1-1,4.2300,5.6100,0.6263,0.7490,1.3800,0.4299,0.1402,798256666290,382675015911,945338245060
WUXBEX,Cu,+2,d9,"F,N,O,S",4-1-1,5.2500,8.5900,0.7202,0.9340,3.3400,0.3793,0.2413,510481013288,745106464447,322069520605
WUXQIS,Hf,,,,,4.7400,5.9300,0.6758,0.7731,1.1900,0.4442,0.1115,903240245912,649234786108,577978714650
WUYFUT,Ru,+2,d6,"C,Cl,P",1-1-1-1,6.0800,6.1200,0.7839,0.7868,0.0400,0.4984,0.0033,312145190655,873527136968,299536787644
WUYGIG,Cu,+2,d9,"O,S",2,1.7700,4.4900,0.2480,0.6522,2.7200,0.2827,0.4345,893373926147,707449689899,8803398504
WUYGOM,Cu,+2,d9,"Cl,N,O,S",3-1,4.4900,5.6900,0.6522,0.7551,1.2000,0.4411,0.1179,12170683080,92870005562,109866616374
WUYPUE,Co,+2,d7,N,2,0.3600,5.2400,-0.4437,0.7193,4.8800,0.0643,0.8714,981868760049,96562764126,76192358774
WUYQAL,Co,+2,d7,N,2,0.3700,5.1000,-0.4318,0.7076,4.7300,0.0676,0.8647,767065762073,712024782310,11173106195
WUYRUH,Co,+2,d7,"Cl,N",1-1,0.6600,5.4500,-0.1805,0.7364,4.7900,0.1080,0.7840,504226988967,556893196478,892982567993
WUZFIK,Zn,+2,d10,,,5.5000,7.7400,0.7404,0.8887,2.2400,0.4154,0.1692,690693257842,67528574372,274087270709
WUZFOQ,Zn,+2,d10,,,1.2800,5.5500,0.1072,0.7443,4.2700,0.1874,0.6252,654947639808,228642417669,197705201994
WUZFUW,Zn,+2,d10,,,1.3100,5.5700,0.1173,0.7459,4.2600,0.1904,0.6192,199114703759,482258903499,83549599659
WUZGAD,Zn,+2,d10,,,5.3500,5.6000,0.7284,0.7482,0.2500,0.4886,0.0228,934392182321,221677273736,80110011674
WUZGEH,Zn,+2,d10,,,5.4300,7.6600,0.7348,0.8842,2.2300,0.4148,0.1704,151617320154,606101925057,9201716840
WUZGIL,Zn,+2,d10,,,5.6500,5.6600,0.7520,0.7528,0.0100,0.4996,0.0009,294630393489,378487269545,314217129733
WUZGOR,Zn,+2,d10,,,5.5400,5.6200,0.7435,0.7497,0.0800,0.4964,0.0072,646024741525,554222717479,155459091277
WUZGUX,Zn,+2,d10,,,1.4600,5.6100,0.1644,0.7490,4.1500,0.2065,0.5870,304593285095,444099515521,229581170546
WUZJIK,Sc,,,,,0.9900,6.6400,-0.0044,0.8222,5.6500,0.1298,0.7405,116560722466,449366811611,211351215166
WUZMUC,Cu,+2,d9,,,5.5500,13.5700,0.7443,1.1326,8.0200,0.2903,0.4195,665007572467,496807260459,744364749609
WUZNAJ,Cu,+2,d9,,,10.1900,7.2000,1.0082,0.8573,2.9900,0.5860,0.1719,16325663550,135861168213,508013569424
WUZNEN,Zn,+2,d10,,,0.7300,6.2400,-0.1367,0.7952,5.5100,0.1047,0.7905,393883861644,773491741296,115265450772
WUZQER,Co,+2,d7,,,0.5500,0.6300,-0.2596,-0.2007,0.0800,0.4661,0.0678,235903900888,260167355044,322524053252
WUZQUE,Ni,+2,d8,"N,O",1-1,11.8600,14.1600,1.0741,1.1511,2.3000,0.4558,0.0884,963168973604,541582573610,407100016478
WUZXEV,Cu,+2,d9,"N,O",1-1,4.7200,5.7200,0.6739,0.7574,1.0000,0.4521,0.0958,603275739442,348518480173,278792689984
WUZXIC,Re,,,,,5.1900,5.9300,0.7152,0.7731,0.7400,0.4667,0.0665,549407415514,351519912704,360266599742
XABCIO,Cu,+2,d9,"Cl,N",3-1,0.4400,0.8900,-0.3565,-0.0506,0.4500,0.3308,0.3383,213052316838,962239351917,811836412305
XABHAN,Fe,+2,d6,P,1-1,0.5400,1.5800,-0.2676,0.1987,1.0400,0.2547,0.4906,552559512151,95830253295,597977596875
XABHIV,Fe,+2,d6,P,1-1,0.5200,1.7000,-0.2840,0.2304,1.1800,0.2342,0.5315,71684497019,95830253295,597977596875
XABNAQ,Cu,+2,d9,"N,O",2-2,8.2900,14.6500,0.9186,1.1658,6.3600,0.3614,0.2772,600653015354,149847901107,733438556753
XABSUT,Zn,+2,d10,,,0.7200,1.5600,-0.1427,0.1931,0.8400,0.3158,0.3684,147699557447,462727648588,399271892620
XACDIR,Co,+2,d7,,,4.7300,5.2500,0.6749,0.7202,0.5200,0.4739,0.0521,654266490811,673437159088,622589363029
XACGUD,Zn,+2,d10,,,0.3400,5.7100,-0.4685,0.7566,5.3700,0.0562,0.8876,205361994322,77135350085,250465982563
XACHAN,Ti,,,P,2,0.4200,0.9500,-0.3768,-0.0223,0.5300,0.3066,0.3869,132273848057,903205706607,962769049104
XACHOZ,Cu,+2,d9,N,1-1,0.2900,1.4000,-0.5376,0.1461,1.1100,0.1716,0.6568,23141412591,792506430418,457492660009
XACHUF,Cu,+2,d9,N,1-1-1-1,4.8400,5.8300,0.6848,0.7657,0.9900,0.4536,0.0928,77167490814,804080275236,799015887656
XACQAV,Ir,,,C,1-1,5.5700,6.3600,0.7459,0.8035,0.7900,0.4669,0.0662,495497572697,571318399377,562553634222
XADBAH,Ru,+2,d6,"C,N",1-1,5.5700,5.7200,0.7459,0.7574,0.1500,0.4934,0.0133,935370748544,933347190584,109466546948
XADBEL,Ru,+2,d6,"C,Cl,N",1-1-1-1,0.2800,1.5800,-0.5528,0.1987,1.3000,0.1505,0.6989,859794100305,615945293645,386804212263
XADBIP,Ru,+2,d6,"C,N",1-1,5.5900,6.0200,0.7474,0.7796,0.4300,0.4815,0.0370,523550672024,670189330765,789572914340
XADBOV,Ru,+2,d6,"Cl,S",1-1,5.3700,5.7000,0.7300,0.7559,0.3300,0.4851,0.0298,618680653925,551181835071,494943255891
XADCAI,Ru,+2,d6,"C,S",1-1,0.2300,1.8700,-0.6383,0.2718,1.6400,0.1095,0.7810,940725684706,426468814578,532050198509
XADCIO,Cr,,,C,1-1-1-1,5.6100,5.9800,0.7490,0.7767,0.3700,0.4840,0.0319,134599715495,639835874750,402606621283
XADHOA,Cu,+2,d9,,,0.8900,1.1400,-0.0506,0.0569,0.2500,0.4384,0.1232,362237477369,780359827897,112068783513
XADNEX,Zn,+2,d10,,,0.8300,3.3200,-0.0809,0.5211,2.4900,0.2000,0.6000,487578112258,652595628309,699932718091
XADNIB,Cu,+2,d9,,,5.2000,6.5400,0.7160,0.8156,1.3400,0.4429,0.1141,187970522004,326418282272,724936740285
XADSUT,Cu,+2,d9,O,2-2,4.5700,5.6900,0.6599,0.7551,1.1200,0.4454,0.1092,452259485669,569291806185,460006931207
XADXOP,V,,,N,1-1,0.1100,3.6800,-0.9586,0.5658,3.5700,0.0290,0.9420,267151207124,659119020652,802333284437
XADYAC,V,,,N,1-1,0.2400,1.5900,-0.6198,0.2014,1.3500,0.1311,0.7377,708474580850,448023455618,908558733146
XADYAC01,V,,,N,1-1,0.2300,5.7900,-0.6383,0.7627,5.5600,0.0382,0.9236,929215043257,93473265361,908558733146
XADYOQ,V,,,O,1-1,0.2800,5.5300,-0.5528,0.7427,5.2500,0.0482,0.9036,142156821891,199377667766,812206111530
XADYUW,V,,,"N,O",1-1,0.2900,5.5000,-0.5376,0.7404,5.2100,0.0501,0.8998,505405644339,181515157334,865029921707
XADZAD,V,,,"N,O",1-1,0.2500,5.4800,-0.6021,0.7388,5.2300,0.0436,0.9127,127191355348,253136873483,376247939289
XADZEH,V,,,"N,O",1-1,0.2600,5.5800,-0.5850,0.7466,5.3200,0.0445,0.9110,877704707935,993816040455,847437952867
XAFDEN,Cu,+2,d9,"N,O",2,5.2100,6.0400,0.7168,0.7810,0.8300,0.4631,0.0738,773575568688,924590206022,533180251781
XAFFUF,Cu,+2,d9,"N,O",1-1,0.3700,5.8500,-0.4318,0.7672,5.4800,0.0595,0.8810,617987678233,572604733812,858671775269
XAFGAM,Ru,+2,d6,"Cl,N,P",1-1-1-1,0.5100,1.7900,-0.2924,0.2529,1.2800,0.2217,0.5565,216842322954,817126051936,80893165268
XAFKUL,Cu,+2,d9,"N,O",1-1,7.3400,3.9300,0.8657,0.5944,3.4100,0.6513,0.3026,806015754425,727590787681,645711375603
XAFKUO,Rh,+3,d6,"N,O",1-1,5.0700,5.9000,0.7050,0.7709,0.8300,0.4622,0.0757,562032456423,342869861744,460006881014
XAGBAI,Fe,+2,d6,"N,O",1-1,4.2800,5.6700,0.6314,0.7536,1.3900,0.4302,0.1397,481266074325,723685648935,918489605855
XAGHAP,Cu,+2,d9,N,2,4.1200,5.4800,0.6149,0.7388,1.3600,0.4292,0.1417,192405640960,976400462280,774483764241
XAGJEY,Cu,+2,d9,,,6.5300,10.4800,0.8149,1.0204,3.9500,0.3839,0.2322,596309786910,963382388534,88893304671
XAGNUQ,Cu,+2,d9,N,1-1,0.7100,4.5300,-0.1487,0.6561,3.8200,0.1355,0.7290,702177592308,893238360870,970383724907
XAGPOM,Cu,+2,d9,,,4.3000,6.3000,0.6335,0.7993,2.0000,0.4057,0.1887,443998785262,653421662129,697532718391
XAGTIL,Ni,+2,d8,N,1-1,4.3800,4.8000,0.6415,0.6812,0.4200,0.4771,0.0458,438725183323,603302481699,529978160770
XAGYEJ,Re,,,,,0.3100,5.7200,-0.5086,0.7574,5.4100,0.0514,0.8972,35178462412,697027442678,318272245077
XAHHAT,V,,,P,1-1,1.3000,1.3500,0.1139,0.1303,0.0500,0.4906,0.0189,569970620418,650210711154,827041912117
XAHJAU,V,,,,,7.5500,13.9200,0.8779,1.1436,6.3700,0.3517,0.2967,336067814845,586950615926,972102419143
XAHJUM,Ru,+2,d6,Cl,1-1,5.5700,5.6600,0.7459,0.7528,0.0900,0.4960,0.0080,83900943398,748200223735,541446231170
XAHKEA,V,,,P,1-1,1.3000,1.4800,0.1139,0.1703,0.1800,0.4676,0.0647,120984973408,199613094454,670535054639
XAHLEY,Mn,,,,,2.2500,4.9200,0.3522,0.6920,2.6700,0.3138,0.3724,895380988580,882299296207,775620850478
XAHQAZ,Cu,+2,d9,N,1-1,0.5600,5.0000,-0.2518,0.6990,4.4400,0.1007,0.7986,634780596534,625649320603,96591282184
XAHRED,Re,,,,,0.2600,0.4800,-0.5850,-0.3188,0.2200,0.3514,0.2973,136868783667,223773638729,656106310017
XAHRIH,Re,,,,,0.2500,5.4100,-0.6021,0.7332,5.1600,0.0442,0.9117,388815627856,271743694198,444123920838
XAHRON,Re,,,,,0.2600,0.5000,-0.5850,-0.3010,0.2400,0.3421,0.3158,778015035814,920676543689,168468110542
XAHRUT,Re,,,,,0.2600,5.4800,-0.5850,0.7388,5.2200,0.0453,0.9094,481940763620,767464425154,996981977314
XAHRUW,Zn,+2,d10,"N,O",1-1,0.4400,5.3800,-0.3565,0.7308,4.9400,0.0756,0.8488,558722716329,489104579791,13232567155
XAHSAA,Re,,,,,0.3000,5.7800,-0.5229,0.7619,5.4800,0.0493,0.9013,396033819840,493023927203,315398842356
XAHSEE,Re,,,,,0.3100,5.3700,-0.5086,0.7300,5.0600,0.0546,0.8908,391862740415,315967350961,335069476491
XAHSII,Re,,,,,0.3100,5.4400,-0.5086,0.7356,5.1300,0.0539,0.8922,267538654279,119972873360,264993889411
XAHXUC,Cu,+2,d9,N,1-1,4.1700,4.5800,0.6201,0.6609,0.4100,0.4766,0.0469,137420681748,999210249266,868067567639
XAHYAJ,Cu,+2,d9,"O,S",2,1.1500,5.5200,0.0607,0.7419,4.3700,0.1724,0.6552,732892297748,572883838235,446268557587
XAJDIA,Mo,,,,,4.8800,6.8300,0.6884,0.8344,1.9500,0.4167,0.1665,500696853003,315542760538,410187881218
XAJKOI,Cu,+2,d9,"Cl,N",1-1,1.2400,6.3500,0.0934,0.8028,5.1100,0.1634,0.6733,802479035212,670186505078,989867532698
XAJNIK,Cu,+2,d9,N,1-1,0.6200,1.2700,-0.2076,0.1038,0.6500,0.3280,0.3439,941239189534,66876608438,489674976310
XAJYUD,Cu,+2,d9,N,1-1,5.5100,11.2400,0.7412,1.0508,5.7300,0.3290,0.3421,497075323955,437486377082,716569199128
XAJZEN,Re,,,,,0.4900,0.8200,-0.3098,-0.0862,0.3300,0.3740,0.2519,738784530182,87182024268,565370888099
XAJZIR,Re,,,,,5.0500,5.6300,0.7033,0.7505,0.5800,0.4728,0.0543,245103149444,555165765407,497737138040
XAJZOX,Re,,,,,4.8600,5.6200,0.6866,0.7497,0.7600,0.4637,0.0725,291393301789,99154396594,445023714568
XAJZUD,Cu,+2,d9,"N,O",1-1,5.3200,6.1800,0.7259,0.7910,0.8600,0.4626,0.0748,443491012235,713634703734,516730427534
XAKBUG,Os,,,,,0.6500,6.4500,-0.1871,0.8096,5.8000,0.0915,0.8169,498843763990,101785405322,700028849055
XAKGEY,Co,+2,d7,,,1.1400,4.8600,0.0569,0.6866,3.7200,0.1900,0.6200,197639283449,476057890085,344008960408
XAKGUN,Cu,+2,d9,"N,O",1-1-1-1,0.2400,0.6600,-0.6198,-0.1805,0.4200,0.2667,0.4667,916076869878,694961765913,498533744930
XAKROT,Cu,+2,d9,N,1-1,12.7200,11.6700,1.1045,1.0671,1.0500,0.5215,0.0431,863100071214,184365623994,186380709787
XALFOF,Ru,+2,d6,Cl,1-1,0.1100,1.7600,-0.9586,0.2455,1.6500,0.0588,0.8824,894690726920,27653212002,555236294035
XALFUL,Ru,+2,d6,"N,P",1-1,0.1800,1.1800,-0.7447,0.0719,1.0000,0.1324,0.7353,778183996923,526109930840,364651526957
XALGAS,Ru,+2,d6,"N,P",1-1,4.8700,5.0500,0.6875,0.7033,0.1800,0.4909,0.0181,966198439626,84952237049,142949019750
XALGIE,Mn,,,"N,O",1-1,11.8700,18.8000,1.0745,1.2742,6.9300,0.3870,0.2260,267247318786,46898605340,422172871169
XALHAX,Mn,,,"N,O",1-1,0.3600,6.0400,-0.4437,0.7810,5.6800,0.0562,0.8875,77589525206,12952237047,420255283806
XALJAV,W,,,C,1-1-1-1,5.2300,5.9000,0.7185,0.7709,0.6700,0.4699,0.0602,763859543981,789987733680,155802333842
XALJID,Cr,,,C,1-1-1-1,5.2400,5.7200,0.7193,0.7574,0.4800,0.4781,0.0438,931214861397,639835874750,402606621283
XALJIE,Zn,+2,d10,,,4.4700,5.3900,0.6503,0.7316,0.9200,0.4533,0.0933,544420535499,263146687315,9903826470
XALKAW,Zr,,,N,1-1,0.6900,1.7500,-0.1612,0.2430,1.0600,0.2828,0.4344,996685638965,530037256429,328028705218
XALQUY,V,,,O,2,6.8700,15.3800,0.8370,1.1870,8.5100,0.3088,0.3825,975185249222,562796463121,539486010654
XALTEJ,Zn,+2,d10,"Cl,N",1-1,0.7200,5.5800,-0.1427,0.7466,4.8600,0.1143,0.7714,647585529033,726951868725,139487939705
