refcode,metal,oxidation_state,d_count,donor_set,denticity_pattern,S_TBPY,S_SPY,log_S_TBPY,log_S_SPY,boundary_delta,path_coordinate,boundary_coordinate,L0_hash,L1_hash,L3_hash
ABIXAO,Hg,,,,,5.2000,5.3500,0.7160,0.7284,0.1500,0.4929,0.0142,767144580803,370966820016,352334914542
ABIZIW,Cd,,,,,3.7500,5.5800,0.5740,0.7466,1.8300,0.4019,0.1961,58754467585,676139454624,205543667132
ABOBOK,V,,,,,1.1100,5.9300,0.0453,0.7731,4.8200,0.1577,0.6847,799693936402,943563848248,523996991066
ABOFAC,Zn,+2,d10,,,0.6900,0.8500,-0.1612,-0.0706,0.1600,0.4481,0.1039,543262322039,10206506602,76969175088
ABOJOU,Ni,+2,d8,"Br,N",1-1,4.3200,6.7700,0.6355,0.8306,2.4500,0.3895,0.2209,717857086163,614004883653,74669104906
ABOMAH,Ni,+2,d8,N,2,5.1200,5.6700,0.7093,0.7536,0.5500,0.4745,0.0510,897043059682,162280503104,407911279837
ABOSIW,Cu,+2,d9,N,1-1-1-1,0.4000,0.6900,-0.3979,-0.1612,0.2900,0.3670,0.2661,825408017340,600054383698,370098306598
ABOWOF,Zn,+2,d10,O,1-1,0.1700,5.6300,-0.7696,0.7505,5.4600,0.0293,0.9414,566989349815,808875973007,786659749212
ABOXOI,Zn,+2,d10,,,0.7700,5.6100,-0.1135,0.7490,4.8400,0.1207,0.7586,914918476863,637256815376,455133104798
ABOXUO,Zn,+2,d10,,,0.5900,0.9200,-0.2291,-0.0362,0.3300,0.3907,0.2185,656405077677,922800836617,833605910590
ABOZOJ,Fe,+2,d6,,,0.3000,1.0700,-0.5229,0.0294,0.7700,0.2190,0.5620,329206888264,995939729803,405586241841
ABUBEI,Hg,,,,,5.6500,5.8500,0.7520,0.7672,0.2000,0.4913,0.0174,581307453261,873328575581,423214239867
ABUFEJ,Ru,+2,d6,C,1-1,5.6900,5.7700,0.7551,0.7612,0.0800,0.4965,0.0070,285397666289,293583390862,184216383506
ABUMUG,Cu,+2,d9,"Cl,N",1-1,0.6600,2.0100,-0.1805,0.3032,1.3500,0.2472,0.5056,8477654472,68307008524,350296745542
ABUNET,Cu,+2,d9,N,2,10.9700,7.9900,1.0402,0.9025,2.9800,0.5786,0.1572,680379047080,149608892284,417205222453
ABUSAU,Cd,,,,,1.0500,6.9300,0.0212,0.8407,5.8800,0.1316,0.7368,5984495490,837110085960,550440079186
ABYPCU,Cu,+2,d9,"N,O",1-1,10.2700,6.2800,1.0116,0.7980,3.9900,0.6205,0.2411,22260950084,357041568075,363144618324
ACACVO02,V,,,,,0.1000,0.6900,-1.0000,-0.1612,0.5900,0.1266,0.7468,843072816223,306059805577,463932044794
ACACVO03,V,,,,,5.1800,5.9500,0.7143,0.7745,0.7700,0.4654,0.0692,785373025121,342417289893,463932044794
ACACVO04,V,,,,,0.1000,0.8400,-1.0000,-0.0757,0.7400,0.1064,0.7872,904697907643,306059805577,463932044794
ACACVO05,V,,,,,0.1000,0.6900,-1.0000,-0.1612,0.5900,0.1266,0.7468,843072816223,306059805577,463932044794
ACACVO06,V,,,,,0.1000,0.8500,-1.0000,-0.0706,0.7500,0.1053,0.7895,546310058754,306059805577,463932044794
ACACVO07,V,,,,,5.1700,5.9500,0.7135,0.7745,0.7800,0.4649,0.0701,803863622386,342417289893,463932044794
ACACVO08,V,,,,,0.1000,0.8500,-1.0000,-0.0706,0.7500,0.1053,0.7895,546310058754,306059805577,463932044794
ACACVO09,V,,,,,5.1800,5.9500,0.7143,0.7745,0.7700,0.4654,0.0692,785373025121,342417289893,463932044794
ACACVO10,V,,,,,0.1000,0.8400,-1.0000,-0.0757,0.7400,0.1064,0.7872,904697907643,306059805577,463932044794
ACACVO11,V,,,,,5.1700,5.9500,0.7135,0.7745,0.7800,0.4649,0.0701,803863622386,342417289893,463932044794
ACACVO12,V,,,,,0.1000,0.8400,-1.0000,-0.0757,0.7400,0.1064,0.7872,904697907643,306059805577,463932044794
ACACVO13,V,,,,,5.1700,5.9500,0.7135,0.7745,0.7800,0.4649,0.0701,803863622386,342417289893,463932044794
ACACVO14,V,,,,,5.1900,5.9500,0.7152,0.7745,0.7600,0.4659,0.0682,538513926486,342417289893,463932044794
ACACVO15,V,,,,,0.1000,0.8400,-1.0000,-0.0757,0.7400,0.1064,0.7872,904697907643,306059805577,463932044794
ACACZM02,Zn,+2,d10,,,0.3400,0.4400,-0.4685,-0.3565,0.1000,0.4359,0.1282,940926015291,887804044462,182321355802
ACADAL,Cu,+2,d9,"N,O",2-1-1,5.0000,6.8300,0.6990,0.8344,1.8300,0.4227,0.1547,624498836512,676439248345,834367524003
ACADEP,Cu,+2,d9,"N,O",2-1-1,0.3500,0.6900,-0.4559,-0.1612,0.3400,0.3365,0.3269,215784319720,554916695166,434138113194
ACADOZ,Cu,+2,d9,,,4.4400,5.6900,0.6474,0.7551,1.2500,0.4383,0.1234,350570817594,303659472097,302199562167
