subset,model,fold,seed,target,n_graph_groups,n_pairs,n_member_records,true_abs_delta_mean,pair_delta_mae,pair_concordance_ties_half,pair_tie_fraction
S2,visnet_3d,1,22,dipole_moment,30,48,75,2.780972916666667,0.6907540051698683,0.9791666666666666,0.0
S2,visnet_3d,1,22,hl_gap_ev,30,47,76,0.24859048749872342,0.2169347203356676,0.6595744680851063,0.0
S2,visnet_3d,1,33,dipole_moment,30,48,75,2.780972916666667,0.659043480817477,0.9791666666666666,0.0
S2,visnet_3d,1,33,hl_gap_ev,30,47,76,0.24859048749872342,0.2709333771764557,0.3617021276595745,0.0
S2,visnet_3d,2,11,dipole_moment,24,37,58,3.4252,0.4070628546740558,1.0,0.0
S2,visnet_3d,2,11,hl_gap_ev,26,38,61,0.22823908258381584,0.17586451541658057,0.5263157894736842,0.0
S2,visnet_3d,2,22,dipole_moment,24,37,58,3.4252,0.3550785158930599,1.0,0.0
S2,visnet_3d,2,22,hl_gap_ev,26,38,61,0.22823908258381584,0.19717654920843244,0.6052631578947368,0.0
S2,visnet_3d,2,33,dipole_moment,24,37,58,3.4252,0.4538539413555249,0.972972972972973,0.0
S2,visnet_3d,2,33,hl_gap_ev,26,38,61,0.22823908258381584,0.24457928184185468,0.5526315789473685,0.0
S2,visnet_3d,3,11,dipole_moment,22,23,45,3.5889260869565223,0.6590627403425134,1.0,0.0
S2,visnet_3d,3,11,hl_gap_ev,26,29,55,0.30281581273462066,0.2746320879276091,0.4827586206896552,0.0
S2,visnet_3d,3,22,dipole_moment,22,23,45,3.5889260869565223,0.755982256847879,1.0,0.0
S2,visnet_3d,3,22,hl_gap_ev,26,29,55,0.30281581273462066,0.29274443208240297,0.4482758620689655,0.0
S2,visnet_3d,3,33,dipole_moment,22,23,45,3.5889260869565223,0.6767942789326544,1.0,0.0
S2,visnet_3d,3,33,hl_gap_ev,26,29,55,0.30281581273462066,0.2721861643344013,0.6206896551724138,0.0
S2,visnet_3d,4,11,dipole_moment,19,20,39,3.6083849999999997,0.7332528272247315,0.95,0.0
S2,visnet_3d,4,11,hl_gap_ev,32,41,73,0.22990302916119515,0.17586464582037625,0.6341463414634146,0.0
S2,visnet_3d,4,22,dipole_moment,19,20,39,3.6083849999999997,0.9306590168571475,0.9,0.0
S2,visnet_3d,4,22,hl_gap_ev,32,41,73,0.22990302916119515,0.22516987034483982,0.7073170731707317,0.0
S2,visnet_3d,4,33,dipole_moment,19,20,39,3.6083849999999997,1.1144857341384888,0.95,0.0
S2,visnet_3d,4,33,hl_gap_ev,32,41,73,0.22990302916119515,0.23344203212988157,0.4878048780487805,0.0
S3,visnet_3d,0,11,dipole_moment,6,6,12,1.856716666666667,0.5083187795003256,1.0,0.0
S3,visnet_3d,0,11,hl_gap_ev,5,18,15,0.18429667206938888,0.23119895296154683,0.16666666666666666,0.0
S3,visnet_3d,0,22,dipole_moment,6,6,12,1.856716666666667,0.3854129444758097,1.0,0.0
S3,visnet_3d,0,22,hl_gap_ev,5,18,15,0.18429667206938888,0.1770863700417397,0.8888888888888888,0.0
S3,visnet_3d,0,33,dipole_moment,6,6,12,1.856716666666667,0.45326083653767907,1.0,0.0
S3,visnet_3d,0,33,hl_gap_ev,5,18,15,0.18429667206938888,0.21233201193036041,0.3888888888888889,0.0
S3,visnet_3d,1,11,dipole_moment,8,16,21,2.3429937499999998,0.7220520041465754,1.0,0.0
S3,visnet_3d,1,11,hl_gap_ev,8,18,24,0.30640020912983335,0.4145482673853469,0.16666666666666666,0.0
S3,visnet_3d,1,22,dipole_moment,8,16,21,2.3429937499999998,0.5661806874752043,0.9375,0.0
S3,visnet_3d,1,22,hl_gap_ev,8,18,24,0.30640020912983335,0.3061728333499178,0.5555555555555556,0.0
S3,visnet_3d,1,33,dipole_moment,8,16,21,2.3429937499999998,0.5299264027595522,0.9375,0.0
S3,visnet_3d,1,33,hl_gap_ev,8,18,24,0.30640020912983335,0.3650847463209905,0.2222222222222222,0.0
S3,visnet_3d,2,11,dipole_moment,6,10,16,2.2966,0.32864959167480456,1.0,0.0
S3,visnet_3d,2,11,hl_gap_ev,5,10,13,0.22811305090009998,0.13981519593569774,0.7,0.0
S3,visnet_3d,2,22,dipole_moment,6,10,16,2.2966,0.3839692035675051,1.0,0.0
S3,visnet_3d,2,22,hl_gap_ev,5,10,13,0.22811305090009998,0.2167932228666527,0.5,0.0
S3,visnet_3d,2,33,dipole_moment,6,10,16,2.2966,0.2626942496871948,1.0,0.0
S3,visnet_3d,2,33,hl_gap_ev,5,10,13,0.22811305090009998,0.3131071047407373,0.5,0.0
S3,visnet_3d,3,11,dipole_moment,6,6,12,3.267116666666667,1.054902863311768,1.0,0.0
S3,visnet_3d,3,11,hl_gap_ev,9,10,19,0.4795734711994,0.40536137307775705,0.3,0.0
S3,visnet_3d,3,22,dipole_moment,6,6,12,3.267116666666667,0.7946457781473799,1.0,0.0
S3,visnet_3d,3,22,hl_gap_ev,9,10,19,0.4795734711994,0.4576945372928448,0.5,0.0
S3,visnet_3d,3,33,dipole_moment,6,6,12,3.267116666666667,0.915279692268372,1.0,0.0
S3,visnet_3d,3,33,hl_gap_ev,9,10,19,0.4795734711994,0.440474087845213,0.4,0.0
S3,visnet_3d,4,11,dipole_moment,6,7,13,2.3667000000000002,0.6389513503483364,1.0,0.0
S3,visnet_3d,4,11,hl_gap_ev,7,10,18,0.23186822220210002,0.22557609363917272,0.5,0.0
S3,visnet_3d,4,22,dipole_moment,6,7,13,2.3667000000000002,0.8660868042537143,1.0,0.0
S3,visnet_3d,4,22,hl_gap_ev,7,10,18,0.23186822220210002,0.3544809131276982,0.5,0.0
S3,visnet_3d,4,33,dipole_moment,6,7,13,2.3667000000000002,0.8642898289271762,1.0,0.0
S3,visnet_3d,4,33,hl_gap_ev,7,10,18,0.23186822220210002,0.3347396037481716,0.4,0.0
