node_id,source_database,source_id,metal_count,metals_str,cn_list,shape_best_list,donor_set,bridge_types,haptic_modes,periodic_truncated,parse_valid,roundtrip_valid,L0,L1,L2,L3
MOF_ABIWAL,CSD_MOF,ABIWAL,1,Cd,6,OC,"N,N,N,N,O,O",,,True,True,True,Cd|CN:6,Cd|CN:6|Shape:OC,Cd|CN:6|Shape:OC|Donors:N+N+N+N+O+O|Bridges:0,d32e4a19d8fb
MOF_ABIWEN,CSD_MOF,ABIWEN,4,Cu+Cu+Cu+Cu,"5,5,1,1","TBPY,TBPY,CN1,CN1","N,N,N,N,O,O,O,O,O,O,O,O",,,True,True,True,Cu+Cu+Cu+Cu|CN:5+5+1+1,Cu+Cu+Cu+Cu|CN:5+5+1+1|Shape:TBPY+TBPY+CN1+CN1,Cu+Cu+Cu+Cu|CN:5+5+1+1|Shape:TBPY+TBPY+CN1+CN1|Donors:N+N+N+N+O+O+O+O+O+O+O+O|Bridges:0,81b326cb0700
MOF_ABIWOB,CSD_MOF,ABIWOB,1,Hg,4,SP,"Cl,N,O,O",,,True,True,True,Hg|CN:4,Hg|CN:4|Shape:SP,Hg|CN:4|Shape:SP|Donors:Cl+N+O+O|Bridges:0,5c673b4910c7
MOF_ABIWOX,CSD_MOF,ABIWOX,3,Co+Co+Co,"6,2,1","OC,L,CN1","N,O,O,O,O,O,O,O,O",,,True,True,True,Co+Co+Co|CN:6+2+1,Co+Co+Co|CN:6+2+1|Shape:OC+L+CN1,Co+Co+Co|CN:6+2+1|Shape:OC+L+CN1|Donors:N+O+O+O+O+O+O+O+O|Bridges:0,8f05fe0c7e55
MOF_ABIWOY,CSD_MOF,ABIWOY,2,Cu+Cu,"5,4","TBPY,SP","N,N,N,O,O,O,O,O",mu2-O,,True,True,True,Cu+Cu|CN:5+4,Cu+Cu|CN:5+4|Shape:TBPY+SP,Cu+Cu|CN:5+4|Shape:TBPY+SP|Donors:N+N+N+O+O+O+O+O|Bridges:1,fe38aaf6c51a
MOF_ABIWUF,CSD_MOF,ABIWUF,1,Cd,4,SP,"I,I,N,N",,,True,True,True,Cd|CN:4,Cd|CN:4|Shape:SP,Cd|CN:4|Shape:SP|Donors:I+I+N+N|Bridges:0,d56c77a04c6a
MOF_ABIXAM,CSD_MOF,ABIXAM,1,Hg,4,SP,"I,I,N,N",,,True,True,True,Hg|CN:4,Hg|CN:4|Shape:SP,Hg|CN:4|Shape:SP|Donors:I+I+N+N|Bridges:0,82c95ebae8d3
MOF_ABIXEQ,CSD_MOF,ABIXEQ,1,Co,4,SP,"N,N,O,O",,,True,True,True,Co|CN:4,Co|CN:4|Shape:SP,Co|CN:4|Shape:SP|Donors:N+N+O+O|Bridges:0,0d5b26f17542
MOF_ABIXIU,CSD_MOF,ABIXIU,2,Cu+Cu,"5,5","TBPY,TBPY","N,N,N,N,O,O,O,O,O,O",,,True,True,True,Cu+Cu|CN:5+5,Cu+Cu|CN:5+5|Shape:TBPY+TBPY,Cu+Cu|CN:5+5|Shape:TBPY+TBPY|Donors:N+N+N+N+O+O+O+O+O+O|Bridges:0,fd75a0c1ad4f
MOF_ABIYET,CSD_MOF,ABIYET,1,Zn,6,OC,"N,N,O,O,O,O",,,True,True,True,Zn|CN:6,Zn|CN:6|Shape:OC,Zn|CN:6|Shape:OC|Donors:N+N+O+O+O+O|Bridges:0,9243618fdff2
MOF_ABIYIV,CSD_MOF,ABIYIV,7,Co+Co+Co+Co+Co+Co+Co,"6,6,6,2,1,2,1","OC,OC,OC,L,CN1,L,CN1","N,N,N,N,N,N,N,N,N,N,N,N,N,N,O,O,O,O,O,O,O,O,O,O",,,True,True,True,Co+Co+Co+Co+Co+Co+Co|CN:6+6+6+2+1+2+1,Co+Co+Co+Co+Co+Co+Co|CN:6+6+6+2+1+2+1|Shape:OC+OC+OC+L+CN1+L+CN1,Co+Co+Co+Co+Co+Co+Co|CN:6+6+6+2+1+2+1|Shape:OC+OC+OC+L+CN1+L+CN1|Donors:N+N+N+N+N+N+N+N+N+N+N+N+N+N+O+O+O+O+O+O+O+O+O+O|Bridges:0,e36b7e283d4b
MOF_ABIYIX,CSD_MOF,ABIYIX,1,Zn,6,OC,"N,N,O,O,O,O",,,True,True,True,Zn|CN:6,Zn|CN:6|Shape:OC,Zn|CN:6|Shape:OC|Donors:N+N+O+O+O+O|Bridges:0,9243618fdff2
MOF_ABIYOD,CSD_MOF,ABIYOD,1,Zn,6,OC,"N,N,O,O,O,O",,,True,True,True,Zn|CN:6,Zn|CN:6|Shape:OC,Zn|CN:6|Shape:OC|Donors:N+N+O+O+O+O|Bridges:0,9243618fdff2
MOF_ABIYUJ,CSD_MOF,ABIYUJ,2,Zn+Zn,"4,4","SP,SP","N,N,N,N,O,O,O,O",,,True,True,True,Zn+Zn|CN:4+4,Zn+Zn|CN:4+4|Shape:SP+SP,Zn+Zn|CN:4+4|Shape:SP+SP|Donors:N+N+N+N+O+O+O+O|Bridges:0,acb5ad63853b
MOF_ABIZAQ,CSD_MOF,ABIZAQ,1,Zn,6,OC,"N,N,O,O,O,O",,,True,True,True,Zn|CN:6,Zn|CN:6|Shape:OC,Zn|CN:6|Shape:OC|Donors:N+N+O+O+O+O|Bridges:0,9243618fdff2
MOF_ABIZEU,CSD_MOF,ABIZEU,1,Zn,6,OC,"N,N,O,O,O,O",,,True,True,True,Zn|CN:6,Zn|CN:6|Shape:OC,Zn|CN:6|Shape:OC|Donors:N+N+O+O+O+O|Bridges:0,9243618fdff2
MOF_ABIZIY,CSD_MOF,ABIZIY,1,Co,6,OC,"N,N,O,O,O,O",,,True,True,True,Co|CN:6,Co|CN:6|Shape:OC,Co|CN:6|Shape:OC|Donors:N+N+O+O+O+O|Bridges:0,e91f36cfed65
MOF_ABIZOE,CSD_MOF,ABIZOE,1,Co,6,OC,"N,N,O,O,O,O",,,True,True,True,Co|CN:6,Co|CN:6|Shape:OC,Co|CN:6|Shape:OC|Donors:N+N+O+O+O+O|Bridges:0,e91f36cfed65
MOF_ABIZUK,CSD_MOF,ABIZUK,1,Co,6,OC,"N,N,O,O,O,O",,,True,True,True,Co|CN:6,Co|CN:6|Shape:OC,Co|CN:6|Shape:OC|Donors:N+N+O+O+O+O|Bridges:0,e91f36cfed65
MOF_ABOBAY,CSD_MOF,ABOBAY,1,Co,6,OC,"N,N,O,O,O,O",,,True,True,True,Co|CN:6,Co|CN:6|Shape:OC,Co|CN:6|Shape:OC|Donors:N+N+O+O+O+O|Bridges:0,e91f36cfed65
MOF_ABOBIC,CSD_MOF,ABOBIC,2,Ni+Ni,"6,1","OC,CN1","N,N,N,N,N,S,S",,,True,True,True,Ni+Ni|CN:6+1,Ni+Ni|CN:6+1|Shape:OC+CN1,Ni+Ni|CN:6+1|Shape:OC+CN1|Donors:N+N+N+N+N+S+S|Bridges:0,24ddf91ea68c
MOF_ABOBUQ,CSD_MOF,ABOBUQ,2,Ag+Ag,"2,1","L,CN1","N,N,N",,,True,True,True,Ag+Ag|CN:2+1,Ag+Ag|CN:2+1|Shape:L+CN1,Ag+Ag|CN:2+1|Shape:L+CN1|Donors:N+N+N|Bridges:0,42eb51d967db
MOF_ABOCAV,CSD_MOF,ABOCAV,3,Ag+Ag+Ag,"3,3,1","TP,TP,CN1","N,N,O,O,O,P,P",,,True,True,True,Ag+Ag+Ag|CN:3+3+1,Ag+Ag+Ag|CN:3+3+1|Shape:TP+TP+CN1,Ag+Ag+Ag|CN:3+3+1|Shape:TP+TP+CN1|Donors:N+N+O+O+O+P+P|Bridges:0,0d9f45df9348
MOF_ABOCIF,CSD_MOF,ABOCIF,7,Mn+Mn+Mn+Mn+Mn+Mn+Mn,"6,6,6,6,6,6,1","OC,OC,OC,OC,OC,OC,CN1","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","mu2-O,mu4-O",,True,True,True,Mn+Mn+Mn+Mn+Mn+Mn+Mn|CN:6+6+6+6+6+6+1,Mn+Mn+Mn+Mn+Mn+Mn+Mn|CN:6+6+6+6+6+6+1|Shape:OC+OC+OC+OC+OC+OC+CN1,Mn+Mn+Mn+Mn+Mn+Mn+Mn|CN:6+6+6+6+6+6+1|Shape:OC+OC+OC+OC+OC+OC+CN1|Donors:O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O|Bridges:6,4492c3f17002
MOF_ABOCUP,CSD_MOF,ABOCUP,2,Cu+Cu,"6,6","OC,OC","N,N,N,N,O,O,O,O,O,O",,,True,True,True,Cu+Cu|CN:6+6,Cu+Cu|CN:6+6|Shape:OC+OC,Cu+Cu|CN:6+6|Shape:OC+OC|Donors:N+N+N+N+O+O+O+O+O+O|Bridges:0,6bdf8ff71602
MOF_ABOGAD,CSD_MOF,ABOGAD,2,Ag+Ag,"2,2","L,L","C,N,N",,,True,True,True,Ag+Ag|CN:2+2,Ag+Ag|CN:2+2|Shape:L+L,Ag+Ag|CN:2+2|Shape:L+L|Donors:C+N+N|Bridges:0,401aab97d4e5
MOF_ABOGUX,CSD_MOF,ABOGUX,10,Co+Co+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo,"6,6,6,6,6,6,6,6,6,1","OC,OC,OC,OC,OC,OC,OC,OC,OC,CN1","N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","mu2-O,mu3-O,mu4-O",,True,True,True,Co+Co+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo|CN:6+1+6+6+6+6+6+6+6+6,Co+Co+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo|CN:6+1+6+6+6+6+6+6+6+6|Shape:OC+CN1+OC+OC+OC+OC+OC+OC+OC+OC,Co+Co+Mo+Mo+Mo+Mo+Mo+Mo+Mo+Mo|CN:6+1+6+6+6+6+6+6+6+6|Shape:OC+CN1+OC+OC+OC+OC+OC+OC+OC+OC|Donors:N+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O|Bridges:15,3c5f2dc68dba
