node_id,source_database,source_id,record_type,metal_count,metals_str,cn_list,shape_best_list,donor_set,bridge_types,haptic_modes,L0,L1,L2,L3,ligand_signature
MULTI_ACINOQ,CSD_multi,ACINOQ,multinuclear,4,Mn+Mn+Mn+Mn,"6,6,6,6","OC,OC,OC,OC","N,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","mu2-O,mu3-O",,Mn+Mn+Mn+Mn|CN:6+6+6+6,Mn+Mn+Mn+Mn|CN:6+6+6+6|Shape:OC+OC+OC+OC,Mn+Mn+Mn+Mn|CN:6+6+6+6|Shape:OC+OC+OC+OC|Donors:N+N+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O|Bridges:5,955712d23697,N+N+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O
MULTI_ACINOQ01,CSD_multi,ACINOQ01,multinuclear,4,Mn+Mn+Mn+Mn,"6,6,6,6","OC,OC,OC,OC","N,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","mu2-O,mu3-O",,Mn+Mn+Mn+Mn|CN:6+6+6+6,Mn+Mn+Mn+Mn|CN:6+6+6+6|Shape:OC+OC+OC+OC,Mn+Mn+Mn+Mn|CN:6+6+6+6|Shape:OC+OC+OC+OC|Donors:N+N+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O|Bridges:5,955712d23697,N+N+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O
MULTI_ACINOT,CSD_multi,ACINOT,multinuclear,4,Ir+Ir+Ta+Ta,"2,2,3,3","L,L,TP,TP","C,C,C,C,C,C,H,H,H,H",,,Ir+Ir+Ta+Ta|CN:2+2+3+3,Ir+Ir+Ta+Ta|CN:2+2+3+3|Shape:L+L+TP+TP,Ir+Ir+Ta+Ta|CN:2+2+3+3|Shape:L+L+TP+TP|Donors:C+C+C+C+C+C+H+H+H+H|Bridges:0,bd3a40406498,C+C+C+C+C+C+H+H+H+H
MULTI_ACINUW,CSD_multi,ACINUW,multinuclear,4,Mn+Mn+Mn+Mn,"6,6,6,6","OC,OC,OC,OC","N,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",mu2-O,,Mn+Mn+Mn+Mn|CN:6+6+6+6,Mn+Mn+Mn+Mn|CN:6+6+6+6|Shape:OC+OC+OC+OC,Mn+Mn+Mn+Mn|CN:6+6+6+6|Shape:OC+OC+OC+OC|Donors:N+N+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O|Bridges:6,986fa79fa6df,N+N+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O
MULTI_ACIPAE,CSD_multi,ACIPAE,multinuclear,4,Mn+Mn+Mn+Mn,"6,6,6,6","OC,OC,OC,OC","N,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",mu2-O,,Mn+Mn+Mn+Mn|CN:6+6+6+6,Mn+Mn+Mn+Mn|CN:6+6+6+6|Shape:OC+OC+OC+OC,Mn+Mn+Mn+Mn|CN:6+6+6+6|Shape:OC+OC+OC+OC|Donors:N+N+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O|Bridges:6,986fa79fa6df,N+N+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O
MULTI_ACIPIN,CSD_multi,ACIPIN,multinuclear,2,Cu+Cu,"4,4","SP,SP","I,I,P,P,S,S",mu2-I,,Cu+Cu|CN:4+4,Cu+Cu|CN:4+4|Shape:SP+SP,Cu+Cu|CN:4+4|Shape:SP+SP|Donors:I+I+P+P+S+S|Bridges:2,50433223982e,I+I+P+P+S+S
MULTI_ACIPOT,CSD_multi,ACIPOT,multinuclear,2,Cu+Cu,"4,4","SP,SP","Br,Br,P,P,S,S",mu2-Br,,Cu+Cu|CN:4+4,Cu+Cu|CN:4+4|Shape:SP+SP,Cu+Cu|CN:4+4|Shape:SP+SP|Donors:Br+Br+P+P+S+S|Bridges:2,4a644b93538a,Br+Br+P+P+S+S
MULTI_ACIPUZ,CSD_multi,ACIPUZ,multinuclear,2,Cu+Cu,"4,4","SP,SP","Cl,Cl,P,P,S,S",mu2-Cl,,Cu+Cu|CN:4+4,Cu+Cu|CN:4+4|Shape:SP+SP,Cu+Cu|CN:4+4|Shape:SP+SP|Donors:Cl+Cl+P+P+S+S|Bridges:2,86238f64592a,Cl+Cl+P+P+S+S
MULTI_ACIQAG,CSD_multi,ACIQAG,multinuclear,2,Cu+Cu,"4,4","SP,SP","Br,Br,P,P,S,S",mu2-Br,,Cu+Cu|CN:4+4,Cu+Cu|CN:4+4|Shape:SP+SP,Cu+Cu|CN:4+4|Shape:SP+SP|Donors:Br+Br+P+P+S+S|Bridges:2,4a644b93538a,Br+Br+P+P+S+S
MULTI_ACIQIO,CSD_multi,ACIQIO,multinuclear,2,Cu+Cu,"4,4","SP,SP","Cl,Cl,S,S,S,S",mu2-S,,Cu+Cu|CN:4+4,Cu+Cu|CN:4+4|Shape:SP+SP,Cu+Cu|CN:4+4|Shape:SP+SP|Donors:Cl+Cl+S+S+S+S|Bridges:2,4cdd7b24ab86,Cl+Cl+S+S+S+S
