molecular_record_id,molecular_refcode,mof_node_id,mof_source_id,match_rank,homology_score,metal_score,donor_set_score,CN_score,shape_similarity,bridge_or_haptic_score,topology_score,stereo_or_relation_score,match_level
MONO_AFOLIQ,AFOLIQ,MOF_ABIFAT01,ABIFAT01,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,L3_collision
MONO_AFOLIQ,AFOLIQ,MOF_ACESMN,ACESMN,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,L3_collision
MONO_AFOLIQ,AFOLIQ,MOF_ACIQEJ,ACIQEJ,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,L3_collision
MONO_AFOLIQ,AFOLIQ,MOF_ACADAM,ACADAM,5,0.85,1.0,0.5,1.0,1.0,1.0,1.0,0.5,weak_match
MULTI_ACPYMN,ACPYMN,MOF_ACUXAY01,ACUXAY01,1,0.8104,1.0,0.875,1.0,1.0,0.1667,0.5,0.5,relaxed_donor_geometry_match
MULTI_ACPYMN,ACPYMN,MOF_ACADOA,ACADOA,2,0.7711,1.0,0.6842,1.0,1.0,0.25,0.5,0.5,relaxed_donor_geometry_match
MULTI_ACPYMN,ACPYMN,MOF_ACEGEW,ACEGEW,3,0.7322,1.0,0.5789,1.0,1.0,0.125,0.5,0.5,weak_match
MULTI_ACPYMN,ACPYMN,MOF_ABUGUC,ABUGUC,4,0.6955,0.8,0.8235,0.75,0.75,0.0714,0.7,0.5,relaxed_donor_geometry_match
MULTI_ACPYMN,ACPYMN,MOF_ABUHAJ,ABUHAJ,5,0.6481,0.8,0.6957,0.7083,0.75,0.0,0.7,0.5,relaxed_donor_geometry_match
MULTI_ACIPAE,ACIPAE,MOF_ABUGUC,ABUGUC,1,0.8574,1.0,0.8333,1.0,1.0,0.7411,0.5,0.5,bridge_topology_match
MULTI_ACIPAE,ACIPAE,MOF_ABUHAJ,ABUHAJ,2,0.7498,1.0,0.7826,0.9583,0.75,0.0,0.5,0.5,relaxed_donor_geometry_match
MULTI_ACIPAE,ACIPAE,MOF_ACADOA,ACADOA,3,0.7381,0.8,0.8889,0.75,0.75,0.3333,0.7,0.5,relaxed_donor_geometry_match
MULTI_ACIPAE,ACIPAE,MOF_ACUXAY01,ACUXAY01,4,0.6928,0.8,0.6842,0.75,0.75,0.3929,0.7,0.5,relaxed_donor_geometry_match
MULTI_ACIPAE,ACIPAE,MOF_ACEGEW,ACEGEW,5,0.6295,0.8,0.4545,0.75,0.75,0.3333,0.7,0.5,weak_match
MONO_ADUCUZ,ADUCUZ,MOF_ABOWIY,ABOWIY,1,0.5625,0.0,0.75,0.75,0.0,1.0,1.0,0.5,weak_match
MONO_ADUCUZ,ADUCUZ,MOF_ACOVAT01,ACOVAT01,2,0.5075,0.8,0.25,0.25,0.0,1.0,0.7,0.5,weak_match
MONO_ADUCUZ,ADUCUZ,MOF_ABENAY,ABENAY,3,0.475,0.0,0.0,1.0,1.0,1.0,1.0,0.5,no_match
MONO_ADUCUZ,ADUCUZ,MOF_ADATAD,ADATAD,4,0.475,0.0,0.0,1.0,1.0,1.0,1.0,0.5,no_match
MONO_ADUCUZ,ADUCUZ,MOF_ADATEH,ADATEH,5,0.475,0.0,0.0,1.0,1.0,1.0,1.0,0.5,no_match
MULTI_ACCOSN,ACCOSN,MOF_ABOTUG03,ABOTUG03,1,0.5417,1.0,0.0,0.8333,0.0,0.5,0.5,0.5,weak_match
MULTI_ACCOSN,ACCOSN,MOF_ABUYAA,ABUYAA,2,0.5167,1.0,0.0,0.8333,0.0,0.25,0.5,0.5,weak_match
MULTI_ACCOSN,ACCOSN,MOF_ACAVIN,ACAVIN,3,0.5167,1.0,0.0,0.8333,0.0,0.25,0.5,0.5,weak_match
MULTI_ACCOSN,ACCOSN,MOF_ABOTUG01,ABOTUG01,4,0.4917,1.0,0.0,0.8333,0.0,0.0,0.5,0.5,no_match
MULTI_ACCOSN,ACCOSN,MOF_ABAYOU,ABAYOU,5,0.4867,0.8,0.0,0.6667,0.6667,0.25,0.7,0.5,no_match
