mof_node_id,mof_source_id,molecular_record_id,molecular_refcode,match_rank,homology_score,metal_score,donor_set_score,CN_score,shape_similarity,bridge_or_haptic_score,topology_score,stereo_or_relation_score,match_level
MOF_ABZCUH04,ABZCUH04,MONO_AFIBOH,AFIBOH,5,0.8548,1.0,0.8333,0.8571,0.0,1.0,1.0,0.5,bridge_topology_match
MOF_ABZCUH05,ABZCUH05,MONO_ACAQOK,ACAQOK,1,0.9393,1.0,0.8571,1.0,1.0,1.0,1.0,0.5,bridge_topology_match
MOF_ABZCUH05,ABZCUH05,MONO_AGIQEQ,AGIQEQ,2,0.9393,1.0,0.8571,1.0,1.0,1.0,1.0,0.5,bridge_topology_match
MOF_ABZCUH05,ABZCUH05,MONO_ACENEF,ACENEF,3,0.8361,1.0,0.4444,1.0,1.0,1.0,1.0,0.5,weak_match
MOF_ABZCUH05,ABZCUH05,MONO_ACUHUD,ACUHUD,4,0.825,1.0,0.7143,0.8571,0.0,1.0,1.0,0.5,bridge_topology_match
MOF_ABZCUH05,ABZCUH05,MONO_AFNICD,AFNICD,5,0.825,1.0,0.7143,0.8571,0.0,1.0,1.0,0.5,bridge_topology_match
MOF_ACABEM,ACABEM,MULTI_ADUXOP,ADUXOP,1,0.7985,1.0,0.5385,0.7778,0.6667,1.0,1.0,0.5,weak_match
MOF_ACABEM,ACABEM,MULTI_AFAFEV,AFAFEV,2,0.7985,1.0,0.5385,0.7778,0.6667,1.0,1.0,0.5,weak_match
MOF_ACABEM,ACABEM,MULTI_ACUBUX,ACUBUX,3,0.7917,1.0,0.6667,0.6667,0.3333,1.0,1.0,0.5,relaxed_donor_geometry_match
MOF_ACABEM,ACABEM,MULTI_ACUBUX01,ACUBUX01,4,0.7917,1.0,0.6667,0.6667,0.3333,1.0,1.0,0.5,relaxed_donor_geometry_match
MOF_ACABEM,ACABEM,MULTI_ADUQEX,ADUQEX,5,0.7697,1.0,0.5789,0.6667,0.3333,1.0,1.0,0.5,weak_match
MOF_ACABEO,ACABEO,MONO_ABCOPD,ABCOPD,1,0.9333,1.0,0.8333,1.0,1.0,1.0,1.0,0.5,bridge_topology_match
MOF_ACABEO,ACABEO,MONO_ACAJUM,ACAJUM,2,0.9333,1.0,0.8333,1.0,1.0,1.0,1.0,0.5,bridge_topology_match
MOF_ACABEO,ACABEO,MONO_ACARAX,ACARAX,3,0.9333,1.0,0.8333,1.0,1.0,1.0,1.0,0.5,bridge_topology_match
MOF_ACABEO,ACABEO,MONO_ACEJAU,ACEJAU,4,0.9333,1.0,0.8333,1.0,1.0,1.0,1.0,0.5,bridge_topology_match
MOF_ACABEO,ACABEO,MONO_ACEJAU01,ACEJAU01,5,0.9333,1.0,0.8333,1.0,1.0,1.0,1.0,0.5,bridge_topology_match
MOF_ACABIS,ACABIS,MONO_ABCOPD,ABCOPD,1,0.9333,1.0,0.8333,1.0,1.0,1.0,1.0,0.5,bridge_topology_match
MOF_ACABIS,ACABIS,MONO_ACAJUM,ACAJUM,2,0.9333,1.0,0.8333,1.0,1.0,1.0,1.0,0.5,bridge_topology_match
MOF_ACABIS,ACABIS,MONO_ACARAX,ACARAX,3,0.9333,1.0,0.8333,1.0,1.0,1.0,1.0,0.5,bridge_topology_match
MOF_ACABIS,ACABIS,MONO_ACEJAU,ACEJAU,4,0.9333,1.0,0.8333,1.0,1.0,1.0,1.0,0.5,bridge_topology_match
MOF_ACABIS,ACABIS,MONO_ACEJAU01,ACEJAU01,5,0.9333,1.0,0.8333,1.0,1.0,1.0,1.0,0.5,bridge_topology_match
MOF_ACABOY,ACABOY,MONO_ABCOPD,ABCOPD,1,0.9333,1.0,0.8333,1.0,1.0,1.0,1.0,0.5,bridge_topology_match
MOF_ACABOY,ACABOY,MONO_ACAJUM,ACAJUM,2,0.9333,1.0,0.8333,1.0,1.0,1.0,1.0,0.5,bridge_topology_match
MOF_ACABOY,ACABOY,MONO_ACARAX,ACARAX,3,0.9333,1.0,0.8333,1.0,1.0,1.0,1.0,0.5,bridge_topology_match
MOF_ACABOY,ACABOY,MONO_ACEJAU,ACEJAU,4,0.9333,1.0,0.8333,1.0,1.0,1.0,1.0,0.5,bridge_topology_match
MOF_ACABOY,ACABOY,MONO_ACEJAU01,ACEJAU01,5,0.9333,1.0,0.8333,1.0,1.0,1.0,1.0,0.5,bridge_topology_match
MOF_ACACAL,ACACAL,MONO_AAZDCO,AAZDCO,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,L3_collision
MOF_ACACAL,ACACAL,MONO_ABASEE,ABASEE,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,L3_collision
MOF_ACACAL,ACACAL,MONO_ABOBAW,ABOBAW,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,L3_collision
MOF_ACACAL,ACACAL,MONO_ABOBEA,ABOBEA,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,L3_collision
MOF_ACACAL,ACACAL,MONO_ABOSUH,ABOSUH,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,L3_collision
MOF_ACACCD,ACACCD,MULTI_AFAVUA,AFAVUA,1,0.7619,1.0,0.7143,0.9167,0.5,0.5,0.5,0.5,bridge_topology_match
MOF_ACACCD,ACACCD,MULTI_ABOLUA,ABOLUA,2,0.6583,1.0,0.5,0.6667,0.5,0.0,1.0,0.5,weak_match
MOF_ACACCD,ACACCD,MULTI_ADCDNO10,ADCDNO10,3,0.6321,1.0,0.4286,0.5,0.0,1.0,0.5,0.5,weak_match
MOF_ACACCD,ACACCD,MULTI_ABOJUW,ABOJUW,4,0.6048,1.0,0.2857,0.6667,0.5,0.0,1.0,0.5,weak_match
MOF_ACACCD,ACACCD,MULTI_AFEGEZ,AFEGEZ,5,0.5964,1.0,0.4286,0.5714,0.0,0.0,1.0,0.5,weak_match
MOF_ACACIT,ACACIT,MONO_ABAKAQ,ABAKAQ,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,L3_collision
MOF_ACACIT,ACACIT,MONO_AAMTCO,AAMTCO,2,0.8917,1.0,0.6667,1.0,1.0,1.0,1.0,0.5,relaxed_donor_geometry_match
MOF_ACACIT,ACACIT,MONO_AAMTCO10,AAMTCO10,3,0.8917,1.0,0.6667,1.0,1.0,1.0,1.0,0.5,relaxed_donor_geometry_match
MOF_ACACIT,ACACIT,MONO_ABAHUH,ABAHUH,4,0.8917,1.0,0.6667,1.0,1.0,1.0,1.0,0.5,relaxed_donor_geometry_match
MOF_ACACIT,ACACIT,MONO_ABAJIX,ABAJIX,5,0.8917,1.0,0.6667,1.0,1.0,1.0,1.0,0.5,relaxed_donor_geometry_match
MOF_ACACUF,ACACUF,MONO_AAZDCO,AAZDCO,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,L3_collision
MOF_ACACUF,ACACUF,MONO_ABASEE,ABASEE,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,L3_collision
MOF_ACACUF,ACACUF,MONO_ABOBAW,ABOBAW,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,L3_collision
MOF_ACACUF,ACACUF,MONO_ABOBEA,ABOBEA,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,L3_collision
MOF_ACACUF,ACACUF,MONO_ABOSUH,ABOSUH,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,L3_collision
MOF_ACADAM,ACADAM,MONO_ABZAMN,ABZAMN,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,L3_collision
MOF_ACADAM,ACADAM,MONO_ACACMN,ACACMN,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,L3_collision
