selection_order,mol_id,fold,metal,cn,graph_sha256,candidate_count,k,signature_matches,exact_matches,signature_fully_collapsed,exact_fully_collapsed,signature_roundtrip_passes,exact_roundtrip_passes,signature_roundtrip_all,exact_roundtrip_all,candidate_count_matches,candidate_count_stable,variant_errors,signature_reference_sha256,exact_reference_sha256,encode_median_seconds,signature_median_seconds,exact_median_seconds,error_examples_json,fatal_error
875,FEPSAX,3,Zn,6,8f460af68fdc920910bc227d3137f885585e5792101b1995e2b507160f522674,2,100,100,100,True,True,100,100,True,True,100,True,0,267855811905166398183b57a48342ae52a5eeb82e40f9e05d50145a44ea2205,267855811905166398183b57a48342ae52a5eeb82e40f9e05d50145a44ea2205,0.008691949988133274,0.00017640000442042947,0.0005085000011604279,[],
876,FOQQAD,2,Pd,4,7c49027b3cfc685883cc40b62bae9737deb0283873eb82abe116b6ad627ebff2,4,100,44,100,False,True,100,100,True,True,100,True,0,41bede840d9b59c98cce2d93c36c754c783c5e9d3c3d0d7c2a53dcc95e9f67fa,3edf3936c3320679bbd96f6afea636e32024243f42710d5d8d5078f0888ec170,0.00618489999033045,0.00017220000154338777,0.0007539999787695706,[],
877,QOJNUY,4,Pt,4,77bc575a830a9b855c669f13f13550e7ee59c6084eb6e964c3e2fe9dda5bf8f6,2,100,49,100,False,True,100,100,True,True,100,True,0,a80f7f0f9e8534b597e57f54b670a6201f1e99a832bd72400c65c6cec3a4865b,811659b521fe653e97405a024363946e597551a72194ff062003e51bcfd36317,0.004603199995472096,0.00023589999182149768,0.0007018999895080924,[],
878,FIRCER,3,Pd,4,d25d4e37cbbdd031a5cc556fd31330dc542f8663aee8889caecde9278e0577b6,2,100,100,100,True,True,100,100,True,True,100,True,0,e1c530901e0e079bf273b765eb03f49f8a1f21337a21e521d9e4adc95f824c9f,e1c530901e0e079bf273b765eb03f49f8a1f21337a21e521d9e4adc95f824c9f,0.008261250011855736,0.000149200001033023,0.0003905000048689544,[],
879,LAVQOO,4,Ni,4,3afdfdcbc5637fbcf0e13683b7d355015895168b467836bde03a242ae40afbfb,2,100,100,100,True,True,100,100,True,True,100,True,0,cd373707e4561d772e95af049470a4ac5f8d9754fcad074ec92aa029ae21ff4d,cd373707e4561d772e95af049470a4ac5f8d9754fcad074ec92aa029ae21ff4d,0.004262449991074391,0.00014459999511018395,0.00036949999048374593,[],
880,GEQCUE,4,Zn,4,7909291c6feb23019a903abaab05da2870358337eefb898dd267fa0421b90e1a,2,100,55,100,False,True,100,100,True,True,100,True,0,a41ff3f1d88d058777a51dc19ab09b0eb0eabf2d53d2fdd882cb316926467501,46d5ab77d9e046c8adf4d5ef8b78bb2d26ffd2d35b0673d9aadabd40fa8e4193,0.0035325000062584877,0.00014139999984763563,0.00035149999894201756,[],
881,ZEHMAE,3,Zn,5,ff6ab16419191cad9aa12306c7930d65e9abf1f8b9262444eed6c9b101ad9e55,2,100,48,100,False,True,100,100,True,True,100,True,0,1bfd372882fe9e6f78e4c02703f9beccc8bb25d417de2e835bc209f144096195,b31d85c91e69ecfec4dd63730400bc196e83ce806f4e56ba55baa6f6795ebba0,0.005939399983617477,0.00017859999206848443,0.000519900000654161,[],
882,UNOPUK,3,Pd,4,0050525a8fc50a5316a5c3147a1fc794053c644798f60a1c5480d3161df08c8b,4,100,45,100,False,True,100,100,True,True,100,True,0,d75286fd05da9b51278bc596cfbcbf0269acb25d8f99654685c4a777cda9a234,d75286fd05da9b51278bc596cfbcbf0269acb25d8f99654685c4a777cda9a234,0.0027314999897498637,0.000245599978370592,0.001274500013096258,[],
883,OPUFIQ,2,Cu,4,1624bbff624fccd9c3eddabe16160f5e461b24ed17127e4e27c40c535a2d2890,2,100,53,100,False,True,100,100,True,True,100,True,0,b5476cbecf424a0ca23b4ad2f9565c1ed35d1d5e22ad70bd3c9a39250678a8f9,8479487c238fea1b285c90e494e8090efae2aa52c3746cfb0a0269a48509a7f2,0.007907249993877485,0.00014600000577047467,0.0003628999984357506,[],
884,LADVIY,0,Ir,6,c7d5b60a1315c260ca602af27263e8c655940e16fcf49bc83e2f9c7ead5676a1,2,100,44,100,False,True,100,100,True,True,100,True,0,740950af5e48a6026b7e4eb35bbd19febca326eb26c25d8a4e75df0575e746a5,740950af5e48a6026b7e4eb35bbd19febca326eb26c25d8a4e75df0575e746a5,0.010405099994386546,0.00023780000628903508,0.0009457000123802572,[],
885,VUPDOZ,0,Pd,4,c74b09a7933974c5d2a041c07cb70d9af966cfef4ff1dc0df92220b21cd5a2d1,2,100,50,100,False,True,100,100,True,True,100,True,0,102f48c766feef89638a08a1de76ffb235d5d149aae19b632b878436a5ffe468,102f48c766feef89638a08a1de76ffb235d5d149aae19b632b878436a5ffe468,0.005498950005858205,0.00016649998724460602,0.00046049998491071165,[],
886,QOCWIO,1,Pd,4,9d833383f981c63f0dfc3339b29b474ea4d5847e944552250da818468901cc19,2,100,56,100,False,True,100,100,True,True,100,True,0,6cdda2b62ac5c59f03cf3f8c36786fb07a994180c7f95c6d749d7973810d9323,9709278c50cc5f80239d89cb02459b8c2ae3fc4410978edf8e6f244a6bf96276,0.003241600003093481,0.00022720001288689673,0.0006982999911997467,[],
