refcode,metal,S_TBPY,S_SPY,delta,in_ridge
AMEYUO,Zn,0.3,1.3,1.0,False
AMICUV,Ru,0.14,1.69,1.55,False
AMIDEJ,Fe,0.31,0.68,0.37,True
AMIMOY,Cu,5.13,10.67,5.54,False
AMOGEO,Cu,4.99,5.11,0.12,True
AMOGEO01,Cu,1.95,5.03,3.08,False
AMOGEO02,Cu,1.96,5.08,3.12,False
AMOGIT,Cu,0.11,5.61,5.5,False
AMOHIT,Re,5.24,5.96,0.72,True
AMOKIW,Tc,5.01,5.78,0.77,True
AMOKOC,Re,0.46,5.01,4.55,False
AMOKUI,Re,0.51,5.07,4.56,False
AMOLIX,Re,0.38,0.69,0.31,True
AMOMAQ,Re,5.21,6.27,1.06,False
AMOMEU,Re,0.67,1.0,0.33,True
AMOMIY,Re,4.98,5.96,0.98,True
AMOMOE,Tc,4.97,5.65,0.68,True
AMONOF,Re,0.22,0.47,0.25,True
AMONUL,Re,0.14,1.1,0.96,True
AMOPAT,Re,0.19,0.47,0.28,True
AMOPIB01,Re,5.16,5.91,0.75,True
AMOQAU,Re,4.71,5.39,0.68,True
AMOQEY,Re,4.96,5.49,0.53,True
AMOQIC,Re,0.18,0.49,0.31,True
AMOSAW,Re,0.28,5.38,5.1,False
AMOSIE,Tc,0.24,0.6,0.36,True
AMOSUQ,Tc,12.16,8.48,3.68,False
AMOZEH,Tc,0.06,3.78,3.72,False
AMOZOR,Re,0.07,3.79,3.72,False
AMUGIA,Fe,1.89,3.99,2.1,False
AMUKOJ,Y,0.3,1.22,0.92,True
ANCAFC,Cu,5.14,5.85,0.71,True
ANEDUV,Mn,4.54,6.81,2.27,False
ANEMOX,Cu,0.49,0.64,0.15,True
ANESIY,Mn,5.66,6.0,0.34,True
ANEXAT,Fe,0.04,1.3,1.26,False
ANICAC,Zn,5.06,5.13,0.07,True
ANODEP,Cu,0.48,5.85,5.37,False
ANOFEP,Mn,0.32,6.2,5.88,False
ANOREB,Zn,0.79,6.53,5.74,False
ANUCOE,V,0.18,0.94,0.76,True
ANUFEX,Cu,2.76,4.08,1.32,False
ANUFIB,Cu,0.54,3.8,3.26,False
ANUJAV,Y,5.27,6.8,1.53,False
ANUZOZ,Mn,4.75,4.81,0.06,True
APACUN,Cu,0.73,5.63,4.9,False
APAICU01,Cu,0.35,1.08,0.73,True
APAICU02,Cu,0.35,1.01,0.66,True
APAJOT,Zn,1.11,1.78,0.67,True
APANUD,Zn,5.26,6.29,1.03,False
APASES,Rh,10.53,13.9,3.37,False
APBPCN,Cu,0.56,5.81,5.25,False
APEKUE,Fe,0.96,1.42,0.46,True
APELAL,Fe,4.81,5.64,0.83,True
APELUF,Zn,0.89,1.39,0.5,True
APENCU01,Cu,6.85,14.35,7.5,False
APENCU02,Cu,0.19,1.14,0.95,True
APENCU03,Cu,0.27,0.91,0.64,True
APENCU04,Cu,0.37,6.81,6.44,False
APENCU05,Cu,0.29,0.81,0.52,True
APENCU06,Cu,0.28,0.87,0.59,True
APENCU07,Cu,0.28,0.9,0.62,True
APENCU08,Cu,0.29,0.83,0.54,True
APEYUR,Hg,4.75,6.74,1.99,False
APIZIJ,Re,0.2,5.49,5.29,False
APOGUI,Cu,1.02,1.1,0.08,True
