refcode,metal,S_TBPY,S_SPY,delta,in_ridge
UGIFOI,Ag,5.24,7.66,2.42,False
UGINOO,Zn,0.28,0.69,0.41,True
UGIPUW,Mn,7.12,8.13,1.01,False
UGISIO,Zn,0.22,0.7,0.48,True
UGISIO03,Zn,0.23,0.7,0.47,True
UGODUQ,Zn,0.89,4.63,3.74,False
UGOFAY,Cd,1.0,4.38,3.38,False
UGOFEC,Zn,0.89,4.63,3.74,False
UGOGED,Ni,7.58,13.3,5.72,False
UGOGIH,Ni,12.57,10.94,1.63,False
UGONUC,Co,5.23,6.47,1.24,False
UGOSIV,Cu,10.79,9.34,1.45,False
UGOSUH,Cu,3.51,7.29,3.78,False
UGOTUG,Re,5.08,5.81,0.73,True
UGOVAO,Re,5.05,5.84,0.79,True
UGOVES,Re,0.26,0.63,0.37,True
UGOVIW,Re,5.05,5.77,0.72,True
UGUDAC,Os,0.21,0.99,0.78,True
UGUDEG,Os,0.21,5.81,5.6,False
UGUDOQ,Os,0.21,1.16,0.95,True
UGUDUW,Os,0.19,5.41,5.22,False
UHAZAE,Zn,0.94,0.94,0.0,True
UHEDOC,Fe,5.04,5.74,0.7,True
UHEGAQ,Fe,0.62,1.57,0.95,True
UHERUY,V,4.48,5.86,1.38,False
UHESAF,V,4.45,5.87,1.42,False
UHIROS,Ir,0.48,1.0,0.52,True
UHIYIW,V,4.8,6.06,1.26,False
UHOKUZ,Cd,9.75,10.92,1.17,False
UHOLAG,Cd,7.66,10.0,2.34,False
UHOLEK,Cd,14.06,10.15,3.91,False
UHOLIO,Cd,13.66,11.05,2.61,False
UHOPUE,Nb,0.34,5.7,5.36,False
UHOYIA,W,5.13,5.98,0.85,True
UJADAK,Rh,0.32,1.46,1.14,False
UJAMEA,W,4.9,5.64,0.74,True
UJAQIF,Zn,0.84,5.92,5.08,False
UJASOQ,Cu,0.33,5.04,4.71,False
UJAWEK,Cu,0.33,1.54,1.21,False
UJEDUL,Ni,0.1,1.33,1.23,False
UJEFOH,Cu,0.56,5.08,4.52,False
UJEFUN,Cu,0.1,5.66,5.56,False
UJEHUO,Cu,8.33,8.58,0.25,True
UJELEC,Cu,0.55,0.55,0.0,True
UJEQOR,Os,5.79,6.11,0.32,True
UJEREI,Os,0.57,1.03,0.46,True
UJILAE,Zn,5.4,5.96,0.56,True
UJILOS,Zn,0.74,0.93,0.19,True
UJIMUV,Fe,0.02,5.59,5.57,False
UJIQEM,Mn,5.09,5.37,0.28,True
UJIRUB,Zn,0.84,6.0,5.16,False
UJISEL,Co,0.02,5.41,5.39,False
UJISIQ,Cu,0.66,1.16,0.5,True
UJIXOB,Mn,0.64,1.63,0.99,True
UJOVOG,Co,1.06,5.44,4.38,False
UJOVUK,Ir,5.85,6.15,0.3,True
UJOVUM,Co,4.57,5.35,0.78,True
UJOWEV,Ir,2.74,4.21,1.47,False
UJOWIZ,Ir,6.55,10.25,3.7,False
UJOXOG,Cu,9.42,11.13,1.71,False
UJOXUM,Cu,7.42,12.0,4.58,False
UJOYAT,Cu,11.22,13.41,2.19,False
UJOYIF,Ir,0.44,0.69,0.25,True
UJUDEJ,Rh,0.54,6.21,5.67,False
UJUNAO,Zn,4.61,5.4,0.79,True
UJUPAR,Co,0.83,1.6,0.77,True
UJUPEV,Cu,0.31,5.72,5.41,False
UJUPOF,Fe,0.67,1.35,0.68,True
UJUQEW,Ni,0.45,5.71,5.26,False
UJUYEF,Nb,4.62,6.09,1.47,False
UJUYUV,Nb,4.52,5.96,1.44,False
UJUZUV,Ru,0.57,1.2,0.63,True
UKABEO,Ru,0.51,0.98,0.47,True
UKARED,Cu,0.45,1.14,0.69,True
UKARIH,Cu,6.71,8.69,1.98,False
UKARON,Cu,0.42,4.74,4.32,False
UKAROO,Ta,10.69,8.44,2.25,False
UKARUU,Ta,0.47,1.38,0.91,True
UKASOP,Mn,6.46,6.61,0.15,True
UKAWOV,Zn,0.38,0.75,0.37,True
UKECAQ,Ir,6.29,6.43,0.14,True
UKECIY,Ir,6.52,6.55,0.03,True
UKEHUO,Zr,0.84,6.28,5.44,False
UKEJAW,Hf,0.91,1.62,0.71,True
UKEJUP,Co,0.41,5.62,5.21,False
UKEZAP,Zn,1.05,6.25,5.2,False
UKEZET,Zn,4.55,4.79,0.24,True
UKEZIV,Zn,4.78,5.41,0.63,True
UKEZIX,Zn,3.86,6.71,2.85,False
UKEZOD,Zn,5.61,6.39,0.78,True
UKEZUJ,Zn,2.91,4.54,1.63,False
UKIBAV,Zn,4.72,6.29,1.57,False
UKIBEZ,Zn,5.2,5.52,0.32,True
UKICUM01,Fe,0.37,5.97,5.6,False
UKIMAF,Co,0.85,6.32,5.47,False
UKIMEI,Zn,0.22,0.54,0.32,True
UKIMEJ,Co,0.71,5.35,4.64,False
UKIMIN,Co,0.88,0.89,0.01,True
UKOBAB,Zn,5.05,8.11,3.06,False
UKONUD,Ru,5.82,5.93,0.11,True
UKOQAN,Sc,0.27,6.34,6.07,False
UKOQIV,Sc,0.28,1.14,0.86,True
UKOQUI,V,4.69,5.66,0.97,True
UKOYOL,Ru,0.24,1.35,1.11,False
UKOZAZ,Mn,5.03,5.59,0.56,True
UKUHOB,Mn,5.21,5.85,0.64,True
UKUHUH,Mn,0.12,0.64,0.52,True
UKUMOC,Zn,5.51,6.76,1.25,False
UKUROH,Ru,0.29,1.69,1.4,False
ULAKIC,Zn,4.07,6.68,2.61,False
ULAKOI,Zn,0.42,0.93,0.51,True
ULALID,Mn,4.93,5.78,0.85,True
ULANOL,Cu,0.82,1.76,0.94,True
ULAPAZ,Zn,0.54,1.35,0.81,True
ULAQUU,Cd,1.24,3.84,2.6,False
ULARAB,Cd,4.69,6.57,1.88,False
ULATEI,Ru,0.55,0.92,0.37,True
ULAVUY,Zn,0.08,0.71,0.63,True
ULAVUY01,Zn,0.12,0.69,0.57,True
ULEQEJ,Zn,0.23,0.98,0.75,True
ULEVIQ,Fe,5.06,5.77,0.71,True
ULEVOW,Fe,7.49,8.79,1.3,False
ULEVUC,Fe,4.84,9.45,4.61,False
ULICOH,Zn,0.91,4.93,4.02,False
ULILAC,Pt,3.49,4.36,0.87,True
ULISOA,Cu,0.57,0.65,0.08,True
ULITIV,Zn,2.08,2.18,0.1,True
ULITUH,Fe,3.92,5.62,1.7,False
ULIWUK,Co,0.79,1.45,0.66,True
ULIXAR,Co,0.65,1.71,1.06,False
ULOBUS,Cu,7.56,9.68,2.12,False
ULOHIP,Cu,0.08,5.39,5.31,False
ULOHUB,Cu,0.17,0.68,0.51,True
ULOKEM,Cu,3.37,3.43,0.06,True
ULOVAU,Fe,0.29,5.7,5.41,False
ULUDOV,Cd,4.84,6.85,2.01,False
ULUKES,Rh,4.79,5.42,0.63,True
ULUPEX,Nb,5.11,6.15,1.04,False
ULUREZ,Co,0.72,5.26,4.54,False
UMAFUN,Mn,0.18,1.23,1.05,False
UMAGAU,Mn,0.25,1.22,0.97,True
UMAKEC,Mn,0.22,1.29,1.07,False
UMEBOF,Cu,8.17,8.73,0.56,True
UMELED,Cr,5.51,6.56,1.05,False
UMEROV,Cu,10.48,4.39,6.09,False
UMEXUJ,Ru,5.54,5.56,0.02,True
UMIGEC,Ni,0.33,6.35,6.02,False
UMIGIK,Fe,0.4,5.69,5.29,False
UMILAF,Ir,0.68,1.07,0.39,True
UMILOT,Ir,4.85,6.16,1.31,False
UMIPAJ,Ru,1.89,6.77,4.88,False
UMIQOW,Zn,0.33,1.27,0.94,True
UMIZOF01,Cu,0.55,5.5,4.95,False
UMIZUL,Co,0.1,0.78,0.68,True
UMOFOR,Cu,0.82,1.26,0.44,True
UMOLAJ,Zn,0.19,5.87,5.68,False
UMUCEK,Cu,0.99,5.51,4.52,False
UMUCIO,Cu,4.86,5.15,0.29,True
UMUCOU,Cu,1.31,3.48,2.17,False
UMUREB,Ru,0.28,1.74,1.46,False
UMUVOO,Cu,5.71,6.69,0.98,True
UMUVOO01,Cu,4.55,6.66,2.11,False
UNAQEH,Ni,8.5,7.6,0.9,True
UNAVEM,Ru,0.72,0.91,0.19,True
UNAVOU,Mo,0.49,1.93,1.44,False
UNAWAH,Co,0.47,6.12,5.65,False
UNECOG,Fe,5.45,5.74,0.29,True
UNECUM,Fe,1.52,7.1,5.58,False
UNEMAE,W,6.04,6.31,0.27,True
UNEMOS,Mo,0.81,6.35,5.54,False
UNEMUY,Mo,6.24,6.32,0.08,True
UNEPEJ,Co,1.38,5.34,3.96,False
UNETOY,W,9.78,7.88,1.9,False
UNIXOE,Cu,7.14,10.05,2.91,False
UNIXUK,Cu,0.29,3.63,3.34,False
UNIYIA,Cd,4.55,6.91,2.36,False
UNIZEX,Cu,14.78,9.24,5.54,False
UNIZIB,Cu,4.95,6.3,1.35,False
UNOFEL,Ru,6.06,6.3,0.24,True
UNOJUE,Cu,0.6,0.76,0.16,True
UNOKIS,Zn,0.23,0.41,0.18,True
UNOKOY,Ni,5.53,6.15,0.62,True
UNONET,Ru,5.04,5.84,0.8,True
UNONIX,Ir,5.36,6.08,0.72,True
UNOSIA,Cu,8.03,12.29,4.26,False
UNOTIB,Co,0.41,1.64,1.23,False
UNUCIR,Ta,3.36,6.71,3.35,False
UNUCOX,Ta,4.44,7.04,2.6,False
UPAGEZ,Fe,0.11,1.16,1.05,False
UPASEM,Fe,0.47,6.4,5.93,False
UPEMIN,Co,0.44,5.1,4.66,False
UPICUS,Fe,0.06,5.6,5.54,False
UPIFUV,Fe,5.23,7.54,2.31,False
UPIGEG,Fe,0.92,5.91,4.99,False
UPIJEK,Co,5.39,6.42,1.03,False
UPOKOB,Cu,9.44,7.69,1.75,False
UPOSAV,Cu,4.37,6.59,2.22,False
UPOSUP,Cu,0.51,0.9,0.39,True
UPOWOO,Fe,5.25,7.78,2.53,False
UPOWUU,Fe,6.96,6.73,0.23,True
UPUDOA,Zn,5.36,6.77,1.41,False
UPUDUG,Zn,0.82,6.49,5.67,False
UPUFIW,Cu,0.59,4.56,3.97,False
UPURII,Zn,0.81,6.42,5.61,False
UPUSIK,Co,8.76,11.93,3.17,False
UQAKII,Ni,4.55,6.27,1.72,False
UQANAD,Mn,3.9,5.4,1.5,False
UQEBIC,Cu,0.61,1.36,0.75,True
UQENAG,Zn,0.73,6.36,5.63,False
UQEPEO,Cd,1.41,7.45,6.04,False
UQICAB,Co,11.88,9.45,2.43,False
UQISAP,Cr,4.77,5.46,0.69,True
UQISOF,Co,7.46,6.8,0.66,True
UQITAS,Co,0.39,1.47,1.08,False
UQOTOK,Cu,4.45,6.22,1.77,False
UQOTUQ,Cu,4.53,6.02,1.49,False
UQOZIK,Cu,0.59,0.6,0.01,True
UQOZIK01,Cu,0.6,5.88,5.28,False
UQUBAK,Mn,5.03,5.69,0.66,True
UQUBEO,Mn,0.33,0.65,0.32,True
UQUCIT01,Re,5.09,5.8,0.71,True
UQULOI,Cu,4.55,5.79,1.24,False
UQUQAB,Fe,0.9,1.44,0.54,True
UQUVEI,Zn,4.25,6.71,2.46,False
UQUWEJ,Cd,1.64,1.82,0.18,True
UQUYUB,Cu,9.25,11.45,2.2,False
URAKAC,Ir,5.44,6.19,0.75,True
URCLCD,Cd,0.18,0.57,0.39,True
UREQEP,V,0.13,1.01,0.88,True
URERIV,W,4.9,5.16,0.26,True
URIMUG,Ti,0.4,1.34,0.94,True
URIRIX,Zn,0.55,6.04,5.49,False
UROFAJ,Re,0.41,0.72,0.31,True
UROFEN,Re,0.22,0.44,0.22,True
UROFIR,Re,0.22,0.44,0.22,True
UROFOX,Re,4.8,5.41,0.61,True
UROVIH,Cu,0.24,1.3,1.06,False
URUGOF,Ni,0.47,1.11,0.64,True
URUHEW,Ni,0.12,6.11,5.99,False
URUHOF,Co,0.6,5.58,4.98,False
USAGON,Cu,5.01,5.8,0.79,True
USAGON01,Cu,4.95,5.8,0.85,True
USAKIL,Co,4.38,5.89,1.51,False
USALOQ,Cu,4.75,5.84,1.09,False
USEWUL,Ru,5.92,6.12,0.2,True
USEXAS,Ru,6.04,6.05,0.01,True
USEXEW,Ru,5.97,6.13,0.16,True
USIPET,Mn,4.54,6.2,1.66,False
USIPET01,Mn,4.45,6.23,1.78,False
USIPIX,Mn,4.69,6.26,1.57,False
USIPUJ,Mn,0.76,1.07,0.31,True
USIQEV,Ru,4.7,5.2,0.5,True
USIQEV01,Ru,4.7,5.19,0.49,True
USITOG,Zn,0.3,0.77,0.47,True
USIVAU,Zn,0.26,5.65,5.39,False
USOJAQ,Cr,0.07,1.23,1.16,False
USUTOS,Ru,6.89,11.54,4.65,False
USUTUY,Ru,7.4,12.94,5.54,False
UTABEY,Zr,0.56,2.87,2.31,False
UTALUZ,Co,0.72,5.53,4.81,False
UTAPIR,Cu,0.53,3.4,2.87,False
UTAQEO,Cu,0.7,6.43,5.73,False
UTAVIW,Zn,0.61,1.09,0.48,True
UTAWUI,Cu,6.6,8.47,1.87,False
UTAXAP,Cu,6.69,4.08,2.61,False
UTEQUI,Fe,4.82,10.49,5.67,False
UTEXID,Zn,0.32,0.67,0.35,True
UTEZUP02,Cu,0.25,0.76,0.51,True
UTIHAI,Cd,3.04,4.46,1.42,False
UTITIC,Fe,0.28,0.74,0.46,True
UTITOI,Fe,0.15,1.17,1.02,False
UTIVOK,Cu,0.93,4.68,3.75,False
UTIWAX,Cu,1.13,5.12,3.99,False
UTOWAD,Ir,8.53,16.61,8.08,False
UTOWEH,Ir,0.31,1.79,1.48,False
UTUVIR,Fe,0.39,5.76,5.37,False
UVAFOP,Ru,5.54,5.87,0.33,True
UVAGIJ,Fe,4.61,5.85,1.24,False
UVETUM,Cu,3.39,6.55,3.16,False
UVEXIE,Zr,1.42,3.22,1.8,False
UVEXUQ,Zr,0.79,6.18,5.39,False
UVEYAX,Hf,0.78,0.99,0.21,True
UVEYIF,Hf,0.63,5.28,4.65,False
UVEYUR,Hf,0.51,6.16,5.65,False
UVIQEW,Cu,0.2,6.11,5.91,False
UVIQIA,Cu,10.48,8.7,1.78,False
UVIWAZ,Zr,0.53,5.72,5.19,False
UVIWED,Zr,6.1,10.7,4.6,False
UVIWON,Ti,0.6,1.66,1.06,False
UVIXAA,Ti,6.82,6.22,0.6,True
UVIXAB,Co,0.73,2.3,1.57,False
UVIXEE,Ti,11.26,9.42,1.84,False
UVIXII,Zr,1.33,6.09,4.76,False
UVIXOO,Zr,10.5,9.72,0.78,True
UVIXUU,Zr,1.27,5.56,4.29,False
UVOVAD,Cu,4.35,4.55,0.2,True
UVOZOV,Ru,0.96,4.55,3.59,False
UVOZUB,Ru,0.84,0.9,0.06,True
UVUTUC,Cu,9.03,13.82,4.79,False
UVUVAK,Cu,6.07,16.27,10.2,False
UVUVEO,Cu,0.66,0.84,0.18,True
UWAJIN,V,0.61,4.51,3.9,False
UWALEK,Fe,0.41,1.38,0.97,True
UWARIV,Zn,0.4,3.52,3.12,False
UWIGEN,Zn,0.85,6.58,5.73,False
UWIGIR,Hg,2.59,2.66,0.07,True
UWIPEW,Ni,4.3,4.57,0.27,True
UWIPOG,Ni,0.34,1.39,1.05,False
UWIQEX,Zn,0.17,1.62,1.45,False
UWIQUO,Os,1.19,2.03,0.84,True
UWIZAD,Cu,8.65,8.54,0.11,True
UWOQON,V,3.09,6.19,3.1,False
UWUDOG,Cu,5.56,6.59,1.03,False
UWUDOG01,Cu,11.63,13.53,1.9,False
UWUMIL,Sc,3.84,5.1,1.26,False
UWUYER,Cr,0.19,1.12,0.93,True
UWUYOB,Cr,0.54,5.7,5.16,False
UXAGUY,Co,0.9,6.51,5.61,False
UXAXAV,Zn,5.48,5.58,0.1,True
UXEPAP,Y,11.65,12.47,0.82,True
UXIJOB,Ir,9.29,11.04,1.75,False
UXIRAV,Hf,7.17,14.26,7.09,False
UXIREZ,Hf,1.37,1.5,0.13,True
UXIVAZ,W,5.32,5.73,0.41,True
UXOGOF02,Ni,0.3,0.5,0.2,True
UXOTUX,Ru,0.67,1.78,1.11,False
UXOYAK,Cu,0.33,1.16,0.83,True
UXUGOL,Ru,5.68,6.03,0.35,True
UXUZIY,Ru,0.12,1.69,1.57,False
UYABIH,Ru,0.36,1.78,1.42,False
UYAJAG,Cu,7.78,16.4,8.62,False
UYAJEK,Cu,4.63,6.48,1.85,False
UYAJIO,Zn,6.6,10.8,4.2,False
UYAQAO,Zn,0.4,6.19,5.79,False
UYECOT,Os,5.01,5.93,0.92,True
UYEZEF02,V,4.98,5.61,0.63,True
UYEZOP02,V,0.31,4.84,4.53,False
UYEZUV02,V,4.92,6.07,1.15,False
UYIBAH02,V,4.98,5.52,0.54,True
UYIBEL02,V,5.02,5.56,0.54,True
UYIMEW,Cu,0.57,0.67,0.1,True
UYIXAC,Cu,1.66,6.11,4.45,False
UYIZAE,Mo,0.33,0.91,0.58,True
UYIZEJ,Cu,5.09,6.04,0.95,True
UYUCUO,Ru,5.76,5.8,0.04,True
UYUZIZ,Hg,0.19,1.01,0.82,True
UZADIL,V,6.74,6.9,0.16,True
UZAHEJ,Fe,0.96,6.27,5.31,False
UZAHIN,Co,0.83,6.2,5.37,False
UZAVEZ,Cu,3.22,4.7,1.48,False
UZEHIR,Ru,6.52,6.62,0.1,True
UZEKOB,Cu,5.26,5.48,0.22,True
UZEMES,Cu,6.3,9.1,2.8,False
UZEQUN,Zr,0.48,6.29,5.81,False
UZERUO,Y,4.3,6.44,2.14,False
UZIDIS,Cu,4.01,5.48,1.47,False
UZIDOY,Cu,4.86,8.25,3.39,False
UZIDUE,Cu,0.28,6.0,5.72,False
UZIMOH,Nb,0.72,5.8,5.08,False
UZIVEF,Ni,0.4,6.53,6.13,False
UZIVIJ,Ni,0.27,6.41,6.14,False
UZIWEG,Ni,0.64,5.41,4.77,False
UZIXAD,Cu,0.87,6.32,5.45,False
UZODAP,Fe,0.3,5.45,5.15,False
UZODET,Fe,0.67,1.39,0.72,True
UZOSAF,Fe,4.72,6.05,1.33,False
UZUGON,Re,4.96,5.69,0.73,True
UZUHAA,Re,0.34,0.42,0.08,True
UZUYAQ,Ru,11.09,11.18,0.09,True
UZUYIY,Ru,5.89,11.35,5.46,False
UZUYOE,Ru,3.45,6.04,2.59,False
VABFIQ,Fe,0.36,5.38,5.02,False
VABLET,Co,0.26,5.63,5.37,False
VABLOC,Ru,5.72,5.94,0.22,True
VACFUD,Cu,5.11,6.15,1.04,False
VACMIY,Zn,5.13,5.99,0.86,True
VACMIY01,Zn,4.41,5.54,1.13,False
VACNUN,Mn,5.11,5.59,0.48,True
VACSUO,Cu,5.04,6.23,1.19,False
VACVUT,Cu,0.36,6.01,5.65,False
VADBAD,Mn,5.37,5.71,0.34,True
VADBAD01,Mn,5.37,5.73,0.36,True
VADBIL,Re,5.82,6.12,0.3,True
VADROI,Cu,8.26,8.94,0.68,True
VAFHAM,Co,0.43,1.05,0.62,True
VAFHOB,Ir,4.52,4.69,0.17,True
VAFJOD,Ir,4.75,4.79,0.04,True
VAFMAQ,Zn,0.45,1.37,0.92,True
VAFMOE,Zn,0.35,1.25,0.9,True
VAGBEM,Cu,11.64,7.39,4.25,False
VAGJAR,Co,0.89,5.45,4.56,False
VAGJEV,Co,0.73,6.5,5.77,False
VAGJIZ,Cu,0.67,5.33,4.66,False
VAHFAO,Fe,0.53,5.33,4.8,False
VAHJAP,Ru,5.8,6.61,0.81,True
VAHJIX,Ru,0.51,1.74,1.23,False
VAHPEA,Ru,5.72,5.79,0.07,True
VAHPID,Rh,3.92,5.51,1.59,False
VAHPIE,Ru,6.02,6.06,0.04,True
VAKCIX,Fe,5.77,6.08,0.31,True
VAKDUH01,Ru,4.53,5.95,1.42,False
VAKDUH02,Ru,0.69,1.23,0.54,True
VAKFEU,Ru,6.64,11.59,4.95,False
VAKJUN,Zn,4.66,5.98,1.32,False
VAKKEY,Zn,0.33,5.83,5.5,False
VAKNUS,Co,0.85,5.66,4.81,False
VAKYOX,Fe,0.65,6.35,5.7,False
VAKZOX,Re,5.27,6.05,0.78,True
VALJEB,W,1.07,1.6,0.53,True
VALJOL,W,5.47,6.23,0.76,True
VALWEO,Pt,4.4,4.92,0.52,True
VAMBOE,Fe,4.02,3.38,0.64,True
VAMFIZ,Ti,4.96,6.28,1.32,False
VAMHAU,Cu,0.24,0.98,0.74,True
VAMHEY,Cu,0.27,0.91,0.64,True
VAMWIS,Co,4.88,6.05,1.17,False
VAMWOY,Co,5.03,6.1,1.07,False
VANQEI,Ni,1.33,6.51,5.18,False
VANWAK,Cu,4.94,6.25,1.31,False
VAOPOR10,V,0.03,0.89,0.86,True
VAPCAR,Co,0.69,5.24,4.55,False
VAPFEY,Co,0.67,2.08,1.41,False
VAPQIM,Cu,0.57,5.06,4.49,False
VAPQOS,Cu,4.74,6.28,1.54,False
VAPTAL,Ru,0.38,2.14,1.76,False
VAPTIR,Fe,5.46,6.38,0.92,True
VAPTUD,Co,0.75,6.39,5.64,False
VAPVEP,Co,1.28,3.49,2.21,False
VAPVIT,Fe,1.23,1.31,0.08,True
VAPVOZ,Co,1.17,1.26,0.09,True
VAQCOH,Re,0.31,1.45,1.14,False
VAQDID,Y,0.87,1.19,0.32,True
VAQDOJ,Y,1.12,4.9,3.78,False
VAQZUK,Zn,0.63,2.19,1.56,False
VAQZUK02,Zn,0.62,2.22,1.6,False
VARFAW,Ru,4.81,5.84,1.03,False
VARHOP,V,0.53,4.79,4.26,False
VARHUV,V,4.85,5.97,1.12,False
VASGEB,Ta,0.62,5.65,5.03,False
VASQAK,Ni,4.63,5.14,0.51,True
VASQEO,Ni,0.56,4.5,3.94,False
VASSOY,Fe,4.83,6.41,1.58,False
VASTEP,Fe,1.28,3.52,2.24,False
VASVIU,Cu,0.5,0.76,0.26,True
VASVIU01,Cu,0.5,0.74,0.24,True
VATHUW,Cd,1.29,2.09,0.8,True
VAVMUB,Fe,0.14,5.81,5.67,False
VAVVAP,Tc,5.3,5.7,0.4,True
VAVVAP01,Tc,5.24,5.7,0.46,True
VAWKUD,W,0.08,0.94,0.86,True
VAWLEN,Os,5.99,6.12,0.13,True
VAWLUD,Os,0.51,1.27,0.76,True
VAWNUC,W,5.59,5.82,0.23,True
VAWQAL,Re,7.11,7.83,0.72,True
VAWVAT,Ir,5.11,6.17,1.06,False
VAXCUT,Mo,7.5,7.61,0.11,True
VAXNIV,Co,0.36,3.48,3.12,False
VAXNUH,Zn,0.92,2.24,1.32,False
VAXVUL,Zn,0.24,5.68,5.44,False
VAYQOD,Ir,0.42,1.94,1.52,False
VAYWUN,Ru,6.17,6.22,0.05,True
VAYYEA,Cu,0.37,5.23,4.86,False
VAYZEE,Cu,4.73,6.07,1.34,False
VAYZOM,Ru,6.33,6.43,0.1,True
VAZKEN,Cu,0.4,0.75,0.35,True
VAZVUO,Zn,1.16,6.47,5.31,False
VEBJOF,Cu,0.7,3.08,2.38,False
VEBLOG,Cu,0.62,4.92,4.3,False
VEBMUL,V,4.98,6.01,1.03,False
VEBNAS,V,5.39,5.88,0.49,True
VEBTUR,Ir,4.1,4.64,0.54,True
VECBAH,Cu,6.4,15.02,8.62,False
VECBIQ,W,1.4,4.76,3.36,False
VECSIG,V,5.38,5.9,0.52,True
VEDGAM,Rh,5.19,5.87,0.68,True
VEDNAV,Ta,8.81,11.15,2.34,False
VEDNOJ,Ta,5.4,6.51,1.11,False
VEDQIG,Ti,13.41,14.9,1.49,False
VEDSEE,La,5.76,6.27,0.51,True
VEDYIP,Ru,0.29,1.52,1.23,False
VEFGES10,Tc,0.03,5.33,5.3,False
VEFQUU,Zn,4.68,5.14,0.46,True
VEFVOU,Mn,5.41,6.28,0.87,True
VEFZOY,Rh,0.08,1.05,0.97,True
VEGFET,Fe,4.9,11.68,6.78,False
VEGFIX,Fe,7.18,8.87,1.69,False
VEGHAR,Cd,0.89,1.18,0.29,True
VEGVAI,Cu,4.86,5.83,0.97,True
VEGVEM,Cu,4.66,5.78,1.12,False
VEHDER,Zn,0.1,0.87,0.77,True
VEHLUR,Zn,5.15,5.56,0.41,True
VEHSEK,Ru,5.74,5.94,0.2,True
VEJHOK,Hg,2.17,4.52,2.35,False
VEJLED,Fe,0.42,5.49,5.07,False
VEJLUS,Fe,0.32,5.33,5.01,False
VEJRUB,Mn,0.73,5.97,5.24,False
VEJYOC,Hf,0.39,5.16,4.77,False
VEKBOD,V,0.18,0.58,0.4,True
VEKCAQ,V,0.21,0.9,0.69,True
VEKCEU,V,4.63,5.41,0.78,True
VEKCIY,V,5.07,6.11,1.04,False
VEKFUQ,Zn,0.78,2.12,1.34,False
VEKGUR,Zn,0.94,1.74,0.8,True
VEKKED,Ru,0.6,0.99,0.39,True
VEKKIH,Ru,0.56,1.91,1.35,False
VEKNAA,Fe,0.42,6.52,6.1,False
VEKNEE,Co,0.43,5.33,4.9,False
VEKNOO,Fe,0.45,0.48,0.03,True
VEKWEQ,Os,5.97,6.28,0.31,True
VELROV,Zn,0.85,1.51,0.66,True
VELZIW,Cu,0.38,0.88,0.5,True
VENHEC,Cu,4.66,5.77,1.11,False
VENQOX,Mn,0.33,0.63,0.3,True
VENTIV,Cu,8.03,11.2,3.17,False
VEPLOT,Mo,4.41,6.04,1.63,False
VEPLOT01,Mo,4.43,6.04,1.61,False
VEQFIH,Cr,0.12,5.46,5.34,False
VEQFOP,V,0.3,0.87,0.57,True
VEQFUT,Cr,0.01,5.43,5.42,False
VEQFUV,V,0.4,5.42,5.02,False
VEQGUW,Cu,5.55,6.22,0.67,True
VEQWOG,Cu,0.63,0.64,0.01,True
VEQXAT,Cu,4.68,6.46,1.78,False
VEQXUK,Co,1.25,1.32,0.07,True
VERGEE,Tc,0.21,0.82,0.61,True
VERPEO,Cr,0.62,1.35,0.73,True
VERSOB,Zn,0.73,4.38,3.65,False
VERXIB,V,5.29,6.1,0.81,True
VERXOH,V,1.09,5.59,4.5,False
VESJEI,Os,4.73,5.91,1.18,False
VESWOF,Rh,5.41,6.54,1.13,False
VESZOM,Mn,6.68,13.35,6.67,False
VETDOO,Cu,0.27,4.52,4.25,False
VETMOY,Ru,6.02,6.45,0.43,True
VETXUN,Fe,7.12,3.44,3.68,False
VEVDUX,Cu,4.32,5.19,0.87,True
VEVHUD,Ru,0.61,6.14,5.53,False
VEVJOX,Zn,8.24,6.29,1.95,False
VEVLEN,Cu,5.3,6.32,1.02,False
VEVMUE,Cu,5.39,6.3,0.91,True
VEVVID,Zn,13.2,15.07,1.87,False
VEWQEX,Cu,0.94,6.09,5.15,False
VEWRAR,Ni,13.49,11.13,2.36,False
VEWVEZ,Ni,0.91,0.97,0.06,True
VEXFEL,Fe,5.39,5.67,0.28,True
VEXFIP,Fe,5.36,6.79,1.43,False
VEXHUC,Cu,4.42,6.03,1.61,False
VEXTAU,Cu,6.46,6.57,0.11,True
VEYGIR,Fe,0.16,3.96,3.8,False
VEYKIT,W,0.05,1.16,1.11,False
VEYWOO,Fe,0.85,5.03,4.18,False
VEYWUU,Fe,5.17,6.32,1.15,False
VEYZAA,Co,0.12,5.92,5.8,False
VEYZEG,Os,5.57,6.13,0.56,True
VEZFAH,Rh,5.01,5.99,0.98,True
VEZFAI,V,6.06,11.49,5.43,False
VEZNAQ,Ru,4.47,7.17,2.7,False
VEZXAA,Rh,0.62,6.18,5.56,False
VIBCEP,Ir,5.61,6.14,0.53,True
VIBCIT,Ir,4.84,5.14,0.3,True
VIBMUO,V,5.17,5.49,0.32,True
VIBSUV,Fe,0.97,6.34,5.37,False
VIBTAC,Co,0.76,1.55,0.79,True
VIBTAC01,Co,0.76,1.92,1.16,False
VIBTEG,Ni,5.43,5.44,0.01,True
VIBTOR,Co,5.43,6.44,1.01,False
VIBYEL,Ru,5.79,6.0,0.21,True
VICCUG,Ir,5.52,5.84,0.32,True
VICDOB,Ir,5.27,5.85,0.58,True
