L3_hash,n_records,n_refcodes,unique_L0,unique_L1,unique_L2,CN,metal,ligand_signature,geometry_span,max_pairwise_CShM_distance,crosses_shape_boundary,representative_refcodes
995378101816,2,2,2,2,1,6,Ru,[H]C1NN(B([H])(N2NC([H])C([H])C2[H])N2NC([H])C([H])C2[H])C([H])C1[H];[H]C1NN(B([,3.59,3.5917,False,SEWNIR;SEWPEP
75970246241,2,2,2,2,1,6,Cu,[H]O[H];[H]O[H];[H]c1nc(N([H])C(=O)C([H])([H])[H])nn1[H];[H]c1nc(N([H])C(=O)C([H,3.59,3.7461,False,VANCAO;VUSNAC
63196047156,8,8,8,7,2,5,Cu,I;[H]C1NC(C2NC([H])C([H])C([H])C2[H])C([H])C([H])C1[H];[H]C1NC(C2NC([H])C([H])C(,3.58,6.5553,True,BASHEI01;BASHEI02;DITDAN;GUPTOA;GUPTUG;IBIPCI01
447086602671,2,2,2,2,1,6,Cd,N#CS;N=C=S;[H]C1NC(N([H])C2NC([H])C([H])C([H])C2[H])C([H])C([H])C1[H];[H]C1NC(N(,3.58,3.728,False,BOYQAH;BOYQAH01
567691139389,2,2,2,2,2,4,Cu,Br;[H]OC1C([H])C([H])C([H])C([H])C1C(O)=NN=C(C1NC([H])C([H])C([H])C1[H])C([H])([,3.58,6.3544,False,HIGPIX;HIGPIX01
949499406844,3,3,3,2,1,6,Co,O=S(=O)(O)O;O=S(=O)(O)O;[H]O[H];[H]O[H];[H]O[H];[H]O[H],3.58,4.4363,False,SILXER;WIWPAV;YABTOM
107045864231,2,2,2,2,1,6,Ru,Cl;[H]C([H])([H])S(=O)C([H])([H])[H];[H]c1c(C([H])([H])N(C([H])([H])C2NC([H])C([,3.58,3.6267,False,VOBPUZ;VOBQAG
722501567562,3,3,3,3,1,6,Co,[H]C1C([H])C([H])C(C(O)C([H])C(O)C2C([H])C([H])C([H])C([H])C2[H])C([H])C1[H];[H],3.57,4.9878,False,HEFXAS;HEFXAS01;QUQXIK
516414263348,2,2,2,2,1,6,Ru,Cl;Cl;[H]C1([H])SC([H])([H])C([H])([H])C([H])([H])S(=O)C([H])([H])C1([H])[H];[H],3.57,4.8957,False,JIMLUM;JIMMAT
291880690490,3,3,3,3,1,6,Co,[H]C1=C(O)C(=O)C2C([H])C([H])C([H])C([H])C2C1=O;[H]C1=C(O)C(=O)C2C([H])C([H])C([,3.57,4.5681,False,MIGXEH;MIGXEH01;TICXOU
