refcode,metal,oxidation_state,d_count,donor_set,denticity_pattern,S_SP,S_Td,log_S_SP,log_S_Td,L0_hash,L1_hash,L3_hash
ZIMPAM,Ir,,,"C,Cl,P",1-1-1-1,2.9900,0.1400,0.4757,-0.8539,678905120068,999537925051,748162956611
ZIMPAP,Cu,+2,d9,,,6.2700,1.5200,0.7973,0.1818,976447070773,231952401655,304076788026
ZIMPAQ,Cu,+2,d9,N,4,2.8700,0.0000,0.4579,-3.0000,963251850339,698231295766,947994980773
ZIMPET,Cu,+2,d9,,,2.3400,1.6900,0.3692,0.2279,244135751547,166501108133,604149950208
ZIMQOB,Co,+2,d7,,,9.5300,1.9600,0.9791,0.2923,600193818127,180054629564,203458057434
ZIMWEB,Fe,+2,d6,,,2.3100,0.6600,0.3636,-0.1805,214611628811,898575205105,621380283529
ZIMWEZ,Pd,+2,d8,"N,O,P",3-1,3.5000,0.6900,0.5441,-0.1612,376532554876,148755127527,480685846739
ZIMWOJ,Pd,+2,d8,"N,O,P",3-1,9.6600,16.3900,0.9850,1.2146,591478020084,853925962034,1158162379
ZIMWOL,Ni,+2,d8,,,9.0300,3.0000,0.9557,0.4771,216701615027,257781671216,748495195719
ZIMWUN,Ni,+2,d8,N,4,2.9400,0.0600,0.4683,-1.2218,244932906409,643440148062,614288771463
ZIMXAW,Pt,+2,d8,"C,Cl,N,P",2-1-1,3.1700,0.3500,0.5011,-0.4559,406576869714,557748245083,863408065221
ZIMXAY,Co,+2,d7,,,1.8500,0.3100,0.2672,-0.5086,340586531029,181628351351,536750925138
ZIMXEC,Ni,+2,d8,"Br,C",1-1,8.9600,3.1000,0.9523,0.4914,726438401634,869858263134,689635751446
ZIMYAZ,Ni,+2,d8,"As,C",4,13.2200,15.9300,1.1212,1.2022,261025944153,970209435850,858060221844
ZINGOU,Co,+2,d7,,,3.8800,0.8500,0.5888,-0.0706,710056801381,182678620803,90845148594
ZINGUC,Pd,+2,d8,"Cl,P",2-1-1,8.8700,3.0100,0.9479,0.4786,452832211632,585853798150,444269605285
ZINHUB,Au,,,,,3.1500,0.6900,0.4983,-0.1612,196080180433,798557700983,675581733034
ZINJIR,Pd,+2,d8,"C,Cl,N,P",2-1-1,3.1600,0.3500,0.4997,-0.4559,910085364468,479906638713,612992164040
ZINLAJ01,Pt,+2,d8,S,2-2,8.6500,2.8800,0.9370,0.4594,724832420038,35602640619,142747666304
ZINLOX,Pt,+2,d8,"C,N,P",2-2,11.8100,3.6900,1.0722,0.5670,978960661331,518772319911,45174019024
ZINTUP,Ir,,,N,1-1,7.0700,3.4600,0.8494,0.5391,930913268685,751326281391,772524625911
ZINVIE,Pd,+2,d8,"Cl,N,P",3-1,3.0200,0.1900,0.4800,-0.7212,14557997030,789651769605,137756002099
ZINXEB,Cd,,,,,3.8500,0.2600,0.5855,-0.5850,931785128547,651128843053,339745861980
ZINXIF,Co,+2,d7,,,3.3100,0.1100,0.5198,-0.9586,358168074132,726319880012,986485106852
ZINXIH,Co,+2,d7,,,6.2600,1.7000,0.7966,0.2304,29829190738,435583883949,185338952502
ZIPDAF,Pd,+2,d8,"Cl,S",2-1-1,8.4500,2.8900,0.9269,0.4609,865723333730,368609455512,692744843052
ZIPFOV,Pt,+2,d8,"C,S",2-1-1,8.6200,3.1300,0.9355,0.4955,997877266711,278432972855,340610445761
ZIPHEN,Zn,+2,d10,,,4.4500,0.2300,0.6484,-0.6383,820973587111,492564270974,600818478439
ZIPHIR,Zn,+2,d10,,,2.6400,0.3700,0.4216,-0.4318,638154786482,541882475496,586185005485
ZIPHOX,Zn,+2,d10,,,2.7100,0.4600,0.4330,-0.3372,822210103075,159791269017,642932948005
ZIPHUD,Zn,+2,d10,,,3.7800,0.1700,0.5775,-0.7696,670023222567,957155735446,445987576045
ZIPJAL,Zn,+2,d10,,,2.9100,0.4600,0.4639,-0.3372,642611423050,543917349123,451308282875
ZIPJUD,Zn,+2,d10,,,3.6300,1.0600,0.5599,0.0253,775353964351,835462613571,855256343296
ZIPJUG,Cu,+2,d9,,,5.9300,1.9500,0.7731,0.2900,675102873228,742924694076,133463826913
ZIPKAN,Cu,+2,d9,,,2.9000,1.6500,0.4624,0.2175,239851255966,758977316406,133463826913
ZIPWEC,Ir,,,"C,N",1-1,3.2200,0.4300,0.5079,-0.3665,488732324513,291811645367,842784429231
ZIPWIG,Ir,,,"C,N",1-1,3.1900,0.3800,0.5038,-0.4202,33727536763,761433975524,360938780755
ZIPWII,Pd,+2,d8,N,1-1,8.9200,3.2700,0.9504,0.5145,511239499220,910284291542,613282792506
ZIPWOO,Pt,+2,d8,N,1-1,8.8900,3.2600,0.9489,0.5132,330408090564,161935663258,684901631184
ZIPXIH,Zn,+2,d10,,,2.7600,0.5500,0.4409,-0.2596,470938863757,841581759054,642148225708
ZIPXUU,Cu,+2,d9,S,2-2,8.2100,2.8900,0.9143,0.4609,925830581018,952897826820,381312453141
ZIQCOV,Pt,+2,d8,"C,N,O",2-2,3.2700,0.3700,0.5145,-0.4318,848470434927,59344045627,411370122266
ZIQJOB,Cu,+2,d9,S,2-2,2.9000,0.0200,0.4624,-1.6990,954050900621,702886346104,381312453141
ZIQJOC,Ni,+2,d8,"C,N",2-1-1,15.1400,11.0900,1.1801,1.0449,469635531288,150780367052,412548978104
ZIQJUH,Cu,+2,d9,S,2-2,2.9000,0.0200,0.4624,-1.6990,954050900621,702886346104,381312453141
ZIQKUJ,Hg,,,,,2.5100,0.2200,0.3997,-0.6576,354734631051,981727284247,205863923061
ZIQXAC,Zn,+2,d10,,,3.3100,0.0200,0.5198,-1.6990,512860740109,359023765990,598498702537
ZIQZAA,Pd,+2,d8,"N,S",4,8.3800,2.9300,0.9232,0.4669,23836898534,153514960406,517517967845
