refcode,metal,oxidation_state,d_count,metal_row,donor_set,S_Oh,S_TPr,JT_proxy,L0_hash,L1_hash,L3_hash
WEMJUT,Re,,,6,"Cl,N,O",5.7900,6.1500,5.7900,797936121078,89885565075,355075326555
WEMKUX,Cu,+2,d9,4,N,6.3200,7.1600,6.3200,453833420115,714106731214,138713195408
WEMKUX01,Cu,+2,d9,4,N,5.3800,8.6100,5.3800,557798280623,772193333092,138713195408
WEMKUX02,Cu,+2,d9,4,N,5.3700,8.6100,5.3700,379746565852,772193333092,138713195408
WEMLAE,Cu,+2,d9,4,"N,O",4.4100,9.0600,4.4100,199124706123,101182565270,148032714691
WEMLIJ,Rh,+3,d6,5,N,0.2200,6.8100,0.2200,577778134720,845300623080,645267057716
WEMLUV,Rh,+3,d6,5,N,3.7600,8.4800,3.7600,231708460037,976226640312,202712566310
WEMNIM,Co,+3,d6,4,"Cl,N",5.9400,6.0500,5.9400,959644416052,932958748416,614319830349
WEMPIO,Ni,+2,d8,4,N,5.7300,7.2700,5.7300,925252378131,413918185232,377299099149
WEMPOU,Ni,+2,d8,4,"N,O,S",7.0400,7.5400,7.0400,542327343044,833924502684,377299099149
WEMSAJ,Zn,+2,d10,4,"N,O",0.2400,5.0700,0.2400,87762248593,37821150341,528121156243
WEMSUD,Co,+3,d6,4,"Cl,N",3.5900,8.6400,3.5900,687797073916,518839122148,614319830349
WEMTEP,Mo,,,5,"N,S",0.7000,5.0800,0.7000,327095661010,434591505687,923862963269
WEMTUF,Mo,,,5,"N,S",5.9500,7.8000,5.9500,746524612423,816229830429,139707654181
WEMYOD,Co,+3,d6,4,O,0.0500,6.2500,0.0500,465430959846,900210265550,281906631671
WENBEX,Ir,,,6,"C,N,O",5.6300,9.2400,5.6300,628345777187,710173465423,958157249280
WENBIB,Ir,,,6,"C,N,O",3.9400,4.4700,3.9400,88942956306,6748124266,569989254813
WENCAX,Ni,+2,d8,4,"N,O",5.7000,5.7600,5.7000,183811512165,747500285877,702010471423
WENCIC,Ti,,,4,N,5.7900,6.2500,5.7900,827376017431,186866716535,802478298382
WENCOI,Ti,,,4,N,6.0800,6.3000,6.0800,975864302493,769721451333,190771522107
WENCUO,Ti,,,4,N,3.9500,5.7100,3.9500,571947551362,916841606701,230531406055
WENDAV,Ti,,,4,N,4.3100,4.7500,4.3100,6568218742,486171297836,408024058839
WENDOI03,Fe,+2,d6,4,N,3.9100,8.0800,3.9100,982792206173,905467377180,867145744303
WENDOI06,Fe,+2,d6,4,N,4.5300,6.8400,4.5300,258888342476,59004344613,867145744303
WENDOI07,Fe,+2,d6,4,N,3.6000,4.6300,3.6000,712333962467,234479894155,867145744303
WENDOI09,Fe,+2,d6,4,"N,O",4.0100,9.0000,4.0100,78209630358,563710036460,867145744303
WENDOI10,Fe,+2,d6,4,"N,O",4.0100,7.3900,4.0100,562250430664,563710036460,867145744303
WENDOI11,Fe,+2,d6,4,"N,O",4.0200,4.1500,4.0200,413209567607,402038952289,867145744303
WENDOI12,Fe,+2,d6,4,"N,O",4.0200,4.1500,4.0200,413209567607,402038952289,867145744303
WENDOI13,Fe,+2,d6,4,"N,O",4.0100,6.7200,4.0100,160109504572,563710036460,867145744303
WENDOI17,Fe,+2,d6,4,"N,O",4.0100,8.2600,4.0100,425837383637,563710036460,867145744303
WENDOI18,Fe,+2,d6,4,"N,O",4.1400,8.0600,4.1400,788957023300,563710036460,867145744303
WENDOI19,Fe,+2,d6,4,"N,O",4.1400,9.0500,4.1400,507298249856,563710036460,867145744303
WENDOI20,Fe,+2,d6,4,"N,O",4.1400,5.5000,4.1400,669064189525,130286973403,867145744303
WENDOI21,Fe,+2,d6,4,"N,O",4.1400,6.4100,4.1400,424987735008,563710036460,867145744303
WENDOI22,Fe,+2,d6,4,N,4.3200,5.4000,4.3200,287326084871,234479894155,867145744303
WENDOI23,Fe,+2,d6,4,N,4.3100,9.4200,4.3100,549553340939,21573218666,867145744303
WENDOI24,Fe,+2,d6,4,N,4.3400,5.4300,4.3400,663243103299,234479894155,867145744303
WENDOI25,Fe,+2,d6,4,N,4.3500,9.4700,4.3500,967387709516,21573218666,867145744303
WENDOI26,Fe,+2,d6,4,N,4.3400,9.4600,4.3400,98919746579,21573218666,867145744303
WENDOI27,Fe,+2,d6,4,N,4.3400,7.4800,4.3400,386420923029,905467377180,867145744303
WENDOI28,Fe,+2,d6,4,N,4.3300,5.4100,4.3300,214825135822,234479894155,867145744303
WENDOI29,Fe,+2,d6,4,N,4.3400,7.4800,4.3400,386420923029,905467377180,867145744303
WENGAX01,Co,+3,d6,4,"N,S",4.0100,8.4900,4.0100,35724423390,895409729650,474863254711
WENJAC,Ru,+2,d6,5,"Cl,N",4.2900,8.0300,4.2900,32301273887,660013980527,971667946913
WENJUY,Mn,,,4,"Br,C,N,P",5.9000,6.5200,5.9000,377702746942,488661544202,107325691996
WENPOU,Zn,+2,d10,4,,0.6200,7.4800,0.6200,885134824641,890916679666,306862533975
WENQEO,Zn,+2,d10,4,"N,O",0.2500,6.1400,0.2500,782946743653,465216079840,619067343976
WENQIS,Co,+3,d6,4,"N,O",0.2600,5.3500,0.2600,847852203665,423829338105,918341148427
WENQOV,Re,,,6,C,5.7900,5.9300,5.7900,899065603372,284374722488,183253064558
WENSUD,Ti,,,4,"Cl,O",0.3900,5.9800,0.3900,320479697906,771730145368,705742381404
WENTAO,Ru,+2,d6,5,N,5.0400,8.2600,5.0400,875498874495,823453774023,213166052802
WENTOA,Fe,+2,d6,4,,2.0300,5.6300,2.0300,940854608392,934781217646,490073898186
WENTOZ,Mn,,,4,"N,O",4.3900,5.8600,4.3900,123026363991,130294002616,224890565422
WENVUG,V,,,4,O,6.1100,7.0100,6.1100,555566678686,559737397946,752374489166
WENWET,Re,,,6,"C,Cl,N",0.3600,5.7400,0.3600,140067124776,123326224879,2719649471
WENWET01,Re,,,6,"C,Cl,N",5.7800,6.8700,5.7800,498881791457,436363799340,2719649471
WENWIX,Re,,,6,"C,Cl,N",6.3200,7.9000,6.3200,954557887233,428656587343,865432076351
WENWOD,Re,,,6,"C,Cl,N",6.7600,7.1000,6.7600,852097604541,69342911076,634374417651
WENYAQ,Ni,+2,d8,4,N,5.6900,5.7300,5.6900,368156672273,32993818939,657094873903
WENYOE,Co,+3,d6,4,"N,O",3.8800,5.7300,3.8800,9301611977,888922819538,728886560593
WEPBEY,W,,,6,"Cl,N",4.3500,6.0200,4.3500,94726853208,72890275592,989966812790
WEPCED,Mo,,,5,,5.6900,6.1000,5.6900,518996553688,862562718114,740262515890
WEPCUS,Fe,+2,d6,4,N,3.8300,4.0400,3.8300,140902781221,447480632328,644894377833
WEPCUT,Mo,,,5,,0.3500,6.6300,0.3500,694160229758,901247244355,285043471679
WEPDAZ,Fe,+2,d6,4,N,5.8500,7.2400,5.8500,346894786976,412200794751,928677080089
WEPDED,Fe,+2,d6,4,N,4.0000,7.2500,4.0000,560805761748,517254570293,521855753477
WEPKUY,Ni,+2,d8,4,O,0.0100,5.4200,0.0100,543954929887,889941354602,203799046514
WEPLAF,Mn,,,4,N,0.0200,5.6000,0.0200,792420134760,555489620908,154702793154
WEPLEI,Co,+3,d6,4,O,3.6700,7.0000,3.6700,9543152129,701923116636,553010005173
WEPLIN,Co,+3,d6,4,"N,O",0.2300,6.8800,0.2300,820565407227,630886288720,464418081547
WEPLOT,Co,+3,d6,4,"N,O",3.9500,8.8800,3.9500,275934858209,971640568312,775749037867
WEPMEL,Mo,,,5,"N,O",5.9600,8.7300,5.9600,72644937849,375580617479,677678564715
WEPMIP,Mo,,,5,,4.1000,4.4500,4.1000,203180326333,963725986568,100094836274
WEPNOX,Mo,,,5,O,4.0500,8.9200,4.0500,133292773678,301273078065,132371076965
WEPPAJ,Ni,+2,d8,4,O,3.8600,5.7600,3.8600,130792259804,638278241087,786993450467
WEPPIT,Mo,,,5,N,6.0400,7.5700,6.0400,811973089477,937756809486,968511776743
WEPPOZ,Mo,,,5,N,7.0900,8.8400,7.0900,780997755700,708094049365,453409665285
WEPQOY,Fe,+2,d6,4,O,0.0300,5.8200,0.0300,242576302821,934844509196,853616862376
WEPQUE,Zn,+2,d10,4,"N,O",0.2200,5.0900,0.2200,960763590519,100623504795,770843356237
WEPRAM,Ti,,,4,"C,Cl",0.8200,4.9900,0.8200,684919804176,137167518914,236700328918
WEPREQ,Ti,,,4,"C,Cl,N",5.7800,13.2800,5.7800,311050000149,655618830795,820931593396
WEPSOD,V,,,4,"N,O",6.0500,7.2700,6.0500,295314170017,4388885856,920940420838
WEPTUI,Fe,+2,d6,4,"N,P",5.6300,13.0000,5.6300,82457209959,706445162911,226932176532
WEPVUL,Ni,+2,d8,4,"N,O",3.6100,6.9800,3.6100,836952037655,982585230507,130961378346
WEPYAR,Mn,,,4,N,5.2900,7.0800,5.2900,914971028553,635271472685,315526006711
WEPYEY,Ni,+2,d8,4,"Br,N",0.6900,6.4900,0.6900,287587303601,34541650785,542345881161
WEPYOI,Ni,+2,d8,4,"Br,N",6.2300,9.5100,6.2300,14368813689,177103731246,869040044485
WEQBEB,W,,,6,"C,P",6.3900,7.7100,6.3900,985051216731,494871627926,663492603842
WEQBIF,Mo,,,5,"C,P",4.6100,9.3700,4.6100,763489147662,647663247545,479840939652
WEQDED,Ir,,,6,"C,N,O",6.4600,6.5300,6.4600,957567578806,906840608504,638136760356
WEQDEE,Fe,+2,d6,4,N,0.0400,5.6200,0.0400,936373410953,280867696394,296172077578
WEQDIH,Ir,,,6,"C,N",3.3600,8.6100,3.3600,961349738682,226717798175,562283694260
WEQDUT,Ir,,,6,"C,N,O",5.8800,7.0600,5.8800,636050062701,974352775783,568120983060
WEQGEE,Ir,,,6,P,4.6300,7.2800,4.6300,169388441297,75090005281,254867377629
WEQGEF,Mn,,,4,"C,N",3.4300,8.9600,3.4300,8484798734,51596651562,797846197821
WEQHIM,Zn,+2,d10,4,O,0.0500,5.8100,0.0500,832855826006,89191139226,369614503461
WEQHIM01,Zn,+2,d10,4,O,0.0500,5.8500,0.0500,709364163729,89191139226,369614503461
WEQHIM02,Zn,+2,d10,4,O,0.0400,5.3100,0.0400,578301116574,89191139226,369614503461
WEQJEL,Ru,+2,d6,5,N,4.1200,6.3700,4.1200,908124306882,257080051593,264879720442
WEQJIP,Ru,+2,d6,5,N,0.4400,4.7000,0.4400,635876367327,5769776347,658499861985
WEQMEK,W,,,6,C,5.6600,8.6300,5.6600,11494515420,506523386251,574329053141
WEQMIO,W,,,6,C,3.9800,8.8900,3.9800,512493847288,623054883462,78981539076
WEQPIR,Re,,,6,"C,Cl,N",6.1200,6.7300,6.1200,408957671786,93935026228,102137742776
WEQPIR01,Re,,,6,"C,Cl,N",4.5200,6.6400,4.5200,817837408631,376950514732,102137742776
WEQTES,Co,+3,d6,4,"N,O",3.6000,3.9400,3.6000,410317088798,135258824018,380802222185
WEQWEU,W,,,6,"C,N,P",4.1800,6.2800,4.1800,934895425674,716029198552,861259170940
WEQWIY,W,,,6,"C,N,P",6.0600,6.6400,6.0600,933562000669,876504766401,59008160251
WEQWOE,Mo,,,5,"C,N,P",4.5400,6.7600,4.5400,369950142917,828763155717,710873925772
WERHUW,Mo,,,5,"C,N",3.4900,8.6500,3.4900,857914059866,35786694907,649539764955
WERJIQ,Mn,,,4,,5.5500,6.9400,5.5500,315937770095,815376758847,804671044825
WERJIQ01,Mn,,,4,,6.9400,7.8300,6.9400,77839337634,991545445835,804671044825
WERKAF,Mn,,,4,,3.8500,6.7200,3.8500,155608868946,67005586969,967006932838
WERKAF01,Mn,,,4,,3.8400,5.4700,3.8400,322401932348,368038340193,967006932838
WERLEK,Re,,,6,"Cl,N,O,P",6.0900,8.6400,6.0900,386636950755,958413032302,461526261108
WESBIJ,Zn,+2,d10,4,N,3.1800,4.8600,3.1800,977387089284,131398963771,838781660179
WESJAJ,Ni,+2,d8,4,N,7.0600,7.1800,7.0600,659708555256,954751549493,198657775913
WESJEN,Ni,+2,d8,4,N,4.1400,8.4600,4.1400,54397839329,290261055203,193552390896
WESJOX,Zn,+2,d10,4,N,0.8300,4.4400,0.8300,585690800822,603703992392,649121661741
WESKIS,Co,+3,d6,4,N,0.9300,6.6300,0.9300,210604645223,162510812313,696450013127
WESLAH,Cr,,,4,"N,O",3.6500,4.3900,3.6500,439402909404,558719861659,596629965004
WESLEP,Ni,+2,d8,4,N,4.2100,7.4000,4.2100,356665830010,183259366726,709983736790
WESLIT,Cu,+2,d9,4,N,7.2200,12.6300,7.2200,891548954145,109832512794,86424507949
WESLOZ,Zn,+2,d10,4,N,4.5300,7.3400,4.5300,395062090193,73618339284,853191840678
WESMAL,Fe,+2,d6,4,"Cl,N",0.4200,5.9300,0.4200,704513419390,265003703306,226858711523
WESRAN,Zn,+2,d10,4,O,0.0500,5.8000,0.0500,713843765715,190420293559,191667170310
WESSIA,Fe,+2,d6,4,N,3.6600,7.2100,3.6600,624384739139,790203051448,876935044554
WESYIF,Ru,+2,d6,5,"C,Cl,P",6.3000,13.1200,6.3000,55174765309,280938117444,312633268403
WETCAZ,Zn,+2,d10,4,"N,O",7.1300,12.9800,7.1300,805514544513,319001382086,615946699973
WETFEH,Mo,,,5,"C,N",4.1600,7.2900,4.1600,978151325005,978275183474,104812358221
WETGOR,Cr,,,4,C,5.7800,6.0200,5.7800,666276290388,765489037603,799908567891
WETSAS,Mo,,,5,O,4.1500,7.4200,4.1500,728605954866,310726781673,542834905008
WETVAT,Ir,,,6,"C,N,O",7.3500,7.9800,7.3500,253877084535,79559481088,730684149826
WETXIG,Ru,+2,d6,5,"Cl,N,P",5.5400,13.1900,5.5400,933987054757,983802408309,452166225668
WEVDAF,Ru,+2,d6,5,"C,N,P",5.6300,7.2200,5.6300,572257568955,765555462401,635381622465
WEVDUX,Ni,+2,d8,4,"N,O",0.5300,6.9600,0.5300,758437101485,425738784593,374033818096
WEVGAF,Zr,,,5,N,5.0800,7.9200,5.0800,802294432687,962780137286,97839388186
WEVJOA,Fe,+2,d6,4,N,3.8000,6.1600,3.8000,879639069256,210849717424,469471937573
WEVPUJ,Ni,+2,d8,4,"N,O",0.0500,5.1700,0.0500,528624340451,276779064903,996646437672
WEVXAA,Fe,+2,d6,4,C,4.0900,8.5200,4.0900,557890512968,603234405721,987512748696
WEWBUV,Co,+3,d6,4,"Cl,N,O",4.1000,9.1100,4.1000,241641740478,628246068890,450238888511
WEWCIM,Zn,+2,d10,4,O,0.0700,5.6100,0.0700,888040690437,25875839591,114168024967
WEWCUW,Fe,+2,d6,4,"N,O",3.9500,4.0700,3.9500,69010526684,451810914431,597007284354
WEWFUZ,Co,+3,d6,4,"N,S",5.7500,5.9300,5.7500,748207310287,698743304306,42532299381
WEWPUN,Pt,+4,d6,6,"C,I,N",3.7900,5.4900,3.7900,803019662178,174782963116,361682866097
WEWQEY,Pt,+4,d6,6,"C,N,O",4.0300,8.3700,4.0300,950869959015,726495952527,810340936038
WEWQOH,Fe,+2,d6,4,"Cl,N",0.1400,5.5400,0.1400,166601740987,989038886246,649067096575
WEWQUM,Re,,,6,"C,N",6.5800,8.3800,6.5800,165923950209,535312806222,535671015168
WEWRID,Zn,+2,d10,4,,4.6100,7.3700,4.6100,453733480805,917606709132,99540464703
WEWROJ,Zn,+2,d10,4,,3.8300,9.2000,3.8300,575266662246,291501578560,250766067323
WEWVIG,Zn,+2,d10,4,"N,O",0.0100,5.6500,0.0100,900212794233,572211635871,348541890146
WEWXIF,Cu,+2,d9,4,"F,N",0.6500,6.1200,0.6500,115033562970,381527757237,688053996243
WEWXIH,Mn,,,4,"Cl,N",0.6600,6.4800,0.6600,216677796299,296382743975,992139192310
WEWYIG,Ti,,,4,"Cl,N",5.6400,8.8500,5.6400,596747854085,505798859030,493169797137
WEWZEE,Mn,,,4,O,5.1900,5.7300,5.1900,443149788900,132294961087,441805420695
WEWZIH,Mo,,,5,"C,P",4.4100,5.8000,4.4100,874452581775,19741018682,169741177335
WEXBIO,Re,,,6,"Br,N",4.0600,5.7300,4.0600,130564144306,486428897091,779025081623
WEXBUX,Ni,+2,d8,4,N,6.1500,8.3800,6.1500,151119608504,778368922851,472839488184
WEXCAH,Re,,,6,"I,N",6.4000,9.2000,6.4000,150171552379,787236947637,834332002757
WEXCOV,Re,,,6,"Br,N",5.9100,6.1200,5.9100,818089464122,618310025953,606199620365
WEXCUB,Re,,,6,"N,O,P",7.2600,7.7800,7.2600,647078361864,514023086158,147233213976
WEXDAI,Re,,,6,"Br,N",4.4800,8.7300,4.4800,422525191961,725821108992,165292983790
WEXDEM,Re,,,6,"Br,N",3.9100,5.6100,3.9100,187902782337,264615285771,588160981839
WEXDOT,Re,,,6,"C,P",6.1200,7.5300,6.1200,174245185502,558769640178,891497117795
WEXHEM,Ni,+2,d8,4,"N,O",4.6000,5.1300,4.6000,519833758235,724222861175,427503584625
WEXHIT,Zn,+2,d10,4,"N,O",4.5000,5.9000,4.5000,839421600503,42636636948,911352610148
WEXHOZ,Ni,+2,d8,4,"N,O",2.8300,5.5500,2.8300,712007468483,474969774548,601604506909
WEXMES,Cr,,,4,C,4.3000,8.6900,4.3000,923022156695,319346665319,613048870685
WEXMIW,Cr,,,4,C,3.9900,5.7900,3.9900,771558168140,887305471026,525983735885
WEXMOC,Cr,,,4,C,6.3900,7.2600,6.3900,728890693252,642244006861,451917488807
WEXMUI,Cr,,,4,"C,P",3.8900,4.3100,3.8900,733904946431,795877230350,365127540744
WEXQEX,Ni,+2,d8,4,"N,S",4.6000,9.3000,4.6000,381769290737,716492459457,782362489197
WEXTAW,Ir,,,6,"C,N,P",9.6600,13.3000,9.6600,577983286187,770193607223,573332755156
WEXTID,Co,+3,d6,4,N,5.5700,5.7600,5.5700,95489863432,993636661610,932937824700
WEXVAW,Fe,+2,d6,4,"C,N,S",4.0600,4.1100,4.0600,116241168648,870703247659,154986589381
WEXYIH,Mn,,,4,"Cl,O",4.4700,6.4200,4.4700,859135291372,931587674378,103002979727
WEYCEI,Mo,,,5,"C,P",4.4100,4.7900,4.4100,623337314047,988824537703,648313057767
WEYJET,Ni,+2,d8,4,N,4.2600,7.2100,4.2600,654319292130,799648471841,92868812842
WEYKIW,Ru,+2,d6,5,"Cl,N",5.8000,6.8500,5.8000,816427334318,574876632877,21443279014
WEYKUH,Y,,,5,"I,O",6.9100,9.3800,6.9100,303518085827,224124146577,994688178878
WEYPOH,Co,+3,d6,4,"N,O",4.3100,5.9800,4.3100,479092095312,782872698546,50461662198
WEYQAS,Ti,,,4,N,5.0400,7.3600,5.0400,923447872988,723020523945,886929844590
WEYROJ,Co,+3,d6,4,"N,O",4.2100,9.7900,4.2100,141061409853,332168052753,345302118393
WEYSAW,Co,+3,d6,4,"N,O",0.2800,6.1500,0.2800,631029031237,772255255781,246759879073
WEYTON,Co,+3,d6,4,O,0.0400,5.6600,0.0400,190468190659,634005247024,111118549431
WEYTUT,Ni,+2,d8,4,O,0.0200,5.6600,0.0200,552935755413,540856236865,448568412457
WEYVUR,Fe,+2,d6,4,N,3.8700,4.6600,3.8700,552412403108,917804460930,149738725964
WEYWEC,Fe,+2,d6,4,N,6.4900,7.5700,6.4900,852851406023,979754565731,92926968775
WEYWIG,W,,,6,C,6.1700,7.5700,6.1700,173622580233,843014041087,989623198203
WEYZIN,Ni,+2,d8,4,N,5.6500,6.0500,5.6500,265063693717,125183809608,92868812842
WEYZIN01,Ni,+2,d8,4,N,5.6500,7.5400,5.6500,728912260151,504091872187,92868812842
WEYZUZ,Ni,+2,d8,4,N,4.2800,4.5800,4.2800,702489046050,125183809608,92868812842
WEZBIO,Ni,+2,d8,4,N,3.7400,5.7300,3.7400,832440149156,564405890994,327946942734
WEZGUG,Ir,,,6,"C,N",4.6500,6.9400,4.6500,539064263111,377397153740,144759933279
WEZJOE,Co,+3,d6,4,N,3.9500,5.6800,3.9500,341577004709,87816559700,721387610212
WEZPIB,Ru,+2,d6,5,"Cl,P",3.9600,8.6400,3.9600,21174899403,824547327677,406433495608
WEZVIH,Fe,+2,d6,4,N,6.7100,7.0100,6.7100,532795787475,35209414324,208598384353
WEZVON,Fe,+2,d6,4,N,4.6900,7.2700,4.6900,121286217480,921338285351,600696223580
WEZXEE,Zn,+2,d10,4,S,3.9200,4.5500,3.9200,257399984357,26371909196,205294521026
WIBFEV,Co,+3,d6,4,"N,O",3.8800,7.2300,3.8800,805459991661,765450491941,861886816479
WIBFIZ,Co,+3,d6,4,"N,O",5.5600,12.7100,5.5600,427187965144,141418890493,247991271732
WIBFUL,Co,+3,d6,4,"Cl,N",5.9100,6.5400,5.9100,262487897643,353153784941,886961334918
WIBGAP,Co,+3,d6,4,"N,O",5.7700,6.9700,5.7700,485439644570,656317657733,257705794516
WIBGUJ,Cr,,,4,"Cl,N,O",6.2600,13.1100,6.2600,549201284467,324586446207,835813128417
WIBHUN,Zr,,,5,,6.5300,6.7100,6.5300,95377875761,884657426001,330535611200
WIBLOK,V,,,4,"N,O",3.9500,8.5600,3.9500,31420952132,596587271279,792621994549
WIBLUO,Mn,,,4,"Br,C,P",5.9200,7.8900,5.9200,3926610383,677015191533,118600493303
WIBMAV,Re,,,6,"Br,C,P",5.1300,8.5100,5.1300,945210314547,259390910210,732129219989
WIBNEC,Co,+3,d6,4,"N,O",6.8400,8.6400,6.8400,97672817059,247195541804,849651420454
WIBNIE,Ru,+2,d6,5,"Cl,N",3.8500,8.6600,3.8500,103903834648,702537463539,432202317556
WIBNIE01,Ru,+2,d6,5,"Cl,N",3.8600,5.8600,3.8600,843958440598,702537463539,432202317556
WIBNIE02,Ru,+2,d6,5,"Cl,N",3.8500,5.8600,3.8500,611559161880,702537463539,432202317556
WIBNIE03,Ru,+2,d6,5,"Cl,N",3.8600,8.6600,3.8600,637502287939,702537463539,432202317556
WIBNIE04,Ru,+2,d6,5,"Cl,N",0.2600,5.9600,0.2600,179653930688,749904970674,432202317556
WIBNIE05,Ru,+2,d6,5,"Cl,N",3.8600,5.9500,3.8600,809698652970,702537463539,432202317556
WIBNIE06,Ru,+2,d6,5,"Cl,N",0.2600,5.8800,0.2600,173730028489,749904970674,432202317556
WIBNOM,Ni,+2,d8,4,"N,O",5.2100,12.9900,5.2100,403441593690,448428572451,724196970423
WIBNUS,Cu,+2,d9,4,"N,O",4.0000,9.0100,4.0000,777407863063,893081686624,143186342841
WIBPOM,V,,,4,"N,O",0.3000,4.6400,0.3000,615951302924,780856909963,710276040646
WIBRUU,W,,,6,C,5.3900,12.8900,5.3900,891532565238,936766962495,654677262496
WICBUH,Cu,+2,d9,4,O,6.1000,9.0400,6.1000,744631332927,4826787332,18213538352
WICDUI,Mo,,,5,"C,P",3.9100,4.4100,3.9100,956081073018,120069606004,61770820696
WICFAQ,Mo,,,5,"C,P",5.9200,12.9000,5.9200,905485856819,268873610896,797367053742
WICJEX,Ni,+2,d8,4,N,0.0800,5.6300,0.0800,524349269675,993517026346,579280224165
WICJOH01,Cd,,,5,,1.5800,5.4500,1.5800,964584679396,205866278878,885650423179
WICRAB,Ru,+2,d6,5,"Cl,Se",3.9100,4.5700,3.9100,135233836183,428487994594,984988714090
WICRAC02,Co,+3,d6,4,N,4.4000,7.6500,4.4000,226126672092,994833746067,460546515622
WICRIJ,Zn,+2,d10,4,,5.0000,5.9600,5.0000,955467336222,73184208164,638864953186
WICRUY,Mo,,,5,"N,O",5.5100,6.3000,5.5100,639630496136,17582179434,497089989239
WICSEI,Ru,+2,d6,5,"C,Cl",6.7300,8.5800,6.7300,686838281681,998379791991,354487210321
WICTOT,W,,,6,"C,P",5.8700,5.9500,5.8700,370306219831,100328786666,637511704463
WIDCAR,Mn,,,4,"C,F,P",4.1600,8.8200,4.1600,850132433862,746192314344,588117953110
WIDGOG,Fe,+2,d6,4,N,3.9800,7.1700,3.9800,18093121211,757980677895,293796946734
WIDGUM,Fe,+2,d6,4,"N,O",5.8100,12.7400,5.8100,614937013532,589743821464,363666575358
WIDHAT,Fe,+2,d6,4,O,6.4800,7.2100,6.4800,616184124038,894755016860,604478698127
WIDJAV,W,,,6,,0.7900,8.4500,0.7900,646738196415,53259161745,722264274053
WIDJOJ,W,,,6,,5.3500,7.6000,5.3500,378922271224,269246932043,20500198935
WIDKOK,W,,,6,S,4.0400,5.9500,4.0400,467896259296,759543255503,478933383204
WIDQUV,Ni,+2,d8,4,N,0.0300,5.8100,0.0300,772960580158,136572683613,387528887950
WIDSIM,Ni,+2,d8,4,N,0.1100,6.1400,0.1100,690324440102,461028460994,143811610325
WIDTIO,Ru,+2,d6,5,"C,P",6.0000,7.3000,6.0000,202510597635,871327171609,199413051683
WIDTOU,Ru,+2,d6,5,"C,P",4.2700,6.4000,4.2700,831525206461,625939778354,207271693838
WIDVOV,Ru,+2,d6,5,"Cl,N,S",4.2400,4.6900,4.2400,301696945856,538433461741,324970357797
WIDWOZ,Ti,,,4,"Cl,O",6.5800,6.8100,6.5800,99252638853,156021546738,576398673767
WIFCEV,Ru,+2,d6,5,"C,N,O",4.0500,7.8900,4.0500,159205129010,412898755146,768894983122
WIFDIA,Ru,+2,d6,5,"C,N",5.3400,7.1600,5.3400,499162231449,627766751556,325616391540
WIFDOG,Ru,+2,d6,5,"C,Cl,N,P",6.1300,13.0600,6.1300,141853757418,367016682955,566544670957
WIFFEY,Ru,+2,d6,5,"C,Cl,N,P",6.1000,13.2600,6.1000,633686798036,928155089410,645072502962
WIFJUQ,Co,+3,d6,4,N,3.7000,5.5100,3.7000,326701075557,332661163383,850982522669
WIFKOP,Co,+3,d6,4,"N,O",0.0300,6.0600,0.0300,957825564469,412010810806,447577461265
WIFKOP01,Co,+3,d6,4,"N,O",0.0200,5.5000,0.0200,616813585682,412010810806,447577461265
WIFPIN,Pt,+4,d6,6,"C,N,O",6.0600,6.3600,6.0600,869261918787,346209631711,481443851957
WIFPUZ,Pt,+4,d6,6,"C,I,N",4.4700,8.3300,4.4700,956692799,724556810061,561415622404
WIFQAG,Pt,+4,d6,6,"C,I,N",0.6900,6.3800,0.6900,272056959729,478498696697,132427832741
WIFQIL,Ru,+2,d6,5,N,4.4200,4.7300,4.4200,450802218125,603450241947,596993462067
WIFQIL01,Ru,+2,d6,5,N,5.2600,7.4100,5.2600,822088137813,449092582782,596993462067
WIFQIO,Pt,+4,d6,6,"C,N,O",6.1800,12.7900,6.1800,593106816004,43180712293,988313913484
WIFQOU,Pt,+4,d6,6,"C,N,O",6.3400,6.4900,6.3400,335651211897,78899347674,866096326046
WIFQUA,Pt,+4,d6,6,"C,I,N",5.7600,7.1200,5.7600,607326682054,462531396798,412605092824
WIFRAH,Pt,+4,d6,6,"C,N,O",3.9600,4.4400,3.9600,822627104981,549145684631,136597872897
WIFSEJ,Mn,,,4,"O,S",0.6500,5.2600,0.6500,357046046291,911747240568,668421712675
WIFSEJ10,Mn,,,4,"O,S",0.6500,5.2600,0.6500,357046046291,911747240568,668421712675
WIFSOT,Mn,,,4,S,4.1400,7.6400,4.1400,537265654826,735079396806,42634405911
WIFSOT10,Mn,,,4,S,4.1400,7.6400,4.1400,537265654826,735079396806,42634405911
WIFTOX,Cu,+2,d9,4,"N,O",0.4700,6.3700,0.4700,670041986906,422043751725,300701892467
WIFZEQ,Mn,,,4,O,0.0500,5.4200,0.0500,881760575482,781737000765,441805420695
WIFZEQ01,Mn,,,4,O,3.8200,8.5800,3.8200,608484014857,21957731350,441805420695
WIFZEQ02,Mn,,,4,O,3.8200,8.6600,3.8200,962822358090,21957731350,441805420695
WIFZUG,Fe,+2,d6,4,N,3.8600,5.5100,3.8600,259158290449,170906946217,752039827995
WIGCUO,Nb,,,5,"Cl,N",6.8900,13.2700,6.8900,446526489451,193492154577,894635501793
WIGFUN,W,,,6,,6.6900,9.4900,6.6900,265990729090,489661825329,811363732971
