refcode,metal,oxidation_state,d_count,metal_row,donor_set,S_Oh,S_TPr,JT_proxy,L0_hash,L1_hash,L3_hash
QANGIV,Ru,+2,d6,5,"Cl,N,P",6.3000,13.2100,6.3000,378990561122,834782308763,415738779574
QANGOB,Ru,+2,d6,5,"Cl,N,P",6.2700,7.0000,6.2700,469271198303,919501150877,263196750022
QANGUH,Ru,+2,d6,5,"Cl,N,P",4.5500,7.9700,4.5500,261309930536,935562716983,263196750022
QANHAO,Ru,+2,d6,5,"Cl,N,P",4.2100,5.7700,4.2100,865875281165,618288448447,263196750022
QANHAS,Ru,+2,d6,5,"Cl,N,O",4.9000,5.8200,4.9000,627725123367,313297452017,319208375557
QANJIY,Re,,,6,"C,N,S",3.9300,5.7900,3.9300,836732826691,543845605000,932047826790
QANLAV,Ni,+2,d8,4,N,4.7900,7.6700,4.7900,19259948522,940601807003,722327382600
QANLUM,Co,+3,d6,4,"N,S",3.8700,8.2600,3.8700,701937858504,243159661778,321629620104
QANNOI,Re,,,6,"Cl,N,P",5.4300,7.4900,5.4300,748884840886,829150235033,435959732220
QANNOK,Co,+3,d6,4,"N,O",3.8900,4.8400,3.8900,834176755878,277695279635,761509375423
QANNUQ,Co,+3,d6,4,"N,O",6.3200,6.3600,6.3200,132552176366,742640944247,149449758228
QANPAW,Re,,,6,"Cl,P",0.3600,5.9900,0.3600,42807847136,456352370696,211027077724
QANPAY,Co,+3,d6,4,"N,O",4.0400,7.9400,4.0400,39126353969,999449023586,282260032778
QANPEC,Co,+3,d6,4,"N,O",5.5500,5.5500,5.5500,362577714533,964774578732,570293139335
QANPIG,Co,+3,d6,4,"N,O",3.9300,5.4300,3.9300,765690933872,280033436945,374155595107
QANPOM,Co,+3,d6,4,"N,O",3.5300,4.0100,3.5300,980908860521,312050587203,29334386350
QANPUS,Ni,+2,d8,4,"N,O",3.8900,8.4600,3.8900,421936690421,705669019437,159489176676
QANQIH,Ni,+2,d8,4,"N,O",3.9500,6.4400,3.9500,137281880041,184541341892,942616606730
QANQUT,Ni,+2,d8,4,"N,O",0.1300,6.1200,0.1300,275315870307,203887741918,690485267011
QANREE,Ni,+2,d8,4,"N,O",5.4800,7.2000,5.4800,68965465039,173229939658,863149056300
QANROO,Co,+3,d6,4,"N,O",4.4300,5.2000,4.4300,840212835856,299266596526,743724937062
QANRUU,Ni,+2,d8,4,"N,O",5.5700,6.5700,5.5700,349039387564,384815549898,869639315477
QANSAB,Zn,+2,d10,4,"N,O",6.5400,7.0600,6.5400,550027795489,367124321950,417855905308
QANTAE,Cu,+2,d9,4,"N,O",0.7400,6.3000,0.7400,385172672655,582630868571,428401340537
QAPFUL,Ir,,,6,"C,N",5.5600,9.4600,5.5600,1089467658,179348612510,4080147071
QAPGAS,Ir,,,6,"C,N",4.6100,6.4700,4.6100,36545593692,833771044915,79840910027
QAPJEZ,Re,,,6,"C,Cl,N",4.7800,6.3900,4.7800,372841601717,368614023314,255090401153
QAPJUN,Co,+3,d6,4,"Cl,O",0.3200,6.2500,0.3200,408251731011,703827463479,883453393800
QAPJUN01,Co,+3,d6,4,"Cl,O",3.8800,8.6800,3.8800,22789892620,908783688248,883453393800
QAPMIF,Rh,+3,d6,5,"N,O",4.2300,8.5000,4.2300,177108918686,111762305046,859883881953
QAPSAC,Pt,+4,d6,6,"I,O,S",4.4500,7.2100,4.4500,453797511839,754548446776,88095129581
QAPSOQ,Pt,+4,d6,6,"Br,S",4.0700,4.4300,4.0700,96141574826,29932116146,744959931581
QAPXIP,Ru,+2,d6,5,"C,Cl,P",6.5700,9.8600,6.5700,41059445834,807281739258,386931077129
QAPXUA,Re,,,6,"C,N",6.0600,6.9000,6.0600,800023960752,208969828279,960685942260
QAPXUC,V,,,4,O,3.9900,4.6500,3.9900,92116526119,768150808691,719197726415
QAPYIP,Re,,,6,"N,O",4.5900,6.2100,4.5900,507329398003,516897305948,546155608438
QAPYUB,Re,,,6,N,4.1900,8.6600,4.1900,616816570114,835112234439,202398054712
