refcode,metal,oxidation_state,d_count,donor_set,denticity_pattern,S_TBPY,S_SPY,log_S_TBPY,log_S_SPY,delta_TBPY_SPY,is_intermediate_delta_lt_1,L3_key_hash
DUBBUZ,Ni,+2,d8,N,2,4.8200,5.7400,0.6920,0.7664,0.9200,True,238514065906
DUBCAG,Cu,+2,d9,N,2,0.4300,0.4600,-0.2757,-0.2518,0.0300,True,590731370441
DUBCIO,Cu,+2,d9,N,3-1,0.3300,0.7100,-0.3665,-0.0915,0.3800,True,368132714992
DUBCOW,Ir,,,"Cl,N",1-1-1-1,5.6000,6.0700,0.7559,0.7903,0.4700,True,30524047944
DUBDOU,Cu,+2,d9,"N,O",1-1,4.2600,5.9600,0.6395,0.7825,1.7000,False,570247512287
DUBMAR,Zn,+2,d10,,,0.3300,1.2900,-0.3665,0.1430,0.9600,True,69256527443
DUBMEV,Zn,+2,d10,,,0.3800,5.1100,-0.3188,0.7168,4.7300,False,264412480337
DUBMIZ,Zn,+2,d10,,,0.4400,5.2600,-0.2676,0.7292,4.8200,False,264412480337
DUBMOF,Zn,+2,d10,,,0.4200,0.9400,-0.2840,0.0170,0.5200,True,264412480337
DUBMUL,Zn,+2,d10,,,0.3500,5.1000,-0.3468,0.7160,4.7500,False,264412480337
DUBWEE,V,,,,,0.5700,5.5400,-0.1739,0.7513,4.9700,False,203015135538
DUBWII,V,,,,,0.6000,6.0800,-0.1549,0.7910,5.4800,False,203015135538
DUCGIR,Cu,+2,d9,N,1-1,4.9500,8.7700,0.7033,0.9479,3.8200,False,568433307980
DUCMOD,Re,,,,,0.1300,0.9000,-0.6383,0.0000,0.7700,True,958619405448
DUCMOD01,Re,,,,,5.1600,5.7900,0.7210,0.7701,0.6300,True,958619405448
DUCVAB,Co,+2,d7,,,0.4400,1.8400,-0.2676,0.2878,1.4000,False,623822746254
DUDJEV,Fe,+2,d6,P,2,5.4500,5.9100,0.7443,0.7789,0.4600,True,857169679175
DUDNAV,Fe,+2,d6,,,0.9000,1.0300,0.0000,0.0531,0.1300,True,857169679175
DUDNOJ,Fe,+2,d6,,,0.9000,5.2500,0.0000,0.7284,4.3500,False,17815340618
DUDZAE,Re,,,"C,S",2-1-1,6.0900,6.1000,0.7917,0.7924,0.0100,True,980506429639
DUDZEI,Re,,,"C,N,S",2-1-1,5.7200,6.0100,0.7649,0.7860,0.2900,True,587084701751
DUDZOS,Re,,,"C,N,S",2-1-1,0.4200,1.7400,-0.2840,0.2648,1.3200,False,286547965341
DUFDAK,Cu,+2,d9,N,1-1,5.1100,5.5600,0.7168,0.7528,0.4500,True,336270608469
DUFHUK,Mo,,,,,7.4300,8.2000,0.8768,0.9191,0.7700,True,233226238633
DUFLEW,Fe,+2,d6,"N,O",2,4.9700,5.8800,0.7050,0.7767,0.9100,True,381446291805
DUGBAL,V,,,,,0.2200,0.8800,-0.4949,-0.0088,0.6600,True,378432767595
DUGBEP,V,,,,,5.4300,5.9200,0.7427,0.7796,0.4900,True,679389790281
DUGCAJ,Fe,+2,d6,P,1-1,0.6200,1.2300,-0.1427,0.1239,0.6100,True,520029861845
DUGDAO,Mn,,,,,0.0500,0.8600,-0.8239,-0.0177,0.8100,True,208518757485
DUGGIV,Mn,,,,,0.5800,0.8500,-0.1675,-0.0223,0.2700,True,385127337219
DUGJUK,Pt,+2,d8,"C,I",1-1,2.6200,4.6800,0.4346,0.6794,2.0600,False,56539486978
DUGMAU,Rh,+3,d6,C,1-1,0.3700,1.7300,-0.3279,0.2625,1.3600,False,350827087515
DUHCOZ,Cd,,,,,5.5900,6.9100,0.7551,0.8457,1.3200,False,647351450689
DUHGIX,Ni,+2,d8,"N,O",4,4.7900,6.2600,0.6893,0.8035,1.4700,False,488762134218
DUHJAS,Cu,+2,d9,"N,O",1-1,6.3800,6.4900,0.8116,0.8189,0.1100,True,912263385371
DUHJEV,Co,+2,d7,,,0.7000,4.5900,-0.0969,0.6712,3.8900,False,529844089989
DUHJOJ,Cd,,,,,5.2600,6.9400,0.7292,0.8476,1.6800,False,891883530848
DUHVOV,Re,,,"C,N",2-1-1,0.4700,1.4100,-0.2441,0.1790,0.9400,True,585775512181
DUHVUB,Re,,,"C,N",2-1-1,0.4200,1.3200,-0.2840,0.1523,0.9000,True,190131884458
DUJDIY,V,,,,,4.9900,5.5900,0.7067,0.7551,0.6000,True,719258038886
DUJKEC,Co,+3,d6,"N,O",1-1,13.1400,11.9300,1.1219,1.0803,1.2100,False,674021718687
DUJTUA,Zn,+2,d10,,,6.8800,5.0400,0.8439,0.7110,1.8400,False,494765060276
DUJVAI,Zn,+2,d10,N,1-1,0.4900,0.7500,-0.2291,-0.0706,0.2600,True,165413477078
DUJVOW,Zn,+2,d10,,,0.6700,1.7500,-0.1135,0.2672,1.0800,False,304385871354
DUJWOX,Zn,+2,d10,,,6.8000,12.0500,0.8388,1.0846,5.2500,False,494765060276
DUKBAN,Cu,+2,d9,"N,O",1-1,0.4300,0.9700,-0.2757,0.0294,0.5400,True,789725846867
DUKBIV01,Zn,+2,d10,,,4.3900,5.4300,0.6522,0.7427,1.0400,False,476111549303
DUKCAO,Cu,+2,d9,N,1-1,8.5300,6.1900,0.9360,0.7987,2.3400,False,483210641495
DUKNIH,Co,+2,d7,N,1-1,1.4600,3.9300,0.1931,0.6053,2.4700,False,17395528957
DUKPII,Ru,+2,d6,"Cl,P",1-1,5.2300,6.1100,0.7267,0.7931,0.8800,True,189189202209
DULFEV,Mo,,,,,0.6700,5.9600,-0.1135,0.7825,5.2900,False,196802553933
DULHOL,Co,+2,d7,,,0.9500,6.2300,0.0212,0.8014,5.2800,False,207556598818
DULMEC,Os,,,,,0.3600,5.7800,-0.3372,0.7694,5.4200,False,880413572137
DULPIN,Zn,+2,d10,,,0.5200,5.8200,-0.2076,0.7723,5.3000,False,666628348417
DULPUW,Zn,+2,d10,N,1-1,0.0800,5.3600,-0.7447,0.7372,5.2800,False,751326229866
DULQIL,Hg,,,,,0.9800,2.0000,0.0334,0.3222,1.0200,False,921122871650
DULSEI,Ni,+2,d8,,,9.6300,12.8600,0.9881,1.1126,3.2300,False,20560905283
DULSUZ,Cu,+2,d9,N,1-1,3.3600,8.9900,0.5391,0.9586,5.6300,False,135603292192
DULTIO,Cu,+2,d9,,,1.1600,5.8200,0.1004,0.7723,4.6600,False,482421732401
DULVAK,Hg,,,,,5.7300,6.5200,0.7657,0.8209,0.7900,True,524075647772
DUMBEV,Cu,+2,d9,"N,O",2-2,0.8100,1.1800,-0.0410,0.1072,0.3700,True,697766736061
DUMBUL,Rh,+3,d6,"C,Cl",1-1,5.5900,13.9200,0.7551,1.1467,8.3300,False,108576218347
DUMHOI,V,,,,,8.4200,5.2400,0.9304,0.7275,3.1800,False,855607541404
DUMKAA,Ru,+2,d6,"C,O",1-1,6.3800,6.4100,0.8116,0.8136,0.0300,True,557251515607
DUNTIT,Ti,,,"N,O",1-1,0.2200,1.2200,-0.4949,0.1206,1.0000,False,419912785475
DUNVER,Ti,,,"N,O",1-1,0.2100,5.7200,-0.5086,0.7649,5.5100,False,726172877928
DUPSOW,Ir,,,,,4.9900,5.9000,0.7067,0.7782,0.9100,True,85441494958
DUQKAE,Cu,+2,d9,N,2,4.7700,5.9800,0.6875,0.7839,1.2100,False,942764423046
DUQSIS,Ti,,,N,1-1,0.7800,6.4200,-0.0555,0.8142,5.6400,False,242071881143
DUQXEW,Co,+2,d7,,,0.7400,1.7500,-0.0757,0.2672,1.0100,False,949290206931
DUQXOG,Co,+2,d7,,,5.4900,6.3900,0.7474,0.8122,0.9000,True,851048921511
DUQYAT,Co,+2,d7,,,0.8900,6.4700,-0.0044,0.8176,5.5800,False,759144086095
DURBAW,Ru,+2,d6,C,1-1,5.7400,5.9500,0.7664,0.7818,0.2100,True,250251696155
DURDUP,Mn,,,"N,O",4,0.8500,3.4800,-0.0223,0.5539,2.6300,False,68814865059
DURFOM,Cu,+2,d9,N,1-1,5.2100,6.7500,0.7251,0.8357,1.5400,False,743844095697
DURJAC,Zn,+2,d10,,,4.4900,6.7200,0.6618,0.8338,2.2300,False,854075490313
DURRAK,V,,,,,4.2100,6.0200,0.6345,0.7868,1.8100,False,192932959635
DURREO,V,,,,,10.4600,5.1900,1.0237,0.7235,5.2700,False,476298643522
DURREO01,V,,,,,10.4800,5.2100,1.0245,0.7251,5.2700,False,476298643522
DURVUH,Ta,,,,,0.3100,6.1500,-0.3872,0.7959,5.8400,False,513069906485
DURVUH10,Ta,,,,,0.3100,6.1500,-0.3872,0.7959,5.8400,False,513069906485
DURYUO,Fe,+2,d6,,,5.5200,6.7100,0.7497,0.8331,1.1900,False,18232798333
DUSNUA,Mo,,,,,0.0900,0.5800,-0.7212,-0.1675,0.4900,True,964708361272
DUSPAI,W,,,,,0.0500,0.7100,-0.8239,-0.0915,0.6600,True,656539060753
DUSTAO,Zn,+2,d10,,,0.7700,5.9900,-0.0605,0.7846,5.2200,False,107749184769
DUSTES,Zn,+2,d10,,,0.5900,6.2300,-0.1612,0.8014,5.6400,False,107749184769
DUSTIW,Zn,+2,d10,,,3.6600,6.5700,0.5752,0.8241,2.9100,False,107749184769
DUSTOC,Zn,+2,d10,,,5.2300,6.3800,0.7267,0.8116,1.1500,False,821315249353
DUSTUI,Zn,+2,d10,,,0.8600,6.3800,-0.0177,0.8116,5.5200,False,432680761157
DUSVAQ,Zn,+2,d10,,,0.9200,6.3300,0.0086,0.8082,5.4100,False,730488403500
DUSVEU,Cu,+2,d9,,,5.0500,5.1000,0.7118,0.7160,0.0500,True,444873362822
DUSWAR,Zn,+2,d10,,,0.7200,5.8000,-0.0862,0.7709,5.0800,False,895448116794
DUVHEJ,Zn,+2,d10,,,1.6600,4.0100,0.2455,0.6138,2.3500,False,189474261671
DUVHIN,Zn,+2,d10,,,0.6600,4.8800,-0.1192,0.6972,4.2200,False,193994914689
