pool_id,mof_source,hard_key_metal,hard_key_cn,hard_key_donor,n_candidates,n_positives,n_negatives
MOF_ACITOV,ACITOV,Cu+Cu+Cu+Cu,"4,4,4,4","N,N,N,N,N,N,N,N,O,O,O,O,O,O,O,O",30,6,11
MOF_ACIYER,ACIYER,Rh+Rh,"5,5","N,N,O,O,O,O,O,O,O,O",37,6,17
MOF_ACIYER01,ACIYER01,Rh+Rh,"5,5","N,N,O,O,O,O,O,O,O,O",37,6,17
MOF_ACIYER02,ACIYER02,Rh+Rh,"5,5","N,N,O,O,O,O,O,O,O,O",37,6,17
MOF_ACIYER07,ACIYER07,Rh+Rh,"5,5","N,N,O,O,O,O,O,O,O,O",37,6,17
MOF_ACIYIV,ACIYIV,Rh+Rh,"5,5","N,N,O,O,O,O,O,O,O,O",37,6,17
MOF_ACMCRU,ACMCRU,Cr+Cr,"4,4","O,O,O,O,O,O,O,O",25,7,6
MOF_ACMCRU01,ACMCRU01,Cr+Cr,"4,4","O,O,O,O,O,O,O,O",25,7,6
MOF_ACMONA,ACMONA,Mo+Mo,"5,5","O,O,O,O,O,O,O,O,O,O",22,4,9
MOF_ACNBPC,ACNBPC,Ni+Ni,"6,4","C,C,C,C,N,N,N,N,N,N",62,12,26
MOF_ACOHUW,ACOHUW,Mn+Mn,"6,1","N,O,O,O,O,O,O",32,2,7
MOF_ACOHUW01,ACOHUW01,Mn+Mn,"6,1","N,O,O,O,O,O,O",32,2,7
MOF_ACOHUW02,ACOHUW02,Mn+Mn,"6,1","N,O,O,O,O,O,O",32,2,7
MOF_ACOHUW03,ACOHUW03,Mn+Mn,"6,1","N,O,O,O,O,O,O",32,2,7
MOF_ACOLAG,ACOLAG,Fe+Fe,"6,2","Cl,Cl,O,O,O,O,O,O",75,4,29
MOF_ACOMEL,ACOMEL,Fe+Fe,"6,1","F,F,F,O,O,O,O",75,1,30
MOF_ACORUJ,ACORUJ,Cd+Cd,"7,5","O,O,O,O,O,O,O,O,O",17,3,9
MOF_ACOYEY,ACOYEY,Zn+Zn,"4,1","N,N,N,O,O",45,1,18
MOF_ACPCRB,ACPCRB,Cr+Cr,"5,5","N,N,O,O,O,O,O,O,O,O",25,12,7
MOF_ACPCRB01,ACPCRB01,Cr+Cr,"5,5","N,N,O,O,O,O,O,O,O,O",25,12,7
MOF_ACUCEG,ACUCEG,Zn+Zn,"4,1","N,N,N,O,O",45,1,18
MOF_ACUCIK,ACUCIK,Zn+Zn,"4,1","N,N,N,O,O",45,1,18
MOF_ACUDAD,ACUDAD,Ag+Ag,"4,4","N,N,N,N,N,N,N,N",25,7,5
MOF_ACUDEJ,ACUDEJ,Cu+Cu,"6,1","N,N,N,N,N,O,O",148,43,44
MOF_ACUFAH,ACUFAH,Ag+Ag,"3,3","N,N,N,N,N,N",25,12,5
MOF_ACUFOV,ACUFOV,Zn+Zn,"6,1","N,N,O,O,O,O,O",45,19,14
MOF_ACUFUR,ACUFUR,Cu+Cu,"6,6","O,O,O,O,O,O,O,O,O,O,O,O",148,26,60
MOF_ACUFUR01,ACUFUR01,Cu+Cu,"6,6","O,O,O,O,O,O,O,O,O,O,O,O",148,26,60
MOF_ACUHEO,ACUHEO,Ni+Ni+Ni,"6,6,5","O,O,O,O,O,O,O,O,O,O,O,O",18,3,14
MOF_ACUQEX,ACUQEX,Pt+Pt,"4,4","Cl,Cl,Cl,Cl,Cl,Cl,N,N",33,3,12
MOF_ACUQUK,ACUQUK,Ag+Ag,"2,1","N,N,N",25,4,5
MOF_ACUQUK01,ACUQUK01,Ag+Ag,"2,1","N,N,N",25,4,5
MOF_ACUQUO,ACUQUO,Mn+Mn,"6,6","N,N,N,N,O,O,O,O,S,S,S,S",32,9,8
MOF_ACURAR,ACURAR,Ag+Ag,"3,3","N,N,N,N,O,O",25,8,5
MOF_ACUREV,ACUREV,Ag+Ag,"2,2","N,N,N,N",25,6,5
MOF_ACUWIE,ACUWIE,Cu+Cu,"6,2","Br,Br,N,N,N,O,O,O",148,34,51
MOF_ACUWON,ACUWON,Co+Co+Co,"6,6,6","N,N,N,N,O,O,O,O,O,O,O,O",11,1,7
MOF_ACYLAG,ACYLAG,Ag+Ag,"2,2","O,O,O,O",25,2,5
MOF_ADAFAN,ADAFAN,Zn+Zn,"6,6","N,N,N,N,N,N,N,N,O,O,O,O",45,22,13
MOF_ADAFAN01,ADAFAN01,Zn+Zn,"6,6","N,N,N,N,N,N,N,N,O,O,O,O",45,22,13
MOF_ADALID,ADALID,Cu+Cu+Cu+Cu+Cu+Cu,"5,5,5,5,5,5","O,O,O,O,O,O,O,O,O,O,O,O,O,O",10,1,9
MOF_ADAMIC,ADAMIC,Cu+Cu,"6,2","N,N,O,O,O,O,O,O",148,46,50
MOF_ADAQEB,ADAQEB,Cu+Cu,"6,1","N,N,N,O,O,O,O",148,37,43
MOF_ADAQEB01,ADAQEB01,Cu+Cu,"6,1","N,N,N,O,O,O,O",148,37,43
MOF_ADAWOS,ADAWOS,Ag+Ag,"2,2","N,N,N,N",25,6,5
MOF_ADAXIP,ADAXIP,Cu+Cu,"5,5","N,N,N,N,O,O,O,O,O,O",148,55,50
MOF_ADECAQ,ADECAQ,Zn+Zn,"6,6","N,N,O,O,O,O,O,O,O,O,O,O",45,19,15
MOF_ADEFAS,ADEFAS,Cu+Cu,"5,5","N,N,N,N,N,N,N,N,O,O",148,51,56
MOF_ADEFEW,ADEFEW,Cu+Cu,"5,5","N,N,N,N,N,N,N,N,O,O",148,51,56
MOF_ADEFOG,ADEFOG,Cu+Cu,"5,5","N,N,N,N,N,N,N,N,O,O",148,51,56
MOF_ADEGEY,ADEGEY,Cd+Cd,"7,7","Cl,Cl,O,O,O,O,O,O,O,O,O,O,O,O",17,3,8
MOF_ADEGOG,ADEGOG,Zn+Zn,"6,1","N,N,N,O,O,O,O",45,20,12
MOF_ADEJEA,ADEJEA,Cu+Cu+Cu,"5,5,1","N,N,N,O,O,O,O,O,O,O,O",23,9,10
