subtask,method,pool_id,n_candidates,n_positives,n_negatives,top1_correct,top1_score,top5_has_correct
A_same_metal_cn,L3_only,MOF_ABIYUJ,13,5,8,True,1.0,True
A_same_metal_cn,L3_only,MOF_ABOCUP,12,8,1,False,0.0,True
A_same_metal_cn,L3_only,MOF_ABOSIX,58,9,28,False,0.0,True
A_same_metal_cn,L3_only,MOF_ABOTUG01,27,13,2,True,1.0,True
A_same_metal_cn,L3_only,MOF_ABOTUG03,27,1,14,False,0.0,False
A_same_metal_cn,L3_only,MOF_ABOWIA,57,23,22,True,1.0,True
A_same_metal_cn,L3_only,MOF_ABULUG,8,4,3,True,1.0,True
A_same_metal_cn,L3_only,MOF_ACAKEX,12,8,1,True,0.0,True
A_same_metal_cn,L3_only,MOF_ACBACU,58,35,15,False,0.0,True
A_same_metal_cn,L3_only,MOF_ACEDUJ,12,6,1,True,1.0,True
A_same_metal_cn,L3_only,MOF_ACEKOK,8,4,3,True,1.0,True
A_same_metal_cn,L3_only,MOF_ACELIF,27,12,4,True,1.0,True
A_same_metal_cn,L3_only,MOF_ACEPAD,27,6,10,False,0.0,True
A_same_metal_cn,L3_only,MOF_ACEPIH,12,6,1,True,1.0,True
A_same_metal_cn,L3_only,MOF_ACESAG,8,4,3,True,1.0,True
A_same_metal_cn,L3_only,MOF_ACIJAX,12,10,1,True,1.0,True
A_same_metal_cn,L3_only,MOF_ACIQIN,24,14,2,True,0.0,True
A_same_metal_cn,L3_only,MOF_ACISEM,57,25,22,True,1.0,True
A_same_metal_cn,L3_only,MOF_ACISOW,13,4,7,False,0.0,True
A_same_metal_cn,L3_only,MOF_ACITAK,8,2,5,True,0.0,True
A_same_metal_cn,L3_only,MOF_ACITOV,5,2,3,True,1.0,True
A_same_metal_cn,L3_only,MOF_ACIYER,7,4,1,True,0.0,True
A_same_metal_cn,L3_only,MOF_ACIYER01,7,4,1,True,0.0,True
A_same_metal_cn,L3_only,MOF_ACIYER02,7,4,1,True,0.0,True
A_same_metal_cn,L3_only,MOF_ACIYER07,7,4,1,False,0.0,True
A_same_metal_cn,L3_only,MOF_ACIYIV,7,4,1,False,0.0,True
A_same_metal_cn,L3_only,MOF_ACUFUR,12,6,1,True,1.0,True
A_same_metal_cn,L3_only,MOF_ACUFUR01,12,6,1,True,1.0,True
A_same_metal_cn,L3_only,MOF_ACUQEX,23,3,8,False,0.0,False
A_same_metal_cn,L3_only,MOF_ACUQUO,24,7,3,False,0.0,True
A_same_metal_cn,L3_only,MOF_ADAXIP,58,35,14,True,1.0,True
A_same_metal_cn,L3_only,MOF_ADEFAS,58,27,19,True,1.0,True
A_same_metal_cn,L3_only,MOF_ADEFEW,58,27,19,True,1.0,True
A_same_metal_cn,L3_only,MOF_ADEFOG,58,27,19,True,1.0,True
A_same_metal_cn,random_same_donor,MOF_ABAXIN,23,14,4,True,0.9997,True
A_same_metal_cn,random_same_donor,MOF_ABAXUZ,23,15,4,False,0.9711,True
A_same_metal_cn,random_same_donor,MOF_ABAYAG,23,15,4,False,0.972,True
A_same_metal_cn,random_same_donor,MOF_ABAZAF,23,16,2,True,0.8573,True
A_same_metal_cn,random_same_donor,MOF_ABETEJ,58,23,23,False,0.9571,True
A_same_metal_cn,random_same_donor,MOF_ABEWEN,7,1,5,False,0.7227,True
A_same_metal_cn,random_same_donor,MOF_ABIXIU,58,35,14,False,0.9793,True
A_same_metal_cn,random_same_donor,MOF_ABIYUJ,13,5,8,False,0.9842,False
A_same_metal_cn,random_same_donor,MOF_ABOCUP,12,8,1,False,0.9059,True
A_same_metal_cn,random_same_donor,MOF_ABOSIX,58,9,28,False,0.9761,False
A_same_metal_cn,random_same_donor,MOF_ABOTUG01,27,13,2,True,0.8984,True
A_same_metal_cn,random_same_donor,MOF_ABOTUG03,27,1,14,False,0.9608,False
A_same_metal_cn,random_same_donor,MOF_ABOWIA,57,23,22,True,0.9974,True
A_same_metal_cn,random_same_donor,MOF_ABULUG,8,4,3,True,0.9226,True
A_same_metal_cn,random_same_donor,MOF_ACAKEX,12,8,1,True,0.8945,True
A_same_metal_cn,random_same_donor,MOF_ACBACU,58,35,15,False,0.9927,True
A_same_metal_cn,random_same_donor,MOF_ACEDUJ,12,6,1,False,0.978,True
A_same_metal_cn,random_same_donor,MOF_ACEKOK,8,4,3,False,0.8924,True
A_same_metal_cn,random_same_donor,MOF_ACELIF,27,12,4,True,0.9221,True
A_same_metal_cn,random_same_donor,MOF_ACEPAD,27,6,10,False,0.9863,False
A_same_metal_cn,random_same_donor,MOF_ACEPIH,12,6,1,True,0.9957,True
A_same_metal_cn,random_same_donor,MOF_ACESAG,8,4,3,False,0.8669,True
A_same_metal_cn,random_same_donor,MOF_ACIJAX,12,10,1,True,0.9584,True
A_same_metal_cn,random_same_donor,MOF_ACIQIN,24,14,2,True,0.9155,True
A_same_metal_cn,random_same_donor,MOF_ACISEM,57,25,22,False,0.9643,True
A_same_metal_cn,random_same_donor,MOF_ACISOW,13,4,7,True,0.9684,True
A_same_metal_cn,random_same_donor,MOF_ACITAK,8,2,5,False,0.91,True
A_same_metal_cn,random_same_donor,MOF_ACITOV,5,2,3,True,0.9,True
A_same_metal_cn,random_same_donor,MOF_ACIYER,7,4,1,True,0.9585,True
A_same_metal_cn,random_same_donor,MOF_ACIYER01,7,4,1,True,0.9937,True
A_same_metal_cn,random_same_donor,MOF_ACIYER02,7,4,1,False,0.8607,True
A_same_metal_cn,random_same_donor,MOF_ACIYER07,7,4,1,True,0.9302,True
A_same_metal_cn,random_same_donor,MOF_ACIYIV,7,4,1,False,0.8339,True
