refcode,metal_count,metals,candidate_type,bridge_count,bridge_types,has_mu2,has_mu3,has_mu4_or_higher,has_metal_metal_contact,has_direct_MM_bond,local_CNs,local_shapes,parse_valid,roundtrip_valid,metal_order_invariant,atom_order_invariant,ligand_order_invariant,bridge_consistency_valid,local_sphere_consistency_valid,L0_present,L1_present,L2_present,L3_present,record_generated,failure_stage,failure_reason,manual_audit_priority
PAGHOW,4,Fe+Fe+Pd+Pd,multi,0,,False,False,False,False,False,"0,0,4,4",",,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
YUWJUZ,4,Cu+Cu+Cu+Cu,multi,0,,False,False,False,False,False,"6,6,6,6",",,,",True,False,False,False,False,True,True,True,True,True,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,high
GURGOQ,2,Ni+Ni,multi,0,,False,False,False,False,False,"4,4",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
TIXGAK,4,Fe+Fe+Fe+Fe,multi,0,,False,False,False,False,False,"6,6,6,6",",,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
MEQXEO,21,Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Cd+Co+Co+Co+Co+Co+Co+Co+Co+Co+Co+Ni+Ni,multi,0,,False,False,False,False,False,,,,,,,,,,,,,,False,metal_count,too_many_metals_21,medium
OWUZUD,7,Ag+Ag+Ag+Ag+Ag+Zn+Zn,multi,0,,False,False,False,False,False,"1,2,2,2,2,4,4",",,,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
SERBIB,7,Mn+Pd+Pd+Pd+Pd+Pd+Pd,multi,0,,False,False,False,False,False,"3,4,4,4,4,4,4",",,,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
MUVLIC,8,Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu,multi,0,,False,False,False,False,False,"2,2,2,2,2,2,6,6",",,,,,,,",True,False,False,False,False,True,True,True,True,True,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,high
ISAROK,6,Ag+Ag+Ag+Ag+Ag+Ag,multi,0,,False,False,False,False,False,"1,1,3,3,3,3",",,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
HOYWID,2,Cu+Cu,multi,0,,False,False,False,False,False,"1,5",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
WENJEE02,2,Cu+Cu,multi,0,,False,False,False,False,False,"1,3",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
ZAJCAO,2,Zn+Zn,multi,0,,False,False,False,False,False,"4,4",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
VUZDEC,9,Zr+Zr+Zr+Zr+Zr+Zr+Zr+Zr+Zr,multi,0,,False,False,False,False,False,"1,1,1,1,3,3,8,8,8",",,,,,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
HITTEK,2,Mn+Mn,multi,0,,False,False,False,False,False,"6,6",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
GUDHOF,3,Co+Co+Co,multi,0,,False,False,False,False,False,"6,6,6",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
PIQTUI,12,Y+Y+Y+Y+Y+Y+Y+Y+Y+Y+Y+Y,multi,0,,False,False,False,False,False,"1,1,1,1,1,1,4,5,5,9,9,9",",,,,,,,,,,,",True,False,False,False,False,True,True,True,True,True,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,high
OMIJOJ,6,Ru+Ru+Ru+Ru+Ru+Ru,multi,0,,False,False,False,False,False,"6,6,7,7,7,7",",,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
VEQZID,2,Cu+Cu,multi,0,,False,False,False,False,False,"5,5",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
ILOKIE,2,Cu+Cu,multi,0,,False,False,False,False,False,"5,5",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
LUDPOT,4,Fe+Fe+Ni+Ni,multi,0,,False,False,False,False,False,"0,0,4,4",",,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
CURPEL,2,Rh+Rh,multi,0,,False,False,False,False,False,"4,4",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
DEMZUR,2,Pt+Pt,multi,0,,False,False,False,False,False,"4,4",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
ZEKRAM,2,Fe+Fe,multi,0,,False,False,False,False,False,"5,5",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
ADODEC,3,V+V+V,multi,0,,False,False,False,False,False,"2,6,6",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
BAVFOV,2,Cu+Cu,multi,0,,False,False,False,False,False,"5,5",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
PAPPAB07,20,Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu,multi,0,,False,False,False,False,False,,,,,,,,,,,,,,False,metal_count,too_many_metals_20,medium
NOQXOI,3,Fe+Fe+Pd,multi,0,,False,False,False,False,False,"0,0,4",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
DOWTOC,20,Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu,multi,0,,False,False,False,False,False,,,,,,,,,,,,,,False,metal_count,too_many_metals_20,medium
DIDCIF,2,Fe+Fe,multi,0,,False,False,False,False,False,"6,6",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
TUZTAN,7,Ag+Ag+Ag+Ag+Ag+Ag+Co,multi,0,,False,False,False,False,False,"1,1,2,2,4,4,6",",,,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
PONJAE,4,Ru+Ru+Ru+Ru,multi,0,,False,False,False,False,False,"7,7,8,9",",,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
DUQSUE,3,Cd+Cd+Cd,multi,0,,False,False,False,False,False,"1,1,6",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
LOCWEH23,3,Fe+Fe+Fe,multi,0,,False,False,False,False,False,"1,1,6",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
SITTUK,4,Fe+Fe+Ir+Ir,multi,0,,False,False,False,False,False,"3,3,6,6",",,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
FODTID01,2,Co+Co,multi,0,,False,False,False,False,False,"1,6",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
OHOSOT,2,Pd+Pd,multi,0,,False,False,False,False,False,"4,4",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
WUGJAK,3,Fe+Fe+Fe,multi,0,,False,False,False,False,False,"1,1,6",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
QAMROO,2,Cu+Cu,multi,0,,False,False,False,False,False,"5,6",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
QAXRUD,2,Cu+Cu,multi,0,,False,False,False,False,False,"5,5",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
RIZNIA,46,Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W,multi,0,,False,False,False,False,False,,,,,,,,,,,,,,False,metal_count,too_many_metals_46,medium
XELYUL,4,La+La+La+La,multi,0,,False,False,False,False,False,"1,1,2,7",",,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
FUPSUF,4,Cu+Cu+Cu+Cu,multi,0,,False,False,False,False,False,"5,5,5,5",",,,",True,False,False,False,False,True,True,True,True,True,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,high
ZENGAD,2,La+La,multi,0,,False,False,False,False,False,"9,9",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
CADYEN,44,Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+Ag+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W,multi,0,,False,False,False,False,False,,,,,,,,,,,,,,False,metal_count,too_many_metals_44,medium
IFUTIO,4,Fe+Fe+Fe+Fe,multi,0,,False,False,False,False,False,"6,6,6,6",",,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
SOXPOK,2,Mn+Mn,multi,0,,False,False,False,False,False,"6,6",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
HERJAS,12,Zr+Zr+Zr+Zr+Zr+Zr+Zr+Zr+Zr+Zr+Zr+Zr,multi,0,,False,False,False,False,False,"1,1,1,1,1,1,3,3,4,8,8,8",",,,,,,,,,,,",True,False,False,False,False,True,True,True,True,True,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,high
KIVXEW14,10,Zn+Zn+Zn+Zn+Zn+Zn+Zn+Zn+Zn+Zn,multi,0,,False,False,False,False,False,"1,1,1,1,1,1,4,4,4,4",",,,,,,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
