refcode,metal,haptic_class,eta_values_detected,site_types,n_sites,contains_eta2,contains_eta3,contains_eta4,contains_eta5,contains_eta6,contains_mixed_eta_eta1,CNsite,eta_sum,parse_valid,roundtrip_valid,atom_order_invariant,site_atom_order_invariant,ligand_order_invariant,site_detection_valid,eta_assignment_valid,centroid_serialization_valid,L0_present,L1_present,L2_present,L3_present,record_generated,failure_stage,failure_reason,manual_audit_priority
DUBCUY,Mo,eta1,"1,1,1,1,1,1,1",atom,9,False,False,False,False,False,False,9,9,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
NUFXUJ,Ir,eta1,"1,1,1,1",atom,6,False,False,False,False,False,False,6,6,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
WOVZUF,Rh,eta1,"1,1,1,1",atom,5,False,False,False,False,False,False,5,5,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
WORGUH,Ir,eta1,"1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
HALVUP,Ir,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
HOJWUY,Y,eta1,"1,1,1,1,1,1,1,1,1,1",atom,12,False,False,False,False,False,False,12,12,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
AXIBOA,Zr,eta1,"1,1,1,1,1,1,1,1,1,1",atom,12,False,False,False,False,False,False,12,12,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
DOCRUJ,Nb,eta1,"1,1,1,1,1,1,1,1,1,1,1",atom,12,False,False,False,False,False,False,12,12,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
JOXHOT,W,eta1,"1,1",atom,7,False,False,False,False,False,False,7,7,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
FUVHAF,Re,eta1,1,atom,5,False,False,False,False,False,False,5,5,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
QOZTEF,Rh,eta1,"1,1,1,1",atom,6,False,False,False,False,False,False,6,6,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
HIDTIX,Mn,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
QOKBEX,Fe,eta1,"1,1,1,1,1",atom,8,False,False,False,False,False,False,8,8,True,True,True,True,True,True,True,True,True,True,True,True,True,,,low
