cn,scope,threshold_delta_s,operator,criterion,is_default_threshold,n_total,n_satisfying,fraction_satisfying,percent_satisfying
4,CN4,1.32,<,S_second - S_best < threshold_delta_s,False,16682,46,0.0027574631339167964,0.27574631339167965
4,CN4,1.33,<,S_second - S_best < threshold_delta_s,False,16682,46,0.0027574631339167964,0.27574631339167965
4,CN4,1.34,<,S_second - S_best < threshold_delta_s,False,16682,46,0.0027574631339167964,0.27574631339167965
4,CN4,1.35,<,S_second - S_best < threshold_delta_s,False,16682,46,0.0027574631339167964,0.27574631339167965
4,CN4,1.36,<,S_second - S_best < threshold_delta_s,False,16682,47,0.0028174079846541183,0.28174079846541183
4,CN4,1.37,<,S_second - S_best < threshold_delta_s,False,16682,48,0.0028773528353914397,0.28773528353914396
4,CN4,1.38,<,S_second - S_best < threshold_delta_s,False,16682,48,0.0028773528353914397,0.28773528353914396
4,CN4,1.39,<,S_second - S_best < threshold_delta_s,False,16682,49,0.0029372976861287616,0.29372976861287614
4,CN4,1.40,<,S_second - S_best < threshold_delta_s,False,16682,50,0.002997242536866083,0.2997242536866083
4,CN4,1.41,<,S_second - S_best < threshold_delta_s,False,16682,50,0.002997242536866083,0.2997242536866083
4,CN4,1.42,<,S_second - S_best < threshold_delta_s,False,16682,50,0.002997242536866083,0.2997242536866083
4,CN4,1.43,<,S_second - S_best < threshold_delta_s,False,16682,50,0.002997242536866083,0.2997242536866083
4,CN4,1.44,<,S_second - S_best < threshold_delta_s,False,16682,50,0.002997242536866083,0.2997242536866083
4,CN4,1.45,<,S_second - S_best < threshold_delta_s,False,16682,51,0.003057187387603405,0.3057187387603405
4,CN4,1.46,<,S_second - S_best < threshold_delta_s,False,16682,51,0.003057187387603405,0.3057187387603405
4,CN4,1.47,<,S_second - S_best < threshold_delta_s,False,16682,51,0.003057187387603405,0.3057187387603405
4,CN4,1.48,<,S_second - S_best < threshold_delta_s,False,16682,51,0.003057187387603405,0.3057187387603405
4,CN4,1.49,<,S_second - S_best < threshold_delta_s,False,16682,51,0.003057187387603405,0.3057187387603405
4,CN4,1.50,<,S_second - S_best < threshold_delta_s,False,16682,51,0.003057187387603405,0.3057187387603405
4,CN4,1.51,<,S_second - S_best < threshold_delta_s,False,16682,51,0.003057187387603405,0.3057187387603405
4,CN4,1.52,<,S_second - S_best < threshold_delta_s,False,16682,51,0.003057187387603405,0.3057187387603405
4,CN4,1.53,<,S_second - S_best < threshold_delta_s,False,16682,51,0.003057187387603405,0.3057187387603405
4,CN4,1.54,<,S_second - S_best < threshold_delta_s,False,16682,53,0.0031770770890780483,0.3177077089078048
4,CN4,1.55,<,S_second - S_best < threshold_delta_s,False,16682,53,0.0031770770890780483,0.3177077089078048
4,CN4,1.56,<,S_second - S_best < threshold_delta_s,False,16682,54,0.0032370219398153697,0.323702193981537
4,CN4,1.57,<,S_second - S_best < threshold_delta_s,False,16682,55,0.0032969667905526916,0.32969667905526917
4,CN4,1.58,<,S_second - S_best < threshold_delta_s,False,16682,55,0.0032969667905526916,0.32969667905526917
4,CN4,1.59,<,S_second - S_best < threshold_delta_s,False,16682,56,0.003356911641290013,0.3356911641290013
4,CN4,1.60,<,S_second - S_best < threshold_delta_s,False,16682,57,0.003416856492027335,0.3416856492027335
4,CN4,1.61,<,S_second - S_best < threshold_delta_s,False,16682,57,0.003416856492027335,0.3416856492027335
4,CN4,1.62,<,S_second - S_best < threshold_delta_s,False,16682,57,0.003416856492027335,0.3416856492027335
4,CN4,1.63,<,S_second - S_best < threshold_delta_s,False,16682,57,0.003416856492027335,0.3416856492027335
4,CN4,1.64,<,S_second - S_best < threshold_delta_s,False,16682,58,0.0034768013427646564,0.34768013427646566
4,CN4,1.65,<,S_second - S_best < threshold_delta_s,False,16682,58,0.0034768013427646564,0.34768013427646566
4,CN4,1.66,<,S_second - S_best < threshold_delta_s,False,16682,58,0.0034768013427646564,0.34768013427646566
4,CN4,1.67,<,S_second - S_best < threshold_delta_s,False,16682,58,0.0034768013427646564,0.34768013427646566
4,CN4,1.68,<,S_second - S_best < threshold_delta_s,False,16682,58,0.0034768013427646564,0.34768013427646566
4,CN4,1.69,<,S_second - S_best < threshold_delta_s,False,16682,58,0.0034768013427646564,0.34768013427646566
4,CN4,1.70,<,S_second - S_best < threshold_delta_s,False,16682,58,0.0034768013427646564,0.34768013427646566
4,CN4,1.71,<,S_second - S_best < threshold_delta_s,False,16682,58,0.0034768013427646564,0.34768013427646566
4,CN4,1.72,<,S_second - S_best < threshold_delta_s,False,16682,58,0.0034768013427646564,0.34768013427646566
4,CN4,1.73,<,S_second - S_best < threshold_delta_s,False,16682,58,0.0034768013427646564,0.34768013427646566
4,CN4,1.74,<,S_second - S_best < threshold_delta_s,False,16682,60,0.0035966910442392997,0.35966910442392996
4,CN4,1.75,<,S_second - S_best < threshold_delta_s,False,16682,60,0.0035966910442392997,0.35966910442392996
4,CN4,1.76,<,S_second - S_best < threshold_delta_s,False,16682,60,0.0035966910442392997,0.35966910442392996
4,CN4,1.77,<,S_second - S_best < threshold_delta_s,False,16682,60,0.0035966910442392997,0.35966910442392996
4,CN4,1.78,<,S_second - S_best < threshold_delta_s,False,16682,60,0.0035966910442392997,0.35966910442392996
4,CN4,1.79,<,S_second - S_best < threshold_delta_s,False,16682,60,0.0035966910442392997,0.35966910442392996
4,CN4,1.80,<,S_second - S_best < threshold_delta_s,False,16682,60,0.0035966910442392997,0.35966910442392996
4,CN4,1.81,<,S_second - S_best < threshold_delta_s,False,16682,60,0.0035966910442392997,0.35966910442392996
4,CN4,1.82,<,S_second - S_best < threshold_delta_s,False,16682,60,0.0035966910442392997,0.35966910442392996
4,CN4,1.83,<,S_second - S_best < threshold_delta_s,False,16682,60,0.0035966910442392997,0.35966910442392996
4,CN4,1.84,<,S_second - S_best < threshold_delta_s,False,16682,60,0.0035966910442392997,0.35966910442392996
4,CN4,1.85,<,S_second - S_best < threshold_delta_s,False,16682,61,0.0036566358949766216,0.36566358949766214
4,CN4,1.86,<,S_second - S_best < threshold_delta_s,False,16682,61,0.0036566358949766216,0.36566358949766214
4,CN4,1.87,<,S_second - S_best < threshold_delta_s,False,16682,61,0.0036566358949766216,0.36566358949766214
4,CN4,1.88,<,S_second - S_best < threshold_delta_s,False,16682,61,0.0036566358949766216,0.36566358949766214
4,CN4,1.89,<,S_second - S_best < threshold_delta_s,False,16682,62,0.003716580745713943,0.3716580745713943
4,CN4,1.90,<,S_second - S_best < threshold_delta_s,False,16682,62,0.003716580745713943,0.3716580745713943
4,CN4,1.91,<,S_second - S_best < threshold_delta_s,False,16682,63,0.003776525596451265,0.3776525596451265
4,CN4,1.92,<,S_second - S_best < threshold_delta_s,False,16682,63,0.003776525596451265,0.3776525596451265
4,CN4,1.93,<,S_second - S_best < threshold_delta_s,False,16682,63,0.003776525596451265,0.3776525596451265
4,CN4,1.94,<,S_second - S_best < threshold_delta_s,False,16682,63,0.003776525596451265,0.3776525596451265
4,CN4,1.95,<,S_second - S_best < threshold_delta_s,False,16682,63,0.003776525596451265,0.3776525596451265
4,CN4,1.96,<,S_second - S_best < threshold_delta_s,False,16682,63,0.003776525596451265,0.3776525596451265
4,CN4,1.97,<,S_second - S_best < threshold_delta_s,False,16682,63,0.003776525596451265,0.3776525596451265
4,CN4,1.98,<,S_second - S_best < threshold_delta_s,False,16682,63,0.003776525596451265,0.3776525596451265
4,CN4,1.99,<,S_second - S_best < threshold_delta_s,False,16682,64,0.0038364704471885863,0.38364704471885863
4,CN4,2.00,<,S_second - S_best < threshold_delta_s,False,16682,65,0.003896415297925908,0.3896415297925908
4,CN4,2.01,<,S_second - S_best < threshold_delta_s,False,16682,65,0.003896415297925908,0.3896415297925908
4,CN4,2.02,<,S_second - S_best < threshold_delta_s,False,16682,65,0.003896415297925908,0.3896415297925908
4,CN4,2.03,<,S_second - S_best < threshold_delta_s,False,16682,65,0.003896415297925908,0.3896415297925908
4,CN4,2.04,<,S_second - S_best < threshold_delta_s,False,16682,65,0.003896415297925908,0.3896415297925908
4,CN4,2.05,<,S_second - S_best < threshold_delta_s,False,16682,65,0.003896415297925908,0.3896415297925908
4,CN4,2.06,<,S_second - S_best < threshold_delta_s,False,16682,65,0.003896415297925908,0.3896415297925908
4,CN4,2.07,<,S_second - S_best < threshold_delta_s,False,16682,65,0.003896415297925908,0.3896415297925908
4,CN4,2.08,<,S_second - S_best < threshold_delta_s,False,16682,67,0.004016304999400551,0.4016304999400552
4,CN4,2.09,<,S_second - S_best < threshold_delta_s,False,16682,67,0.004016304999400551,0.4016304999400552
4,CN4,2.10,<,S_second - S_best < threshold_delta_s,False,16682,67,0.004016304999400551,0.4016304999400552
4,CN4,2.11,<,S_second - S_best < threshold_delta_s,False,16682,67,0.004016304999400551,0.4016304999400552
4,CN4,2.12,<,S_second - S_best < threshold_delta_s,False,16682,67,0.004016304999400551,0.4016304999400552
4,CN4,2.13,<,S_second - S_best < threshold_delta_s,False,16682,67,0.004016304999400551,0.4016304999400552
4,CN4,2.14,<,S_second - S_best < threshold_delta_s,False,16682,67,0.004016304999400551,0.4016304999400552
4,CN4,2.15,<,S_second - S_best < threshold_delta_s,False,16682,67,0.004016304999400551,0.4016304999400552
4,CN4,2.16,<,S_second - S_best < threshold_delta_s,False,16682,67,0.004016304999400551,0.4016304999400552
4,CN4,2.17,<,S_second - S_best < threshold_delta_s,False,16682,67,0.004016304999400551,0.4016304999400552
4,CN4,2.18,<,S_second - S_best < threshold_delta_s,False,16682,67,0.004016304999400551,0.4016304999400552
4,CN4,2.19,<,S_second - S_best < threshold_delta_s,False,16682,67,0.004016304999400551,0.4016304999400552
4,CN4,2.20,<,S_second - S_best < threshold_delta_s,False,16682,68,0.004076249850137873,0.4076249850137873
4,CN4,2.21,<,S_second - S_best < threshold_delta_s,False,16682,68,0.004076249850137873,0.4076249850137873
4,CN4,2.22,<,S_second - S_best < threshold_delta_s,False,16682,68,0.004076249850137873,0.4076249850137873
4,CN4,2.23,<,S_second - S_best < threshold_delta_s,False,16682,70,0.004196139551612517,0.41961395516125166
4,CN4,2.24,<,S_second - S_best < threshold_delta_s,False,16682,70,0.004196139551612517,0.41961395516125166
4,CN4,2.25,<,S_second - S_best < threshold_delta_s,False,16682,71,0.004256084402349838,0.42560844023498384
4,CN4,2.26,<,S_second - S_best < threshold_delta_s,False,16682,72,0.00431602925308716,0.43160292530871597
4,CN4,2.27,<,S_second - S_best < threshold_delta_s,False,16682,72,0.00431602925308716,0.43160292530871597
4,CN4,2.28,<,S_second - S_best < threshold_delta_s,False,16682,72,0.00431602925308716,0.43160292530871597
4,CN4,2.29,<,S_second - S_best < threshold_delta_s,False,16682,72,0.00431602925308716,0.43160292530871597
4,CN4,2.30,<,S_second - S_best < threshold_delta_s,False,16682,72,0.00431602925308716,0.43160292530871597
4,CN4,2.31,<,S_second - S_best < threshold_delta_s,False,16682,72,0.00431602925308716,0.43160292530871597
4,CN4,2.32,<,S_second - S_best < threshold_delta_s,False,16682,72,0.00431602925308716,0.43160292530871597
4,CN4,2.33,<,S_second - S_best < threshold_delta_s,False,16682,72,0.00431602925308716,0.43160292530871597
4,CN4,2.34,<,S_second - S_best < threshold_delta_s,False,16682,72,0.00431602925308716,0.43160292530871597
4,CN4,2.35,<,S_second - S_best < threshold_delta_s,False,16682,72,0.00431602925308716,0.43160292530871597
4,CN4,2.36,<,S_second - S_best < threshold_delta_s,False,16682,72,0.00431602925308716,0.43160292530871597
4,CN4,2.37,<,S_second - S_best < threshold_delta_s,False,16682,73,0.0043759741038244815,0.43759741038244815
4,CN4,2.38,<,S_second - S_best < threshold_delta_s,False,16682,74,0.004435918954561803,0.44359189545618033
4,CN4,2.39,<,S_second - S_best < threshold_delta_s,False,16682,74,0.004435918954561803,0.44359189545618033
4,CN4,2.40,<,S_second - S_best < threshold_delta_s,False,16682,74,0.004435918954561803,0.44359189545618033
4,CN4,2.41,<,S_second - S_best < threshold_delta_s,False,16682,74,0.004435918954561803,0.44359189545618033
4,CN4,2.42,<,S_second - S_best < threshold_delta_s,False,16682,74,0.004435918954561803,0.44359189545618033
