subset,model,fold,seed,target,n_graph_groups,n_pairs,n_member_records,true_abs_delta_mean,pair_delta_mae,pair_concordance_ties_half,pair_tie_fraction
S1,schnet_3d,3,33,hl_gap_ev,43,56,98,0.4714907176488929,0.47616981456962176,0.6785714285714286,0.0
S1,schnet_3d,4,11,dipole_moment,44,55,93,6.100592727272728,1.129034132232666,0.9818181818181818,0.0
S1,schnet_3d,4,11,hl_gap_ev,50,63,111,0.2286058793398889,0.213241975013055,0.7142857142857143,0.0
S1,schnet_3d,4,22,dipole_moment,44,55,93,6.100592727272728,1.1875124424466224,0.9818181818181818,0.0
S1,schnet_3d,4,22,hl_gap_ev,50,63,111,0.2286058793398889,0.2474093331701758,0.5396825396825397,0.0
S1,schnet_3d,4,33,dipole_moment,44,55,93,6.100592727272728,1.1652949408929998,0.9636363636363636,0.0
S1,schnet_3d,4,33,hl_gap_ev,50,63,111,0.2286058793398889,0.2507472786752396,0.49206349206349204,0.0
S2,schnet_3d,0,11,dipole_moment,23,32,55,3.20031875,0.5594866050958636,0.96875,0.0
S2,schnet_3d,0,11,hl_gap_ev,24,42,57,0.19942706667564286,0.18264658292985247,0.7380952380952381,0.0
S2,schnet_3d,0,22,dipole_moment,23,32,55,3.20031875,0.6300707439422608,0.9375,0.0
S2,schnet_3d,0,22,hl_gap_ev,24,42,57,0.19942706667564286,0.21508202190884176,0.5476190476190477,0.0
S2,schnet_3d,0,33,dipole_moment,23,32,55,3.20031875,0.37412981374263765,1.0,0.0
S2,schnet_3d,0,33,hl_gap_ev,24,42,57,0.19942706667564286,0.221080860947152,0.35714285714285715,0.0
S2,schnet_3d,1,11,dipole_moment,30,48,75,2.780972916666667,0.8436763067642848,0.9583333333333334,0.0
S2,schnet_3d,1,11,hl_gap_ev,30,47,76,0.24859048749872342,0.18725699004872062,0.7659574468085106,0.0
S2,schnet_3d,1,22,dipole_moment,30,48,75,2.780972916666667,0.8008289672613141,0.9791666666666666,0.0
S2,schnet_3d,1,22,hl_gap_ev,30,47,76,0.24859048749872342,0.27674294703592994,0.5106382978723404,0.0
S2,schnet_3d,1,33,dipole_moment,30,48,75,2.780972916666667,0.9816525864680611,1.0,0.0
S2,schnet_3d,1,33,hl_gap_ev,30,47,76,0.24859048749872342,0.279034752785353,0.5319148936170213,0.0
S2,schnet_3d,2,11,dipole_moment,24,37,58,3.4252,0.5998960062078528,0.972972972972973,0.0
S2,schnet_3d,2,11,hl_gap_ev,26,38,61,0.22823908258381584,0.364400458068153,0.5,0.0
S2,schnet_3d,2,22,dipole_moment,24,37,58,3.4252,0.7152991309397929,1.0,0.0
S2,schnet_3d,2,22,hl_gap_ev,26,38,61,0.22823908258381584,0.2791789017115491,0.5263157894736842,0.0
S2,schnet_3d,2,33,dipole_moment,24,37,58,3.4252,1.3744904208621465,0.8648648648648649,0.0
S2,schnet_3d,2,33,hl_gap_ev,26,38,61,0.22823908258381584,0.23846853016383582,0.6842105263157895,0.0
S2,schnet_3d,3,11,dipole_moment,22,23,45,3.5889260869565223,1.0129772753176478,0.9565217391304348,0.0
S2,schnet_3d,3,11,hl_gap_ev,26,29,55,0.30281581273462066,0.2613506079212052,0.7586206896551724,0.0
S2,schnet_3d,3,22,dipole_moment,22,23,45,3.5889260869565223,1.0708537949271824,0.9565217391304348,0.0
S2,schnet_3d,3,22,hl_gap_ev,26,29,55,0.30281581273462066,0.30580585351762973,0.4827586206896552,0.0
S2,schnet_3d,3,33,dipole_moment,22,23,45,3.5889260869565223,0.6851952648992123,1.0,0.0
S2,schnet_3d,3,33,hl_gap_ev,26,29,55,0.30281581273462066,0.323035829342506,0.6206896551724138,0.0
S2,schnet_3d,4,11,dipole_moment,19,20,39,3.6083849999999997,1.3910436327552795,0.95,0.0
S2,schnet_3d,4,11,hl_gap_ev,32,41,73,0.22990302916119515,0.19792225844297293,0.7073170731707317,0.0
S2,schnet_3d,4,22,dipole_moment,19,20,39,3.6083849999999997,1.2929407505798345,0.95,0.0
S2,schnet_3d,4,22,hl_gap_ev,32,41,73,0.22990302916119515,0.20924394280149525,0.6829268292682927,0.0
S2,schnet_3d,4,33,dipole_moment,19,20,39,3.6083849999999997,1.2829764826202392,0.9,0.0
S2,schnet_3d,4,33,hl_gap_ev,32,41,73,0.22990302916119515,0.23407884640339252,0.5365853658536586,0.0
S3,schnet_3d,0,11,dipole_moment,6,6,12,1.856716666666667,0.6204772848129277,1.0,0.0
S3,schnet_3d,0,11,hl_gap_ev,5,18,15,0.18429667206938888,0.20002929015370252,0.7222222222222222,0.0
S3,schnet_3d,0,22,dipole_moment,6,6,12,1.856716666666667,0.6390507322311407,0.8333333333333334,0.0
S3,schnet_3d,0,22,hl_gap_ev,5,18,15,0.18429667206938888,0.20454165836726365,0.7222222222222222,0.0
S3,schnet_3d,0,33,dipole_moment,6,6,12,1.856716666666667,0.36324453010559027,1.0,0.0
S3,schnet_3d,0,33,hl_gap_ev,5,18,15,0.18429667206938888,0.27125472941997125,0.16666666666666666,0.0
