complex_id,metal,CN,metal_row,ranker_base_top1,ranker_base_mrr,ranker_base_win_rate,minphys_only_top1,minphys_only_mrr,minphys_only_win_rate,ranker_minphys_top1,ranker_minphys_mrr,ranker_minphys_win_rate,shuffled_minphys_top1,shuffled_minphys_mrr,shuffled_minphys_win_rate
tmqm_2837,Mo,6,4d,0,0.2,0.7143,0,0.0667,0.0,0,0.2,0.7143,0,0.1667,0.6429
tmqm_2591,Mo,6,4d,0,0.25,0.8,0,0.0714,0.1333,0,0.2,0.7333,0,0.2,0.7333
tmqm_6621,Os,9,5d,0,0.125,0.5333,0,0.0833,0.2667,0,0.1111,0.4667,0,0.125,0.5333
tmqm_5638,Ru,7,4d,0,0.25,0.8235,0,0.0625,0.1176,0,0.2,0.7647,0,0.1667,0.7059
tmqm_1378,V,6,3d,0,0.25,0.8235,0,0.0625,0.1176,0,0.1111,0.5294,0,0.1667,0.7059
tmqm_9000,Ir,7,5d,0,0.1111,0.5294,0,0.0769,0.2941,0,0.125,0.5882,0,0.125,0.5882
tmqm_8503,Ir,9,5d,0,0.1429,0.6471,0,0.0667,0.1765,0,0.1111,0.5294,0,0.1111,0.5294
tmqm_461,Zr,8,4d,0,0.2,0.7143,0,0.1,0.3571,0,0.125,0.5,0,0.1429,0.5714
tmqm_4551,Re,7,5d,0,0.1429,0.6,0,0.0625,0.0,0,0.125,0.5333,0,0.1429,0.6
tmqm_7322,Fe,10,3d,0,0.1667,0.7059,0,0.0667,0.1765,0,0.2,0.7647,0,0.2,0.7647
tmqm_8160,Ir,6,5d,0,0.125,0.5882,0,0.0625,0.1176,0,0.1111,0.5294,0,0.125,0.5882
tmqm_7983,Ru,6,4d,0,0.1667,0.7059,0,0.0833,0.3529,0,0.25,0.8235,0,0.3333,0.8824
tmqm_2610,Mo,9,4d,0,0.1429,0.5714,0,0.0667,0.0,0,0.1429,0.5714,0,0.2,0.7143
tmqm_1379,Ta,6,5d,0,0.2,0.7647,0,0.0588,0.0588,0,0.2,0.7647,0,0.1429,0.6471
tmqm_6933,Fe,5,3d,0,0.1111,0.4286,0,0.0667,0.0,0,0.1111,0.4286,0,0.1111,0.4286
tmqm_9513,Ir,6,5d,0,0.125,0.5,0,0.0714,0.0714,0,0.125,0.5,0,0.125,0.5
tmqm_3572,Mn,7,3d,0,0.5,0.9412,0,0.0588,0.0588,0,0.1429,0.6471,0,0.25,0.8235
tmqm_1376,V,8,3d,0,0.1429,0.6,0,0.0625,0.0,0,0.1667,0.6667,1,1.0,1.0
tmqm_6441,Fe,14,3d,0,0.1667,0.6154,0,0.0714,0.0,0,0.1667,0.6154,0,0.2,0.6923
tmqm_3414,Re,7,5d,0,0.3333,0.8824,0,0.0625,0.1176,0,0.2,0.7647,0,0.25,0.8235
tmqm_2180,Cr,6,3d,0,0.1667,0.6667,0,0.0625,0.0,0,0.1667,0.6667,0,0.2,0.7333
tmqm_9316,Ir,8,5d,0,0.125,0.5333,0,0.0909,0.3333,0,0.125,0.5333,0,0.125,0.5333
tmqm_761,Hf,6,5d,0,0.1429,0.6471,0,0.0667,0.1765,0,0.1111,0.5294,0,0.125,0.5882
tmqm_4779,Re,8,5d,0,0.2,0.7647,0,0.0625,0.1176,0,0.2,0.7647,0,0.2,0.7647
tmqm_9456,Ir,6,5d,0,0.0909,0.4118,0,0.0833,0.3529,0,0.0833,0.3529,0,0.0714,0.2353
tmqm_6581,Os,8,5d,0,0.1111,0.4286,0,0.0769,0.1429,0,0.125,0.5,0,0.1111,0.4286
tmqm_4745,Re,5,5d,0,0.1429,0.6,0,0.1,0.4,0,0.2,0.7333,0,0.25,0.8
tmqm_8823,Co,4,3d,0,0.0833,0.2143,0,0.0769,0.1429,0,0.0833,0.2143,0,0.0833,0.2143
tmqm_4174,Tc,6,4d,0,0.1667,0.7059,0,0.0714,0.2353,0,0.2,0.7647,0,0.25,0.8235
tmqm_6444,Fe,8,3d,0,0.125,0.5,0,0.0667,0.0,0,0.1667,0.6429,0,0.125,0.5
tmqm_1749,Nb,9,4d,0,0.1111,0.4667,0,0.0667,0.0667,0,0.1429,0.6,0,0.1429,0.6
tmqm_7533,Fe,6,3d,0,0.125,0.5882,0,0.0625,0.1176,0,0.1667,0.7059,0,0.125,0.5882
tmqm_466,Zr,10,4d,0,0.1429,0.5714,0,0.0833,0.2143,0,0.1429,0.5714,0,0.1667,0.6429
tmqm_3909,Mn,12,3d,0,0.2,0.75,0,0.0625,0.0625,0,0.125,0.5625,0,0.25,0.8125
tmqm_1366,Nb,7,4d,0,0.1111,0.4286,0,0.0833,0.2143,0,0.125,0.5,0,0.1,0.3571
tmqm_80,Y,3,4d,0,0.2,0.6923,0,0.1,0.3077,0,0.1429,0.5385,0,0.2,0.6923
tmqm_7526,Ru,7,4d,0,0.2,0.7647,0,0.0667,0.1765,0,0.1667,0.7059,0,0.25,0.8235
tmqm_942,Ti,11,3d,0,0.1429,0.6471,0,0.0588,0.0588,0,0.1429,0.6471,0,0.1429,0.6471
