refcode,metal,CN,S_SP,S_Td,log_S_SP,log_S_Td
VECPIE,Pt,4,15.8600,19.3500,1.2030,1.2889
REBLUH,Cu,4,3.0600,1.1100,0.4997,0.0828
UGODAW,Ni,4,10.9500,11.1900,1.0434,1.0527
YABXIK,Co,4,7.3400,15.4300,0.8716,1.1912
GIQGUK,Pd,4,7.7700,3.1800,0.8960,0.5159
WABGUE07,Pd,4,2.9300,0.1000,0.4814,-0.6990
NOGSOU,Os,4,5.1500,3.5900,0.7202,0.5670
MUTQOI,Zn,4,5.6900,1.6400,0.7627,0.2405
WABHAK,Cu,4,2.9600,0.0700,0.4857,-0.7696
BACHIX01,Cu,4,4.8500,0.7100,0.6946,-0.0915
ERAGUB,Pt,4,9.0900,2.9100,0.9633,0.4786
RECTIC,Pd,4,2.9700,0.1100,0.4871,-0.6778
REYYEZ,Rh,4,8.7800,3.0800,0.9484,0.5024
DUWMER,Ni,4,8.0800,2.8600,0.9128,0.4713
OTIYOH03,Pd,4,2.8800,0.0000,0.4742,-1.0000
PULCOO,Pd,4,2.8900,0.0100,0.4757,-0.9586
BOHKIW,Ni,4,2.6100,0.1600,0.4330,-0.5850
XUNZAK07,Cu,4,0.7900,0.6800,-0.0506,-0.1079
JIMCIS,Ni,4,2.9000,0.0200,0.4771,-0.9208
LIBNAO,Cu,4,3.2400,0.4600,0.5237,-0.2518
YAZQEW,Pd,4,9.3100,3.6100,0.9736,0.5694
SONXOM,Ni,4,3.1100,0.3900,0.5065,-0.3098
XOYMIL,Pt,4,7.7200,3.2000,0.8932,0.5185
UCONAD,Pd,4,3.0800,0.2400,0.5024,-0.4685
HUYYAD,Cu,4,3.7700,1.2900,0.5877,0.1430
MEDXEA,Cu,4,3.6100,1.2500,0.5694,0.1303
SINSOX05,Zn,4,3.2000,0.0100,0.5185,-0.9586
SOHSIT,Pd,4,9.0600,11.6700,0.9619,1.0708
WEGYOZ,Zn,4,3.5400,0.6300,0.5611,-0.1367
DENJUF,Pd,4,3.3600,0.6000,0.5391,-0.1549
PIXLOB,Pd,4,9.4000,12.3500,0.9777,1.0952
IXALUP,Pt,4,2.1000,0.5100,0.3424,-0.2147
RAXXIX,Pd,4,9.4800,13.1300,0.9814,1.1216
MIPQEJ,Ni,4,3.5900,1.5700,0.5670,0.2227
XAKGAR,Rh,4,5.8900,2.6500,0.7774,0.4393
NOVLAO,Zn,4,3.3000,0.4800,0.5315,-0.2366
FENZEH,Pt,4,3.1300,0.3200,0.5092,-0.3768
TUCJIN,Co,4,2.7700,0.0300,0.4579,-0.8861
WAJJEX,Cu,4,4.7100,1.7900,0.6821,0.2765
XUDLIS,Cu,4,5.6100,1.2700,0.7566,0.1367
AJIVEX,Pd,4,7.9000,3.1700,0.9031,0.5145
XARLAE,Pd,4,8.7300,2.9900,0.9460,0.4900
FOCSIA,Pt,4,7.6300,3.4700,0.8882,0.5527
SAHDUA,Pt,4,2.8800,0.0000,0.4742,-1.0000
QOYGUI,Ru,4,2.2800,1.2300,0.3766,0.1239
ROKHAC,Fe,4,4.6800,1.5500,0.6794,0.2175
FURREP,Pt,4,9.1300,3.0600,0.9652,0.4997
CMEPDA,Pd,4,8.7700,2.9200,0.9479,0.4800
RITCUW,Co,4,3.1500,0.4700,0.5119,-0.2441
LOGRUY,Ni,4,3.2500,1.2100,0.5250,0.1173
IPOQIP,Pd,4,8.2800,2.9100,0.9232,0.4786
MABRAK,Cu,4,7.8500,1.4300,0.9004,0.1847
ZETSUO,Pd,4,9.7800,3.2000,0.9948,0.5185
BUBFAG,Rh,4,3.1600,0.5500,0.5132,-0.1871
SAMHUK,Ni,4,7.8500,13.8800,0.9004,1.1455
HUSXEA,Pt,4,7.2500,3.3000,0.8663,0.5315
TIRKUD,Pt,4,3.3600,0.4900,0.5391,-0.2291
YEJMUW,Pd,4,9.0500,3.3200,0.9614,0.5340
NOBJIY,Ag,4,2.6200,0.0600,0.4346,-0.7959
OKOHAX,Pd,4,8.7500,3.0300,0.9469,0.4955
IKENAO,Pd,4,3.3000,0.4300,0.5315,-0.2757
CORSAG,Fe,4,2.4900,1.3600,0.4133,0.1644
QIJTAH,Co,4,1.4900,0.6200,0.2014,-0.1427
PUYVUC,Au,4,8.6300,2.8800,0.9410,0.4742
UKUXEE,Zn,4,1.7700,0.4900,0.2718,-0.2291
QANFEQ,Cu,4,7.5900,9.7500,0.8859,0.9934
DAGMUV01,Zn,4,9.0000,9.7300,0.9590,0.9926
RUBMUA,Cu,4,5.3200,1.8000,0.7340,0.2788
QAKJER,Ni,4,8.7800,2.8900,0.9484,0.4757
LIKBIS,Zn,4,0.8800,0.7400,-0.0088,-0.0757
EFUKEV,Cu,4,3.4700,1.1000,0.5527,0.0792
XIBSAE01,Cu,4,3.2900,0.5100,0.5302,-0.2147
APUDIA,Zn,4,1.9900,0.5600,0.3201,-0.1805
DIYVEQ01,Zn,4,5.5300,1.3600,0.7505,0.1644
OKOWOC02,Cd,4,2.9500,0.0100,0.4843,-0.9586
OVOHEO,Co,4,2.1700,1.9200,0.3560,0.3054
BELGOQ,Zn,4,12.5400,15.7600,1.1017,1.2003
TOWZUD,Pt,4,3.6900,1.0200,0.5786,0.0492
TIKTAM,Ni,4,8.1900,2.8700,0.9186,0.4728
ABAMIA,Pt,4,2.9100,0.0400,0.4786,-0.8539
DAVDEM,Pt,4,3.3000,0.5400,0.5315,-0.1938
VOPMET,Pt,4,3.0700,0.2400,0.5011,-0.4685
WELCOG,Pt,4,2.9500,0.0900,0.4843,-0.7212
WUTHOJ01,Cu,4,1.0100,0.4900,0.0453,-0.2291
LAMXON,Mo,4,3.3400,0.3900,0.5366,-0.3098
SATLAC,Zn,4,1.0100,5.2500,0.0453,0.7284
TUTLUR,Hg,4,9.3700,3.8700,0.9763,0.5988
HIDPUJ,Pd,4,10.9200,3.3600,1.0422,0.5391
QEWZOH,Pd,4,3.0300,0.1700,0.4955,-0.5686
MERYEN01,Cu,4,4.7700,0.3600,0.6875,-0.3372
NAPPIE01,Pd,4,7.9100,3.1100,0.9036,0.5065
BURNIO,Pt,4,3.1200,0.3000,0.5079,-0.3979
ZORNUR,Ni,4,9.1500,2.6500,0.9661,0.4393
QEPPUY,Cu,4,14.5600,4.6000,1.1661,0.6721
MAHNAM,Cu,4,8.9500,16.0700,0.9566,1.2087
TULFUE,Co,4,5.7800,0.6700,0.7694,-0.1135
WEMRUE,Cu,4,3.4900,0.0900,0.5551,-0.7212
VISGAI,Zn,4,4.5300,0.6800,0.6656,-0.1079
QUNXUT,Pd,4,8.3200,3.0400,0.9253,0.4969
NAPNOL,Pt,4,2.9500,0.1200,0.4843,-0.6576
QEGVAA,Rh,4,8.8300,2.9200,0.9509,0.4800
YUHPAS,Pt,4,2.8800,0.0000,0.4742,-1.0000
DEYVUZ,Pd,4,8.2500,2.9800,0.9217,0.4886
HUPZUN,Pt,4,7.9900,2.9400,0.9079,0.4829
ACACCU38,Cu,4,2.9500,0.0600,0.4843,-0.7959
MEWCUO,Fe,4,3.0400,0.0100,0.4969,-0.9586
MUBMOP,Zn,4,3.5400,0.0400,0.5611,-0.8539
WUFCIN,Pd,4,7.9300,3.0100,0.9047,0.4928
KODZEK,Pt,4,7.6700,3.0600,0.8904,0.4997
TIFLUT,Zn,4,4.9400,1.4500,0.7024,0.1903
SOCRIL,Zn,4,9.9800,6.3200,1.0035,0.8075
NIHPOK,Fe,4,3.0400,0.3600,0.4969,-0.3372
DOQNUU02,Pt,4,3.1400,0.3300,0.5105,-0.3665
BOGHAH,Cu,4,2.3000,0.2400,0.3802,-0.4685
FULHIH,Cu,4,13.4600,19.1000,1.1323,1.2833
RIWDOQ,Ni,4,2.9100,0.0400,0.4786,-0.8539
FAHCIE,Au,4,2.9700,0.1100,0.4871,-0.6778
OQIZEW02,Zn,4,2.8600,0.0000,0.4713,-1.0000
DOTMUV,Pt,4,8.5000,2.9600,0.9345,0.4857
JAMTUN,Ag,4,8.2100,7.4000,0.9196,0.8751
VUYFAA,Rh,4,3.4700,0.8000,0.5527,-0.0458
HADXET,Zn,4,3.2400,0.3200,0.5237,-0.3768
GOQYOA01,Ni,4,8.7700,21.5200,0.9479,1.3349
EHADUP,Co,4,17.6800,22.0000,1.2499,1.3444
OBUTIS,Cu,4,8.6600,9.6100,0.9425,0.9872
HOQDOK,Ni,4,9.0600,2.9700,0.9619,0.4871
QIBPAU,Ni,4,5.7200,3.0300,0.7649,0.4955
XEVLUG,Pd,4,9.1000,3.1800,0.9638,0.5159
MEDCII,Ni,4,2.8000,0.1300,0.4624,-0.6383
DOYTIV,Pd,4,7.9900,2.9000,0.9079,0.4771
OXIPOC,Y,4,22.2400,20.0800,1.3491,1.3049
BOJLUK01,Cu,4,2.9200,0.0400,0.4800,-0.8539
WUCXAT,Pd,4,8.3100,2.9900,0.9248,0.4900
VAVGOP,Ni,4,2.9000,0.0200,0.4771,-0.9208
EJUKAX,Pd,4,14.3400,9.3200,1.1596,0.9741
ZEZTEF,Pt,4,9.5400,3.1200,0.9841,0.5079
QICTII,Cu,4,3.9200,1.3100,0.6042,0.1492
VAWKUZ,Pd,4,14.0300,14.5800,1.1501,1.1667
SADGIN,Pt,4,8.6100,2.9100,0.9400,0.4786
EWAGIU,Pd,4,8.4200,3.0800,0.9304,0.5024
RUCKUW,Cu,4,3.2800,1.2500,0.5289,0.1303
ADABUF,Co,4,4.6400,0.9600,0.6758,0.0253
ZUVCEB,Pd,4,3.3100,0.5400,0.5328,-0.1938
BOSFEX,Pd,4,3.4500,0.7800,0.5502,-0.0555
YIMVUL,Pd,4,8.5600,2.8900,0.9375,0.4757
PIXJAL,Ni,4,2.9100,0.0200,0.4786,-0.9208
VACZIN,Ni,4,3.1200,0.3000,0.5079,-0.3979
YACLOF,Pt,4,3.3200,0.6300,0.5340,-0.1367
XEDCUG,Cu,4,3.2400,1.5400,0.5237,0.2148
GETFAN,Cu,4,5.6200,1.6000,0.7574,0.2304
UREWEW,Zn,4,2.8400,0.0200,0.4683,-0.9208
GEBZUI01,Ni,4,3.3100,0.5400,0.5328,-0.1938
EPEFIP,Co,4,12.8700,11.0700,1.1129,1.0481
