refcode,metal,CN,S_SP,S_Td,log_S_SP,log_S_Td
AMASOX01,Pt,4,9.4900,3.1700,0.9818,0.5145
TUHXON,Pt,4,8.3900,2.8900,0.9289,0.4757
SESDOJ,Pt,4,8.6700,3.0600,0.9430,0.4997
DIXZIU,Pd,4,3.1700,0.3400,0.5145,-0.3565
HICNAK,Cu,4,2.5300,1.9300,0.4200,0.3075
TELDUJ,Pd,4,3.1100,0.2500,0.5065,-0.4559
MOJHEC,Co,4,8.5700,2.8800,0.9380,0.4742
TILTAL,Au,4,4.8900,0.9700,0.6981,0.0294
LITZEW,Zn,4,5.3600,1.0700,0.7372,0.0682
JUQKOX,Ni,4,8.9000,3.4200,0.9542,0.5465
FAKWUK,Pt,4,8.6300,2.8800,0.9410,0.4742
WURSEH,Cu,4,9.5500,15.0000,0.9845,1.1790
ULULAP,Zn,4,3.3600,0.2800,0.5391,-0.4202
ISURUK,Cr,4,2.6700,2.5200,0.4425,0.4183
GAQHEP,Fe,4,2.7800,0.0100,0.4594,-0.9586
CIKXIE02,Pt,4,8.7000,2.8900,0.9445,0.4757
LERQUV,Pd,4,2.9100,0.0700,0.4786,-0.7696
WAKSEH,Ni,4,4.1500,0.6500,0.6284,-0.1249
MEGTUO,Zn,4,1.8700,0.4200,0.2945,-0.2840
YOYKOM,Pd,4,8.9100,13.4300,0.9547,1.1313
PUXGUN,Au,4,9.0400,2.9900,0.9609,0.4900
BUCGOX,Pd,4,10.1600,3.2000,1.0111,0.5185
XASTIW,Ni,4,3.1300,0.2800,0.5092,-0.4202
BACYOU,Cu,4,0.8200,0.6600,-0.0362,-0.1192
QUDGEC,Pd,4,3.6200,0.9500,0.5705,0.0212
BUBKUF,Au,4,8.5200,3.0400,0.9355,0.4969
DOPKAY,Ni,4,4.9500,1.2400,0.7033,0.1271
NOQDOP,Pt,4,2.8900,0.0100,0.4757,-0.9586
XAVQAQ,Co,4,3.3000,1.0700,0.5315,0.0682
CUZWED,Co,4,1.9500,1.4000,0.3118,0.1761
WEVPIX,Pd,4,8.3400,2.9700,0.9263,0.4871
OBIKOZ,Ti,4,5.7700,1.3900,0.7686,0.1732
GICNIP,Cu,4,3.2400,0.4300,0.5237,-0.2757
ZIDNOT,Ni,4,12.1200,13.2000,1.0871,1.1239
VENFIH,Mn,4,2.9300,0.0200,0.4814,-0.9208
QAFFOT,Cu,4,4.7900,1.0800,0.6893,0.0719
MUCROV,Pd,4,3.2900,0.3600,0.5302,-0.3372
YUXJEI,Cu,4,3.9000,1.3700,0.6021,0.1673
MAJDAC01,Au,4,2.9600,0.1100,0.4857,-0.6778
HAMPAN,Zn,4,3.0600,0.5600,0.4997,-0.1805
YIWBOW,Pd,4,3.0600,0.1700,0.4997,-0.5686
COQZAM,Co,4,2.5000,0.0200,0.4150,-0.9208
QOMKAF,Pd,4,2.9800,0.1300,0.4886,-0.6383
YEZQON,Ni,4,15.3500,16.3900,1.1889,1.2172
ZAJJOJ,Ir,4,4.8600,1.1200,0.6955,0.0864
DECTEN,Au,4,3.1800,0.3600,0.5159,-0.3372
QOVGUH,Zn,4,2.9600,0.0100,0.4857,-0.9586
DEYFIY,Co,4,2.4100,0.2300,0.3997,-0.4815
QEVKEI,Ag,4,3.4300,0.1900,0.5478,-0.5376
LELXIN,Fe,4,4.1100,1.4900,0.6243,0.2014
YEXHIV,Ni,4,8.3700,2.9400,0.9279,0.4829
XEYYUW,Zn,4,4.1800,0.7200,0.6314,-0.0862
IGUWUD,Re,4,2.9600,0.0000,0.4857,-1.0000
HUYBAH,Pt,4,9.0700,12.5800,0.9624,1.1031
FASXON,Re,4,3.1500,0.0600,0.5119,-0.7959
JENCAJ,Ni,4,2.8800,0.0000,0.4742,-1.0000
NAPYCU10,Cu,4,5.9100,10.7400,0.7789,1.0350
OBIWOM,Ni,4,2.9600,0.0700,0.4857,-0.7696
GIYGUT,Ni,4,0.9400,0.9100,0.0170,0.0043
LUYXUZ,Fe,4,1.8700,1.4500,0.2945,0.1903
LUDPOR,Pd,4,3.0500,0.2200,0.4983,-0.4949
QEKNON,Pt,4,9.0800,3.1700,0.9628,0.5145
REWWEX,Pd,4,8.6700,3.0000,0.9430,0.4914
BAJZAO,Cu,4,2.8900,0.0100,0.4757,-0.9586
CEKJIO,Ni,4,14.8000,7.6500,1.1732,0.8893
RABWAX,Pt,4,6.6700,3.2200,0.8306,0.5211
DUVSIY,Zn,4,2.8900,0.0100,0.4757,-0.9586
MOQCOL,Pt,4,2.8800,0.0000,0.4742,-1.0000
RALXEH,Pt,4,8.6300,2.9400,0.9410,0.4829
QISWAR,Cu,4,9.0400,5.8300,0.9609,0.7731
GANNAL,Pd,4,9.3800,3.3100,0.9768,0.5328
KELREZ,Pd,4,9.7100,6.2400,0.9917,0.8021
MNPHCY11,Mn,4,2.8800,0.0000,0.4742,-1.0000
VOQCUA,Zn,4,2.7400,0.0100,0.4533,-0.9586
UMEHID,Ti,4,8.9400,5.6600,0.9562,0.7604
ENEJEO,Cu,4,1.9700,1.3100,0.3160,0.1492
SASBEW,Pt,4,3.0000,0.1100,0.4914,-0.6778
DMPCUC10,Cu,4,3.8200,4.2900,0.5933,0.6425
OMEGES,Pd,4,2.9200,0.0500,0.4800,-0.8239
DOTNAD,Ni,4,21.3600,16.3500,1.3316,1.2162
LUHWUH,Ni,4,9.6900,3.1100,0.9908,0.5065
TOSGIV,Pd,4,3.0500,0.2100,0.4983,-0.5086
CIJQOE,Zn,4,0.8500,0.7200,-0.0223,-0.0862
ZEBBEN,Pd,4,9.2200,8.2500,0.9694,0.9217
SUWWIT,Co,4,2.2400,0.2300,0.3692,-0.4815
QIRYOF,Cu,4,12.3000,18.6500,1.0934,1.2730
YAFPUS,Pd,4,3.0000,0.1600,0.4914,-0.5850
VEBVIL,Zn,4,6.9100,0.9400,0.8457,0.0170
OWIPOA,Pt,4,7.5800,3.4200,0.8854,0.5465
XUXKIN,Ni,4,2.9900,1.6600,0.4900,0.2455
IRUFUY,Fe,4,4.1300,0.1800,0.6263,-0.5528
TIGCIX,Zn,4,3.3300,0.0600,0.5353,-0.7959
FOPBUJ,Au,4,3.1700,0.3400,0.5145,-0.3565
RAZHAD,Ir,4,7.1200,3.3600,0.8585,0.5391
NOQPIV,Fe,4,4.0300,0.6600,0.6160,-0.1192
CENYEB,Pd,4,3.1900,0.4000,0.5172,-0.3010
MERECO,Co,4,1.2900,1.2200,0.1430,0.1206
HIJGEM,Zn,4,2.4100,0.4100,0.3997,-0.2924
VEDNAW,Cu,4,2.9400,0.0600,0.4829,-0.7959
PIMPEK,Cu,4,8.4600,12.2300,0.9325,1.0910
POLHUX,Cu,4,2.2000,0.5700,0.3617,-0.1739
UFICAQ,Pd,4,3.2500,0.4600,0.5250,-0.2518
MEZVAO,Cu,4,5.0300,6.1400,0.7101,0.7952
TETHAC,Co,4,0.7500,4.7500,-0.0706,0.6857
ILADII,Ni,4,2.9300,0.0500,0.4814,-0.8239
GAXDOY,Ni,4,2.7200,0.1300,0.4502,-0.6383
XOWJOM,Pd,4,9.2500,3.8400,0.9708,0.5955
ULUSIE,Pd,4,2.9900,0.1300,0.4900,-0.6383
WOZNUY,Pd,4,8.9500,3.2100,0.9566,0.5198
EBEWUD,Pd,4,3.3300,0.4800,0.5353,-0.2366
VEKFEY,Pt,4,3.0200,0.1700,0.4942,-0.5686
VICZOX01,Zn,4,2.8900,0.2300,0.4757,-0.4815
QIZPIA01,Co,4,2.5700,0.0400,0.4265,-0.8539
LUGLAC,Zn,4,3.3600,0.3200,0.5391,-0.3768
TOMYIG,Pd,4,7.8300,2.9800,0.8993,0.4886
DEZPUV,Pd,4,3.1600,0.3600,0.5132,-0.3372
QACBIF,Pd,4,3.0600,0.2500,0.4997,-0.4559
GEPCUC,Fe,4,9.1800,9.2300,0.9675,0.9699
LEBVUJ,Pd,4,2.8800,0.0000,0.4742,-1.0000
OMEMUO,Pd,4,8.8500,2.9000,0.9518,0.4771
CICSIQ01,Pd,4,3.0600,0.2700,0.4997,-0.4318
VILNOX,Mo,4,3.5700,0.2500,0.5647,-0.4559
DUBVIH,Cu,4,8.6900,12.6900,0.9440,1.1069
ZUYTAR,Pd,4,9.1700,2.9900,0.9671,0.4900
NOCNEY,Zn,4,1.5800,6.5700,0.2253,0.8241
LUMWUO,Ni,4,7.3600,1.9800,0.8727,0.3181
ZISBUB,Zn,4,2.8800,0.0000,0.4742,-1.0000
CAWJAP,Co,4,2.5500,0.0100,0.4232,-0.9586
DASDAE,Zn,4,4.3400,0.6900,0.6474,-0.1024
HOXCON,Ni,4,4.1200,1.0700,0.6253,0.0682
EZUMAP,Pd,4,8.6600,2.9200,0.9425,0.4800
XORWEG,Zn,4,4.8900,0.9000,0.6981,0.0000
WIMYAV,Fe,4,2.8500,0.0100,0.4698,-0.9586
FEHFOP,Ni,4,8.6400,3.1000,0.9415,0.5051
YEJBOE,Pd,4,3.1700,0.3500,0.5145,-0.3468
QEJLUM02,Zn,4,5.3500,1.3000,0.7364,0.1461
SUQPOM,Zn,4,3.4700,0.7900,0.5527,-0.0506
KOBTOL,Ni,4,8.6300,2.8800,0.9410,0.4742
NUTWUW,Pt,4,9.9600,3.2200,1.0026,0.5211
XUNMUQ,Ag,4,2.5300,1.3500,0.4200,0.1614
QAKPIE,Cu,4,3.5900,1.1900,0.5670,0.1106
HACWOZ,Ag,4,3.2300,0.2300,0.5224,-0.4815
HEYMOP,Cu,4,9.5100,6.9000,0.9827,0.8451
LIMTUW,Ni,4,3.0700,0.2400,0.5011,-0.4685
KUTDAE,Pt,4,3.2700,0.5000,0.5276,-0.2218
YIMXEA,Cu,4,8.8200,3.3700,0.9504,0.5403
LAMWON01,Zn,4,5.4800,1.1400,0.7466,0.0934
POHROX,Cu,4,9.3000,2.9400,0.9731,0.4829
MIJJEV,Pd,4,9.5000,3.1900,0.9823,0.5172
XILKAF,Ag,4,3.8300,0.2600,0.5944,-0.4437
UXEKUE,Pd,4,8.4900,2.9400,0.9340,0.4829
AGEWOY03,Pd,4,3.3000,0.5300,0.5315,-0.2007
WABHIS01,Zn,4,2.9100,0.0800,0.4786,-0.7447
SEDKIV,Pd,4,9.6100,3.0000,0.9872,0.4914
OLECIV,Co,4,2.2600,0.4500,0.3729,-0.2596
ENETUM,Cu,4,0.9600,6.5000,0.0253,0.8195
XATRER,Pd,4,8.0600,2.8300,0.9117,0.4669
CAZROL,Pd,4,8.1200,2.8400,0.9149,0.4683
NESDAR,Zn,4,4.8000,0.8900,0.6902,-0.0044
TIJRAF,Ni,4,9.1300,2.9100,0.9652,0.4786
BULZAJ01,Hg,4,2.9800,0.0500,0.4886,-0.8239
ABIMUV,Mn,4,1.4600,0.2400,0.1931,-0.4685
TUKGUE,Pd,4,8.9200,3.0800,0.9552,0.5024
XESLAJ,Rh,4,9.2000,2.9200,0.9685,0.4800
DUGNIC02,Re,4,2.5300,0.0200,0.4200,-0.9208
KELKUI,Ag,4,3.5100,1.9800,0.5575,0.3181
BANVET,Pt,4,9.7500,3.1400,0.9934,0.5105
IKIDEN,Ir,4,3.2100,0.4500,0.5198,-0.2596
PIQFOM02,Fe,4,2.6200,0.0200,0.4346,-0.9208
VAZKEO,Cu,4,7.7500,9.8800,0.8949,0.9991
OCUJAX,Pt,4,9.7200,3.3000,0.9921,0.5315
LITDIB,Pt,4,2.9000,0.0100,0.4771,-0.9586
NONWES76,Pd,4,8.2100,2.9100,0.9196,0.4786
YAVJUD,Ni,4,8.8800,3.2200,0.9533,0.5211
NONDED,Cu,4,6.1500,1.1800,0.7959,0.1072
POKSAK,Pd,4,3.0100,0.1600,0.4928,-0.5850
TEVVIA01,Zn,4,2.8600,0.3800,0.4713,-0.3188
HITJAW,Rh,4,13.5200,4.6000,1.1342,0.6721
GAZLAY,Pd,4,3.0200,0.1800,0.4942,-0.5528
QUZYAM,Ni,4,8.5200,2.9200,0.9355,0.4800
FABBUI,Fe,4,2.9700,0.0000,0.4871,-1.0000
GOTTUI,Pt,4,2.9000,0.0300,0.4771,-0.8861
TOPNUJ,Ni,4,3.1200,0.2600,0.5079,-0.4437
NOTHOX,Zn,4,4.5700,0.7400,0.6693,-0.0757
NACCAW04,Co,4,3.0400,0.3000,0.4969,-0.3979
PADFIO,Mn,4,2.4500,0.0400,0.4065,-0.8539
YARMIP,Pd,4,3.4200,0.6800,0.5465,-0.1079
KIQKON,Fe,4,3.4500,0.7900,0.5502,-0.0506
ELOTOO,Pd,4,8.3400,2.8900,0.9263,0.4757
ZOXZOE,Pd,4,2.9000,0.0200,0.4771,-0.9208
AJISAN02,Cu,4,6.7300,1.9800,0.8344,0.3181
CINTAX,Fe,4,2.8400,0.0100,0.4683,-0.9586
AMICAA,Pt,4,8.3400,2.7400,0.9263,0.4533
FAVCEK,Ni,4,14.7400,21.8000,1.1714,1.3404
RESYUJ,Co,4,3.6200,0.4100,0.5705,-0.2924
POSDAD,Pd,4,2.9500,0.0600,0.4843,-0.7959
EWUJOW,Cu,4,2.2500,0.0800,0.3711,-0.7447
CUQRAI,Rh,4,8.6500,3.1900,0.9420,0.5172
XOZBAS,Pt,4,9.2600,3.1500,0.9713,0.5119
OYUQAD,Pd,4,9.0300,2.8500,0.9605,0.4698
QEWLEL,Fe,4,3.2800,0.0200,0.5289,-0.9208
VOQCEN,Pd,4,7.9900,2.9700,0.9079,0.4871
PEKSOQ,Fe,4,35.5500,19.4400,1.5521,1.2909
GIGPAN01,Cu,4,1.6500,0.1700,0.2430,-0.5686
QENXUD,Cu,4,1.6300,0.3500,0.2380,-0.3468
SAZFUX,Co,4,2.5700,0.1300,0.4265,-0.6383
YENFOQ,Fe,4,19.4500,12.8600,1.2911,1.1126
XIPQAO,Co,4,3.0400,0.6600,0.4969,-0.1192
QATQUX,Fe,4,8.4200,2.8800,0.9304,0.4742
NOVCUZ,Pd,4,8.1300,3.0000,0.9154,0.4914
MUBZIW,Co,4,1.4500,0.4600,0.1903,-0.2518
ICECOJ,Zn,4,3.1200,0.7200,0.5079,-0.0862
GOLCIU01,Zn,4,1.7800,0.5900,0.2742,-0.1612
PEGSUT,Mn,4,2.5200,0.0200,0.4183,-0.9208
VORPAT,Hg,4,4.6700,0.5700,0.6785,-0.1739
AFUDAH,Ni,4,16.0800,22.5100,1.2090,1.3543
WALDUM,Pd,4,9.0200,3.2600,0.9600,0.5263
ROZNUS01,Pt,4,3.0200,0.1200,0.4942,-0.6576
ILETOI,Au,4,3.1200,0.2900,0.5079,-0.4089
RUPTOP,Cu,4,2.6100,1.3100,0.4330,0.1492
JUCLEA,Ni,4,3.1600,0.3500,0.5132,-0.3468
OTACIW,Cu,4,3.0300,0.1300,0.4955,-0.6383
TEZRIB,Ni,4,20.1800,19.0300,1.3071,1.2817
UNIPAI,Ni,4,11.5300,13.9300,1.0656,1.1471
NEJSUT,Pt,4,9.1100,3.5200,0.9643,0.5587
BAZSUR,Ni,4,3.2500,0.4700,0.5250,-0.2441
BERTEY,Pt,4,5.1900,1.1800,0.7235,0.1072
UGATUT,Pt,4,9.7700,3.2000,0.9943,0.5185
REDQOI,Pd,4,11.3400,8.6100,1.0584,0.9400
ZAVPIY,Sc,4,13.4100,16.6900,1.1307,1.2251
WENLIK,Pt,4,8.3400,2.9000,0.9263,0.4771
UTELUD,Pd,4,8.4500,2.8800,0.9320,0.4742
RAWQEM,Pd,4,9.3300,3.2200,0.9745,0.5211
WOSZOT,Co,4,2.8700,0.0000,0.4728,-1.0000
FAMRET,Cu,4,1.5900,1.0000,0.2279,0.0414
SOTPUN,Cu,4,2.9000,0.0200,0.4771,-0.9208
KAZQEJ,Zn,4,2.0000,0.2900,0.3222,-0.4089
QOKHIK,Cu,4,8.0000,2.9800,0.9085,0.4886
SIDNIE,Zn,4,3.4400,6.3100,0.5490,0.8069
COPZEP,Au,4,9.1600,7.3900,0.9666,0.8745
SOJKAE,Pd,4,3.2400,0.4600,0.5237,-0.2518
YIHMAD,Zn,4,2.4400,0.7200,0.4048,-0.0862
DAJLOP,Ni,4,21.3800,20.2700,1.3320,1.3090
ITEMOK,Pd,4,9.9300,14.2500,1.0013,1.1569
YOPNAS03,Cu,4,5.2900,0.8400,0.7316,-0.0269
COPTCY06,Co,4,2.8800,0.0000,0.4742,-1.0000
TAWQUH,Cu,4,9.0200,12.3300,0.9600,1.0945
USODUD,Zn,4,2.5200,0.0300,0.4183,-0.8861
LEWJIH02,Co,4,4.0100,1.1300,0.6138,0.0899
BUKQAD,Au,4,8.5800,2.8800,0.9385,0.4742
MIFLES,Cu,4,2.8800,0.0000,0.4742,-1.0000
TAGTAW,Pt,4,8.6700,2.8900,0.9430,0.4757
AJAKUS,Ni,4,12.7300,15.4700,1.1082,1.1923
QOXKAP,Cu,4,2.9300,0.5200,0.4814,-0.2076
ZEZKUM,Cu,4,3.2000,1.1500,0.5185,0.0969
SELGAS,Au,4,8.8800,2.9800,0.9533,0.4886
QOYFUG,Au,4,2.8800,0.0000,0.4742,-1.0000
ULOYUP,Ni,4,8.4600,2.9300,0.9325,0.4814
MAGCOQ,Ni,4,18.6800,19.5200,1.2737,1.2927
PAQQUV,Pt,4,3.4500,0.7300,0.5502,-0.0809
MOWYIJ,Pt,4,9.2700,3.5000,0.9717,0.5563
KOVVOJ,Au,4,8.6100,2.8800,0.9400,0.4742
KISMOP,Co,4,2.9700,0.0100,0.4871,-0.9586
GABMEE,Cu,4,5.8200,1.2700,0.7723,0.1367
BEJWUL,Pd,4,8.6100,2.9500,0.9400,0.4843
VIKGIH,Au,4,3.0100,0.1600,0.4928,-0.5850
LALSUM,Co,4,6.5900,7.0600,0.8254,0.8549
TUZVER,Ni,4,14.9000,18.2800,1.1761,1.2643
JIFLIX,Cu,4,8.0500,2.3500,0.9112,0.3892
CAVXUT,Pt,4,7.2400,3.2900,0.8657,0.5302
QUNZIL,Pt,4,10.1400,3.2500,1.0103,0.5250
UQUMEZ,Zn,4,6.2600,1.4100,0.8035,0.1790
GAGTOY,Ti,4,2.8700,0.0300,0.4728,-0.8861
UKOXOK,Ni,4,8.5300,3.1100,0.9360,0.5065
ZESCUX,Ni,4,2.9000,0.0100,0.4771,-0.9586
KOCXOS,Zn,4,2.4400,0.9700,0.4048,0.0294
AZEMOK,Pd,4,8.3500,2.9500,0.9269,0.4843
KIHJOA,Rh,4,13.6300,4.4500,1.1377,0.6580
REKBER,Cu,4,9.1400,3.0700,0.9657,0.5011
CUDSON,Co,4,3.8100,0.8900,0.5922,-0.0044
EMOVEJ,Cu,4,4.0500,1.0800,0.6180,0.0719
SAHFUH,Mn,4,3.1700,0.0100,0.5145,-0.9586
COJROJ,Rh,4,9.2700,2.9400,0.9717,0.4829
KATJAQ,Ti,4,2.8400,0.1500,0.4683,-0.6021
IZUNAU,Cu,4,2.8900,0.0100,0.4757,-0.9586
ETADIM,Pd,4,3.1200,0.2100,0.5079,-0.5086
KEHJEM,Pt,4,3.1400,0.3400,0.5105,-0.3565
KAJSIZ,Pd,4,2.9100,0.0300,0.4786,-0.8861
JEFFEG,Pt,4,2.8800,0.0000,0.4742,-1.0000
ALIFEG,Cu,4,6.0500,1.2200,0.7889,0.1206
ZUXRAL,Pt,4,9.1300,3.2900,0.9652,0.5302
VOMPOE,Hg,4,4.0600,0.4900,0.6191,-0.2291
GEHQAM,Pt,4,9.3900,3.0800,0.9773,0.5024
VEHWUA,Pt,4,8.4500,2.8700,0.9320,0.4728
XIRWOM,Pd,4,8.6300,3.0800,0.9410,0.5024
QAHWUT,Ni,4,19.6800,18.9800,1.2962,1.2806
NETFID,Ag,4,5.7800,0.6100,0.7694,-0.1487
GELKAJ10,Pt,4,8.5400,7.7300,0.9365,0.8938
JIKGUJ,Ag,4,14.9100,16.6100,1.1764,1.2230
WEWSIB,Zn,4,4.6900,0.8600,0.6803,-0.0177
REKQUU,Cu,4,3.6400,7.0200,0.5729,0.8525
GIMQAW,Cu,4,2.9400,0.0700,0.4829,-0.7696
SOXCIV,Co,4,8.6400,3.4300,0.9415,0.5478
BAXYOS,Co,4,4.5200,0.5400,0.6646,-0.1938
MICTID,Ni,4,8.4300,2.6000,0.9309,0.4314
CUPVIT,Cu,4,2.8800,0.0100,0.4742,-0.9586
FAYMOI,Cu,4,1.7600,0.5500,0.2695,-0.1871
VIBQON,Rh,4,3.0800,0.3000,0.5024,-0.3979
FIPVUV,Zn,4,3.5300,0.5900,0.5599,-0.1612
ROKKIL01,Cu,4,8.8700,16.2500,0.9528,1.2135
OWEFUS01,Pd,4,12.7400,9.3800,1.1086,0.9768
NONYIA,Pd,4,3.2500,0.4900,0.5250,-0.2291
IMEXIJ,Ni,4,7.9500,18.0300,0.9058,1.2584
PUHWOI,Zn,4,2.8200,0.0000,0.4654,-1.0000
FUZSEA,Ni,4,12.6700,19.1100,1.1062,1.2835
HISQAE,Cr,4,4.0900,6.5000,0.6222,0.8195
UQESIT,Co,4,2.9000,0.0200,0.4771,-0.9208
MILXAG,Pd,4,2.9500,0.0900,0.4843,-0.7212
BURVEQ,Zn,4,2.3200,0.1700,0.3838,-0.5686
JOBPEX,Pt,4,9.2400,13.5200,0.9703,1.1342
XOZLEH,Cr,4,2.2600,0.5100,0.3729,-0.2147
BUJWOS,Fe,4,6.5900,3.2100,0.8254,0.5198
GABSEI,Pd,4,3.5200,0.7700,0.5587,-0.0605
QODVOY,Pd,4,8.6500,2.9800,0.9420,0.4886
OGOLOM,Pd,4,8.0700,2.6000,0.9122,0.4314
RADTEV,Ni,4,7.6500,2.3300,0.8893,0.3856
KUZTEG,Pt,4,2.9000,0.0100,0.4771,-0.9586
XIQYAA,Pd,4,8.7600,3.0700,0.9474,0.5011
SUWCEW,Pt,4,2.9000,0.0100,0.4771,-0.9586
IJEGEM,Pt,4,9.5400,3.0600,0.9841,0.4997
NOGTEK,Cu,4,5.6500,0.7800,0.7597,-0.0555
NUVHUL,Ag,4,5.5500,4.2800,0.7520,0.6415
XUVZIY,Pt,4,7.8000,3.0400,0.8976,0.4969
JISREL,Pd,4,8.9500,3.0300,0.9566,0.4955
YUVXUL,Au,4,3.1600,0.3600,0.5132,-0.3372
SULVAW,Pd,4,8.5500,2.9400,0.9370,0.4829
WAKPAB,Cu,4,5.6600,1.7200,0.7604,0.2601
AJOKIW,Cu,4,2.3700,1.7800,0.3927,0.2742
KIRCUN,Pd,4,9.0600,3.0600,0.9619,0.4997
XATQUG,Pd,4,2.9200,0.0400,0.4800,-0.8539
NONWES11,Pd,4,8.2900,2.9100,0.9238,0.4786
LIJCAK,Pt,4,8.2100,2.9300,0.9196,0.4814
SULMAN,Au,4,2.8800,0.0100,0.4742,-0.9586
YUBTIC,Pt,4,3.1500,0.3600,0.5119,-0.3372
DEYKIE,Cu,4,3.0600,0.0400,0.4997,-0.8539
SUQSEE,Pt,4,2.8800,0.0000,0.4742,-1.0000
MOZGUG,Zn,4,2.4200,0.6300,0.4014,-0.1367
PIQMIL,Cu,4,1.1900,0.3700,0.1106,-0.3279
JUXCAJ,Pt,4,3.5400,0.8000,0.5611,-0.0458
MARFUJ,Pd,4,9.5300,3.2000,0.9836,0.5185
JUKVET,Pt,4,3.4200,0.4700,0.5465,-0.2441
JOPFUR,Ni,4,2.9400,0.0500,0.4829,-0.8239
DICTUE,Pt,4,19.7200,16.9200,1.2971,1.2310
JATHAR,Rh,4,2.6400,0.0700,0.4378,-0.7696
XAHJOJ,Pt,4,3.0100,0.1700,0.4928,-0.5686
NUZHUM01,Co,4,2.8600,0.0100,0.4713,-0.9586
QISHEG,Pd,4,9.5000,16.6900,0.9823,1.2251
IQEROL,Cu,4,2.1500,1.7100,0.3522,0.2577
VATZOF04,Pt,4,2.9200,0.0300,0.4800,-0.8861
GUZPAW,Pt,4,7.4100,3.2200,0.8756,0.5211
SITBAB,Pt,4,7.9200,3.2500,0.9042,0.5250
MEBGAB,Ti,4,3.0600,1.4300,0.4997,0.1847
YAHREI,Ag,4,3.5800,3.0900,0.5658,0.5038
LEYNOS,Au,4,2.8800,0.0000,0.4742,-1.0000
TIFCAP,Co,4,2.8800,0.0000,0.4742,-1.0000
AHUWIJ,Cu,4,5.4300,0.9300,0.7427,0.0128
XUHJOA,Ni,4,1.1500,0.8800,0.0969,-0.0088
ZUDGIO01,Pt,4,3.1800,0.2800,0.5159,-0.4202
XONDEM,Au,4,3.2100,0.4300,0.5198,-0.2757
WESPEP,Cd,4,6.0000,3.2100,0.7853,0.5198
DEZWUC,Zn,4,2.4600,0.3100,0.4082,-0.3872
SOQCAE03,Ru,4,3.3400,0.5900,0.5366,-0.1612
DOFMAM,Cu,4,19.8600,22.8400,1.3002,1.3606
QAFNOD,Cu,4,10.8400,10.9700,1.0390,1.0441
MOQMOW,Pd,4,8.2000,3.0100,0.9191,0.4928
XODKAG,Ni,4,6.7500,9.8800,0.8357,0.9991
KERJOI,Zn,4,0.9700,1.2600,0.0294,0.1335
IZOVAW,Mn,4,3.2300,0.5100,0.5224,-0.2147
GUSDII,Au,4,3.1900,0.3700,0.5172,-0.3279
BEDBIX,Pd,4,3.2000,0.4400,0.5185,-0.2676
AWAQUL,Fe,4,2.2700,0.6100,0.3747,-0.1487
XARGON,Ni,4,4.6200,1.5300,0.6739,0.2122
ZUDVIH,Cu,4,5.9800,1.5800,0.7839,0.2253
VETVEX,Pt,4,8.8200,2.9700,0.9504,0.4871
HOTXIX,Ni,4,9.9000,13.0200,1.0000,1.1179
VIQWAX,Au,4,8.5100,3.1300,0.9350,0.5092
EHORID,Pd,4,2.9400,0.0600,0.4829,-0.7959
EGIXAV,Cu,4,2.8200,0.0400,0.4654,-0.8539
XOVPAC,Pd,4,3.3200,0.5500,0.5340,-0.1871
VORSAW,Pd,4,3.4000,0.6500,0.5441,-0.1249
EQIPAW02,Zn,4,2.5000,1.5400,0.4150,0.2148
NIQLOP,Ni,4,8.9400,14.5100,0.9562,1.1647
UDIKUP01,Ni,4,9.1300,2.9100,0.9652,0.4786
GOGPUO02,Ni,4,18.8700,16.4700,1.2781,1.2193
DUMCIY,Ni,4,8.1100,8.8800,0.9143,0.9533
GODMOC,Ag,4,3.3200,1.3300,0.5340,0.1553
JAGNEL,Zn,4,0.6100,5.4200,-0.1487,0.7419
KOVFEJ,La,4,1.8100,0.2800,0.2810,-0.4202
QOSROF,Rh,4,9.6000,3.1600,0.9868,0.5132
CODSIY,Cu,4,3.8100,0.4200,0.5922,-0.2840
YERXEC,Pt,4,2.9800,0.1200,0.4886,-0.6576
KANVUQ,Zn,4,6.0200,1.7300,0.7868,0.2625
PERFOH,Pt,4,2.8900,0.0100,0.4757,-0.9586
LOXDAH,Zn,4,3.0900,0.4500,0.5038,-0.2596
YAZNUI,Cu,4,2.8200,0.5000,0.4654,-0.2218
YIXJOE,Zn,4,2.3100,0.1800,0.3820,-0.5528
CIXYIS,Ru,4,2.5800,2.3100,0.4281,0.3820
KARQOJ01,Pt,4,8.6700,2.9900,0.9430,0.4900
CAZQOJ,Hg,4,12.9900,3.7000,1.1169,0.5798
NONWES78,Pd,4,8.3300,2.9000,0.9258,0.4771
NUMLEM,Ni,4,16.4700,15.5900,1.2193,1.1956
MAJTOJ,Cu,4,2.2200,0.0800,0.3655,-0.7447
CAQTEU,Pd,4,12.1800,15.5700,1.0892,1.1951
JEPKUK01,Cu,4,2.8800,0.0000,0.4742,-1.0000
JOCBOT,Mo,4,2.6100,0.0800,0.4330,-0.7447
GEWSUZ,Fe,4,5.1700,1.1400,0.7218,0.0934
PUKVAW,Cu,4,8.4600,2.9000,0.9325,0.4771
CICBEY,Zn,4,2.9800,0.0500,0.4886,-0.8239
XUVYUJ,Pt,4,10.0000,3.0900,1.0043,0.5038
XOVMUR,Ni,4,3.3500,0.2500,0.5378,-0.4559
