run_stage,selection_order,mol_id,fold,metal,cn,graph_sha256,arm,k,representation,reference_sha256,matched_variants,mismatched_variants,match_fraction,unique_variant_hashes,unique_hashes_with_reference,all_variants_match_reference
full,6,QOCWIO,1,Pd,4,9d833383f981c63f0dfc3339b29b474ea4d5847e944552250da818468901cc19,combined,100,uncanonicalized_coordrep,9290eef3d4233642eeb1aa4379058951c53bf9d49868c0e785a1f8f104f75250,0,100,0.0,5,6,False
full,6,QOCWIO,1,Pd,4,9d833383f981c63f0dfc3339b29b474ea4d5847e944552250da818468901cc19,combined,100,patched_coordrep,9709278c50cc5f80239d89cb02459b8c2ae3fc4410978edf8e6f244a6bf96276,100,0,1.0,1,1,True
full,7,ZADMUP,2,Pt,4,31cb79b302576fbcb363b32bf03ca9cf04dc953e90109efff73fe5730c229833,rigid,100,raw_cartesian,9dcbb372b23b82bd90195efa5f892b4b9ea26eeb827f5b9e55b60ed5110117d0,0,100,0.0,100,101,False
full,7,ZADMUP,2,Pt,4,31cb79b302576fbcb363b32bf03ca9cf04dc953e90109efff73fe5730c229833,rigid,100,ordered_distance_matrix,cd212a794e00f8088111590f39d82f69df9be699afd5a3f5e87fd0f6bab32600,100,0,1.0,1,1,True
full,7,ZADMUP,2,Pt,4,31cb79b302576fbcb363b32bf03ca9cf04dc953e90109efff73fe5730c229833,rigid,100,connectivity_only,f6d476e63adf6d05a95831798581b2f36874bf8fbca81b27d839dce35f5d44a7,100,0,1.0,1,1,True
full,7,ZADMUP,2,Pt,4,31cb79b302576fbcb363b32bf03ca9cf04dc953e90109efff73fe5730c229833,rigid,100,uncanonicalized_coordrep,fb5c0a8b6f85d16963e73bce18bd1988fb92bc145b70784322163f461a424fae,100,0,1.0,1,1,True
full,7,ZADMUP,2,Pt,4,31cb79b302576fbcb363b32bf03ca9cf04dc953e90109efff73fe5730c229833,rigid,100,patched_coordrep,fb5c0a8b6f85d16963e73bce18bd1988fb92bc145b70784322163f461a424fae,100,0,1.0,1,1,True
full,7,ZADMUP,2,Pt,4,31cb79b302576fbcb363b32bf03ca9cf04dc953e90109efff73fe5730c229833,permutation,100,raw_cartesian,9dcbb372b23b82bd90195efa5f892b4b9ea26eeb827f5b9e55b60ed5110117d0,6,94,0.06,24,24,False
full,7,ZADMUP,2,Pt,4,31cb79b302576fbcb363b32bf03ca9cf04dc953e90109efff73fe5730c229833,permutation,100,ordered_distance_matrix,cd212a794e00f8088111590f39d82f69df9be699afd5a3f5e87fd0f6bab32600,6,94,0.06,24,24,False
full,7,ZADMUP,2,Pt,4,31cb79b302576fbcb363b32bf03ca9cf04dc953e90109efff73fe5730c229833,permutation,100,connectivity_only,f6d476e63adf6d05a95831798581b2f36874bf8fbca81b27d839dce35f5d44a7,100,0,1.0,1,1,True
full,7,ZADMUP,2,Pt,4,31cb79b302576fbcb363b32bf03ca9cf04dc953e90109efff73fe5730c229833,permutation,100,uncanonicalized_coordrep,fb5c0a8b6f85d16963e73bce18bd1988fb92bc145b70784322163f461a424fae,81,19,0.81,2,2,False
full,7,ZADMUP,2,Pt,4,31cb79b302576fbcb363b32bf03ca9cf04dc953e90109efff73fe5730c229833,permutation,100,patched_coordrep,fb5c0a8b6f85d16963e73bce18bd1988fb92bc145b70784322163f461a424fae,100,0,1.0,1,1,True
full,7,ZADMUP,2,Pt,4,31cb79b302576fbcb363b32bf03ca9cf04dc953e90109efff73fe5730c229833,combined,100,raw_cartesian,9dcbb372b23b82bd90195efa5f892b4b9ea26eeb827f5b9e55b60ed5110117d0,0,100,0.0,100,101,False
full,7,ZADMUP,2,Pt,4,31cb79b302576fbcb363b32bf03ca9cf04dc953e90109efff73fe5730c229833,combined,100,ordered_distance_matrix,cd212a794e00f8088111590f39d82f69df9be699afd5a3f5e87fd0f6bab32600,6,94,0.06,22,22,False
full,7,ZADMUP,2,Pt,4,31cb79b302576fbcb363b32bf03ca9cf04dc953e90109efff73fe5730c229833,combined,100,connectivity_only,f6d476e63adf6d05a95831798581b2f36874bf8fbca81b27d839dce35f5d44a7,100,0,1.0,1,1,True
full,7,ZADMUP,2,Pt,4,31cb79b302576fbcb363b32bf03ca9cf04dc953e90109efff73fe5730c229833,combined,100,uncanonicalized_coordrep,fb5c0a8b6f85d16963e73bce18bd1988fb92bc145b70784322163f461a424fae,90,10,0.9,2,2,False
